,Movie Title,budget,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,genres,Score_Rotten,Score_Rotten_Audience,Rating,Release-Date,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,Revenue-Worldwide,Revenue-Domestic
66,Nanny McPhee Returns,25000000,40.558,6.1,32022,109,"Comedy,Family,Fantasy",75.0,55.0,PG,8/20/2010,101.0,42.75,4.132,3.537333333,21.162200000000002,123276807,29011215.0
67,Get Him to the Greek,40000000,16.291,6.4,176586,109,"Comedy,Music",,,,6/4/2010,53.0,32.75,15.264,15.264,13.544400000000001,91720255,60974475.0
68,Burlesque,55000000,21.699,6.4,84465,119,"Drama,Music,Musical",,,,11/24/2010,87.0,63.625,6.611,15.264,9.763,89519773,39440655.0
69,The Last Song,20000000,22.374,6.0,86600,108,"Drama,Music,Romance",,,,3/31/2010,51.0,62.25,15.264,15.264,7.1994,89137047,62950384.0
70,Dinner for Schmucks,69000000,37.948,5.9,105616,114,Comedy,42.0,42.0,PG-13,7/30/2010,44.0,36.75,6.28,6.213,17.1518,86855739,73026337.0
71,Bayside Shakedown 3: Set the Guys Loose,0,1.502,5.5,309,141,Drama,,,,0,,,15.264,15.264,2.6393999999999997,85347374,
72,Marmaduke,50000000,29.054,4.3,15414,99,"Comedy,Family",9.0,42.0,PG,6/4/2010,91.0,48.75,2.766,3.532,26.7272,83761844,33644788.0
73,Piranha 3D,24000000,60.238,5.5,89521,88,"Comedy,Horror",13.0,22.0,R,8/20/2010,110.0,73.125,3.842,1.997333333,14.3918,83188165,25003155.0
74,Edge of Darkness,80000000,12.479,6.6,93719,117,"Action,Crime,Drama",,,,1/29/2010,76.0,41.125,15.264,15.264,12.951400000000001,81126522,43313890.0
75,Vampires Suck,20000000,24.261,3.4,48572,82,"Comedy,Horror",4.0,29.0,PG-13,8/18/2010,88.0,70.625,0.0,4.193,6.4197999999999995,80547866,36661504.0
76,Letters to Juliet,30000000,42.299,6.5,98712,105,"Adventure,Comedy,Drama",42.0,62.0,PG,5/14/2010,63.0,57.0,2.845,4.977666667,15.8322,82148538,53032453.0
77,The Back-up Plan,35000000,17.681,5.3,49814,104,"Comedy,Romance",17.0,46.0,PG-13,4/23/2010,86.0,54.5,1.51,1.862666667,8.495,77477008,37490007.0
78,Diary of a Wimpy Kid,0,476.648,5.2,2492,58,"Animation,Comedy,Drama",73.0,37.0,PG,3/19/2010,48.0,49.75,4.294,3.199,9.4946,76196538,64003625.0
79,If You Are the One 2,0,2.164,5.9,1517,120,"Comedy,Romance",,67.0,,0,,,5.947,3.5195,8.140200000000002,76085443,
80,Easy A,8000000,66.417,7.0,382340,92,"Comedy,Drama,Romance",85.0,77.0,PG-13,9/17/2010,59.0,58.625,5.607,3.9645,17.4682,75026327,58401464.0
