,Movie Title,budget,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,genres,Score_Rotten,Score_Rotten_Audience,Rating,Release-Date,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,Revenue-Worldwide,Revenue-Domestic
341,Polisse,0,9.978,7.3,14210,127,"Crime,Drama",87.0,78.0,,5/18/2012,,74.0,11.174,2.824,3.7276000000000002,20590872,
342,Hollywoo,0,7.845,5.0,1799,107,Comedy,68.0,48.0,R,9/8/2006,,28.25,1.717,2.188,4.2704,20587850,
343,Scabbard Samurai,0,3.405,6.8,1121,103,"Comedy,Drama",,63.0,,0,,,7.766,0.6,5.2048000000000005,20251745,
344,Kaiji 2: The Ultimate Gambler,0,7.134,6.3,903,133,Drama,,,,0,,,15.264,15.264,8.083400000000001,19971259,
345,The Avengers,220000000,332.796,8.1,1347324,143,"Action,Adventure,Sci-Fi",,,,5/4/2012,1.0,66.5,2.744,15.264,27.4548,1518815515,623357910.0
346,Skyfall,200000000,107.116,7.8,682291,143,"Action,Adventure,Thriller",92.0,86.0,PG-13,11/9/2012,4.0,75.375,8.541,6.928,19.911399999999997,1108569499,304360277.0
347,The Dark Knight Rises,250000000,178.797,8.4,1640861,164,"Action,Crime,Drama",87.0,90.0,PG-13,7/20/2012,2.0,31.0,15.857,11.85933333,33.147000000000006,1081041287,448139099.0
348,The Hobbit: An Unexpected Journey,250000000,145.107,7.8,800714,169,"Adventure,Fantasy",64.0,83.0,PG-13,12/14/2012,8.0,41.125,14.177,5.736,12.571200000000001,1021103568,303003568.0
349,Ice Age 4: Continental Drift,95000000,154.834,6.5,204792,88,"Adventure,Animation,Comedy",37.0,62.0,PG,7/13/2012,14.0,67.375,0.0,2.747,13.2322,877244782,161321843.0
350,The Twilight Saga: Breaking Dawn - Part 2,120000000,142.613,5.6,244509,115,"Adventure,Drama,Fantasy",49.0,70.0,PG-13,11/16/2012,5.0,33.25,9.832,4.289333333,22.504600000000003,829746820,292324737.0
351,The Amazing Spider-Man,215000000,341.221,7.0,634606,136,"Action,Adventure,Sci-Fi",72.0,77.0,PG-13,7/3/2012,6.0,74.125,7.358,4.107333333,30.625799999999998,757930663,262030663.0
352,Madagascar 3: Europe's Most Wanted,145000000,83.339,6.8,176542,95,"Adventure,Animation,Comedy",78.0,72.0,PG,6/8/2012,10.0,45.0,0.0,1.6165,18.143,746921274,216391482.0
353,The Hunger Games,75000000,79.875,7.2,894681,142,"Action,Adventure,Sci-Fi",84.0,81.0,PG-13,3/23/2012,3.0,43.5,10.546,2.535,16.2316,694394724,408010692.0
354,Men in Black 3,225000000,111.196,6.8,354548,106,"Action,Adventure,Comedy",68.0,70.0,PG-13,5/25/2012,12.0,45.625,7.28,6.1795,27.3902,624026776,179020854.0
355,Life of Pi,120000000,49.965,7.9,614380,127,"Adventure,Drama,Fantasy",86.0,84.0,PG,11/21/2012,32.0,46.375,6.644,3.289333333,3.0405999999999995,609016565,124987023.0
356,Ted,50000000,117.754,6.9,599551,106,Comedy,69.0,73.0,R,6/29/2012,9.0,55.5,11.601,4.148,21.1322,549368315,218815487.0
357,Brave,185000000,101.384,7.1,399896,93,"Adventure,Animation,Comedy",78.0,75.0,PG,6/22/2012,7.0,48.625,0.0,0.629,14.716800000000001,538983207,237283207.0
358,Wreck-It Ralph,165000000,150.847,7.7,409346,101,"Adventure,Animation,Comedy",87.0,86.0,PG,11/2/2012,13.0,36.875,4.319,0.98,11.7872,471222889,189422889.0
359,Les Misérables,61000000,24.366,7.6,324303,158,"Drama,Musical,Romance",70.0,79.0,PG-13,12/25/2012,37.0,54.625,5.218,3.1555,26.010399999999997,442299309,148809770.0
360,Django Unchained,100000000,85.279,8.5,1484835,165,"Drama,Western",86.0,92.0,R,12/25/2012,39.0,34.875,35.032,1.572333333,25.927999999999997,425368238,162805434.0
361,Prometheus,130000000,147.862,7.0,596388,124,"Adventure,Mystery,Sci-Fi",73.0,68.0,R,6/8/2012,20.0,54.75,10.645,7.61,23.859200000000005,403354469,126477084.0
362,Snow White and the Huntsman,170000000,71.139,6.1,285294,127,"Action,Adventure,Drama",49.0,52.0,PG-13,6/1/2012,15.0,43.5,1.96,2.316,26.9292,396600000,155332381.0
363,Taken 2,45000000,116.512,6.2,302718,92,"Action,Crime,Thriller",22.0,52.0,PG-13,10/5/2012,17.0,52.25,3.334,8.055,20.8472,376141306,139854287.0
364,The Lorax,70000000,48.849,6.4,109088,86,"Adventure,Animation,Comedy",,83.0,,3/2/2012,11.0,41.125,2.277,15.264,16.145400000000002,348840316,214030500.0
365,Journey 2: The Mysterious Island,79000000,189.7,5.7,102365,94,"Action,Adventure,Comedy",45.0,59.0,PG,2/10/2012,26.0,72.0,3.815,1.829,17.422800000000002,355692760,103860290.0
366,The Expendables 2,100000000,75.656,6.6,303407,103,"Action,Adventure,Thriller",67.0,67.0,R,8/17/2012,33.0,52.625,4.522,4.25,31.096600000000002,314975955,85028192.0
367,Rise of the Guardians,145000000,69.913,7.3,170407,97,"Action,Adventure,Animation",75.0,80.0,PG,11/21/2012,29.0,48.5,2.145,0.91,21.574199999999998,306941670,103412758.0
368,Battleship,209000000,53.982,5.8,245351,131,"Action,Adventure,Sci-Fi",34.0,54.0,PG-13,5/18/2012,43.0,76.5,12.59,4.362833333,10.973799999999999,303025485,65422625.0
369,Wrath of the Titans,150000000,108.216,5.7,187568,99,"Action,Adventure,Fantasy",26.0,49.0,PG-13,3/30/2012,34.0,41.75,2.168,3.3595,27.658399999999993,301970083,83670083.0
370,John Carter,250000000,152.264,6.6,268125,132,"Action,Adventure,Sci-Fi",52.0,60.0,PG-13,3/9/2012,36.0,49.625,10.246,4.161666667,19.059800000000003,284139100,73078100.0
371,The Bourne Legacy,130000000,51.637,6.6,298155,135,"Action,Adventure,Thriller",55.0,58.0,PG-13,8/10/2012,24.0,49.75,4.843,2.93675,21.3266,276572938,113203870.0
372,We're the Millers,37000000,54.373,7.0,436184,110,"Comedy,Crime",49.0,72.0,R,8/7/2013,16.0,33.0,11.237,1.842,18.7894,269994119,150394119.0
373,Dark Shadows,150000000,64.657,6.2,261769,113,"Comedy,Fantasy,Horror",35.0,46.0,PG-13,5/11/2012,35.0,50.0,14.466,19.07033333,27.2498,245527149,79727149.0
374,Resident Evil: Retribution,65000000,12.133,5.3,140181,95,"Action,Adventure,Horror",28.0,51.0,R,9/14/2012,81.0,45.875,12.24,4.066,19.663400000000003,240159255,42345531.0
375,Silver Linings Playbook,21000000,43.83,7.7,696176,122,"Comedy,Drama,Romance",92.0,86.0,R,11/16/2012,108.0,65.125,2.742,1.613,24.984799999999996,236412453,132092958.0
376,American Reunion,50000000,86.952,6.7,211664,113,Comedy,45.0,63.0,R,4/6/2012,54.0,38.0,0.0,1.66075,12.283399999999999,234989584,57011521.0
377,Argo,44500000,19.316,7.7,603105,120,"Biography,Drama,Thriller",96.0,90.0,R,10/12/2012,25.0,43.875,29.667,19.403,18.5076,232325503,136025503.0
378,Jack Reacher,60000000,176.205,7.0,332040,130,"Action,Mystery,Thriller",63.0,67.0,PG-13,12/21/2012,70.0,54.25,8.616,11.743,17.1986,218340595,80070736.0
379,Safe House,85000000,17.938,6.7,219901,115,"Action,Thriller",53.0,63.0,R,2/10/2012,21.0,36.625,7.286,2.586,27.4486,208076205,126373434.0
380,21 Jump Street,42000000,65.443,7.2,543873,109,"Action,Comedy,Crime",85.0,82.0,R,3/16/2012,18.0,41.5,0.0,8.662,19.1252,201585328,138447667.0
381,Total Recall,125000000,77.043,6.2,251367,118,"Action,Adventure,Sci-Fi",31.0,47.0,PG-13,8/3/2012,52.0,41.25,8.172,6.071,30.1714,198802074,58877969.0
382,The Impossible,45000000,28.3,7.6,218806,114,"Adventure,Drama,History",81.0,84.0,PG-13,12/21/2013,119.0,68.125,5.945,1.64075,36.605000000000004,198087212,19019882.0
383,Lost in Thailand,2200000,5.685,6.2,3383,105,"Adventure,Comedy,Drama",67.0,49.0,,0,,,5.817,2.339,9.322999999999999,208000000,
384,The Vow,30000000,42.849,6.8,191941,104,"Drama,Romance",,100.0,,2/10/2012,22.0,46.125,0.0,15.264,19.3236,196114570,125014030.0
385,Mirror Mirror,85000000,22.035,5.6,87237,106,"Adventure,Comedy,Drama",50.0,48.0,PG,3/30/2012,44.0,90.0,2.572,2.108333333,13.671000000000001,183018522,64935167.0
386,The Dictator,65000000,32.514,6.4,297880,83,Comedy,57.0,44.0,R,5/16/2012,51.0,50.5,4.473,4.305285714,17.967,179379533,59650222.0
387,Looper,30000000,58.906,7.4,564240,119,"Action,Drama,Sci-Fi",93.0,82.0,R,9/28/2012,41.0,38.0,6.001,2.407,25.199800000000003,176506819,66486205.0
388,Chinese Zodiac,48000000,52.582,6.0,22761,122,"Action,Adventure,Comedy",25.0,45.0,PG-13,0,,,39.287,15.264,10.8516,171339013,
389,Magic Mike,7000000,37.235,6.1,136832,110,"Comedy,Drama",79.0,60.0,R,6/29/2012,23.0,35.0,4.052,12.9325,13.689000000000002,167739368,113721571.0
390,Flight,31000000,27.561,7.3,346310,138,"Drama,Thriller",77.0,75.0,R,11/2/2012,27.0,87.875,16.549,6.5374,23.1206,161772375,93772375.0
391,Underworld: Awakening,70000000,108.513,6.3,152573,88,"Action,Fantasy,Horror",26.0,62.0,R,1/20/2012,49.0,39.0,0.0,3.48775,16.5108,160112671,62321039.0
392,This Means War,65000000,18.845,6.3,184322,103,"Action,Comedy,Romance",26.0,56.0,PG-13,2/17/2012,56.0,58.625,6.819,12.44275,25.869999999999997,156974557,54760791.0
393,Paranormal Activity 4,5000000,35.742,4.6,65644,88,"Horror,Mystery",23.0,34.0,R,10/19/2012,59.0,54.125,0.0,4.103,6.154,142817992,53886994.0
394,Step Up Revolution,33000000,36.954,6.4,55826,99,"Drama,Music,Romance",41.0,68.0,PG-13,7/27/2012,95.0,54.125,3.738,2.56875,7.731,140470746,35074677.0
395,The Best Exotic Marigold Hotel,10000000,13.953,7.2,94331,124,"Comedy,Drama,Romance",78.0,78.0,PG-13,5/4/2012,72.0,72.5,5.349,3.5825,14.4582,136836156,46412041.0
396,The Wind Rises,30000000,54.012,7.8,82578,126,"Animation,Biography,Drama",88.0,85.0,PG-13,2/21/2014,162.0,63.0,0.0,3.971,7.1312,136454220,5209580.0
397,Last Vegas,28000000,29.691,6.6,131855,105,"Comedy,Drama",46.0,59.0,PG-13,11/1/2013,58.0,46.125,6.951,0.91,18.7884,134402450,63914167.0
398,Zero Dark Thirty,40000000,18.942,7.4,292498,157,"Drama,History,Thriller",91.0,80.0,R,12/19/2013,35.0,65.0,4.505,4.257333333,21.1798,132820716,95720716.0
399,Ghost Rider: Spirit of Vengeance,57000000,114.355,4.3,117502,96,"Action,Fantasy,Thriller",18.0,31.0,PG-13,2/17/2012,63.0,39.375,0.0,5.58325,18.376,132563930,51774002.0
400,Cloud Atlas,102000000,30.744,7.4,358552,172,"Drama,Mystery,Sci-Fi",66.0,66.0,R,10/26/2012,109.0,39.75,0.0,12.0522,23.472200000000004,130482868,27108272.0
401,The Woman in Black,17000000,21.868,6.4,181241,95,"Drama,Fantasy,Horror",66.0,54.0,PG-13,2/3/2012,58.0,48.125,2.948,1.342333333,16.5122,128955898,54333290.0
402,Chronicle,15000000,81.259,7.0,248378,89,"Action,Drama,Sci-Fi",85.0,71.0,PG-13,2/3/2012,45.0,62.5,1.951,2.466,10.9022,145000000,64575175.0
403,Walking with Dinosaurs 3D,80000000,49.528,5.2,11237,87,"Adventure,Animation,Comedy",,,,12/20/2013,106.0,74.625,15.264,15.264,14.066799999999997,126546518,36076121.0
404,The Pirates! Band of Misfits,60000000,15.762,6.7,47648,88,"Adventure,Animation,Comedy",86.0,67.0,PG,4/27/2012,103.0,,3.881,2.583,16.879399999999997,123054041,31051126.0
405,Parental Guidance,25000000,19.996,6.0,25798,105,"Comedy,Family",18.0,59.0,PG,12/25/2012,98.0,31.25,3.44,8.882333333,14.706,119772232,77267296.0
406,Abraham Lincoln: Vampire Hunter,69000000,175.32,5.9,154677,105,"Action,Fantasy,Horror",34.0,50.0,R,6/22/2012,90.0,48.0,7.503,7.976333333,20.444399999999998,116471580,37519139.0
407,Pitch Perfect,17000000,37.956,7.2,298380,112,"Comedy,Music,Romance",81.0,83.0,PG-13,9/28/2012,46.0,73.375,10.184,11.78,13.9226,115400000,65001093.0
408,Hope Springs,30000000,28.392,6.3,42442,100,"Comedy,Drama,Romance",75.0,55.0,PG-13,8/8/2012,47.0,42.25,2.232,1.682,17.2834,114281051,63536011.0
409,ParaNorman,60000000,54.684,7.0,100615,92,"Adventure,Animation,Comedy",89.0,72.0,PG,8/17/2012,55.0,43.5,0.0,0.79,15.3188,107139399,56003051.0
410,The Campaign,95000000,20.28,6.1,130415,85,Comedy,,,,8/10/2012,31.0,41.625,0.6,0.666,17.822,104907746,86907746.0
411,Project X,12000000,286.614,6.7,203863,88,Comedy,,,,3/2/2012,57.0,35.25,1.094,15.264,5.3717999999999995,102731865,54731865.0
412,The Devil Inside,1000000,28.663,4.2,35858,83,Horror,5.0,22.0,R,1/6/2012,60.0,30.375,3.262,1.024,2.9838000000000005,101758490,53261944.0
413,The Lucky One,25000000,25.489,6.5,107097,101,"Drama,Mystery,Romance",20.0,67.0,PG-13,4/20/2012,50.0,51.625,1.943,4.2235,15.4966,99357138,60457138.0
414,Contraband,25000000,76.502,6.4,121435,109,"Action,Crime,Drama",51.0,57.0,R,1/13/2012,40.0,37.375,7.521,13.4754,22.7404,96262212,66528000.0
415,Masquerade,0,134.062,3.8,768,80,"Horror,Thriller",14.0,32.0,,7/30/2021,,88.0,2.588,1.742333333,11.426599999999999,94268432,
416,Brave Hearts: Umizaru,0,5.025,6.5,293,116,Action,,,,0,,,15.264,15.264,,91884352,
417,This Is 40,35000000,17.042,6.2,137257,134,"Comedy,Romance",51.0,50.0,R,12/21/2012,87.0,52.75,8.039,4.298666667,22.373199999999997,88215156,67544505.0
418,The Possession,14000000,27.53,5.9,59661,92,"Horror,Mystery,Thriller",39.0,48.0,PG-13,8/31/2012,66.0,45.0,5.561,5.590666667,10.1268,85446075,49130154.0
419,What to Expect When You're Expecting,40000000,13.13,5.7,72367,110,"Comedy,Drama,Romance",23.0,47.0,PG-13,5/18/2012,83.0,42.875,1.216,3.213,14.159600000000001,84384002,41152203.0
420,Savages,45000000,15.995,6.5,129004,131,"Action,Crime,Drama",50.0,54.0,R,7/6/2012,71.0,42.25,7.534,1.088,15.7904,82966152,47382068.0
421,Sinister,3000000,54.594,6.8,242046,110,"Horror,Mystery,Thriller",63.0,61.0,R,10/12/2012,68.0,50.625,5.931,5.0645,13.6898,82515113,48086903.0
422,Act of Valor,12000000,20.236,6.5,68710,110,"Action,Adventure,Thriller",28.0,72.0,R,2/24/2012,38.0,40.25,0.0,2.5835,7.8252,82497035,70012847.0
423,Frankenweenie,39000000,52.046,6.9,105197,87,"Animation,Comedy,Drama",87.0,70.0,PG,10/5/2012,97.0,49.125,14.466,8.0515,12.936000000000002,81493846,35291068.0
424,The Grey,25000000,113.738,6.8,250058,117,"Action,Adventure,Drama",,,R,1/27/2012,64.0,74.125,2.588,10.269,19.413599999999995,79781695,51580236.0
425,Diary of a Wimpy Kid: Dog Days,22000000,30.439,6.3,25273,94,"Comedy,Family",52.0,63.0,PG,8/3/2012,67.0,41.75,3.647,2.6065,20.472599999999996,77229695,49008662.0
426,Thermae Romae,0,7.077,6.4,2351,108,"Comedy,Fantasy,Sci-Fi",,40.0,,0,,,5.328,15.264,6.245600000000001,74285251,
427,One Piece Film Z,0,114.412,7.9,6836,108,"Action,Adventure,Animation",,75.0,,0,,,6.4,15.264,9.5944,74223861,
428,To Rome with Love,17000000,22.433,6.3,87457,112,"Comedy,Music,Romance",46.0,40.0,R,6/22/2012,129.0,72.375,13.842,1.2875,13.8684,73244881,16685867.0
429,Here Comes the Boom,0,24.028,6.4,90565,105,"Action,Comedy,Sport",42.0,65.0,PG,10/12/2012,77.0,48.25,4.076,11.197,14.4008,73100172,45290318.0
430,Bayside Shakedown the Final,0,2.053,5.5,239,126,"Action,Crime",,,,0,,,15.264,15.264,3.6566,72867395,
431,The Cabin in the Woods,30000000,78.795,7.0,404751,95,"Horror,Mystery,Thriller",92.0,74.0,R,4/13/2012,82.0,34.375,5.295,11.677,12.7392,71041255,42073277.0
432,Anna Karenina,0,17.696,6.6,98447,129,"Drama,Romance",63.0,50.0,R,11/16/2012,144.0,50.5,9.492,3.284666667,17.0262,68929150,12816367.0
433,The Watch,68000000,70.333,5.7,126171,102,"Comedy,Sci-Fi",16.0,39.0,R,7/27/2012,94.0,80.125,6.734,33.013,14.6266,68267862,35353000.0
434,Moonrise Kingdom,16000000,18.205,7.8,342429,94,"Comedy,Drama,Romance",93.0,86.0,PG-13,5/25/2012,73.0,80.125,11.936,4.12175,17.23,68263166,45512466.0
435,Madea's Witness Protection,20000000,14.699,4.9,10799,114,"Comedy,Crime,Drama",19.0,66.0,PG-13,6/29/2012,42.0,41.25,6.343,2.649666667,10.826400000000001,66899242,65653242.0
436,Astérix and Obélix: God Save Britannia,61000000,11.597,5.3,14746,110,"Adventure,Comedy,Family",,23.0,,0,,,2.023,2.172,4.947799999999999,61319383,
437,Evangelion: 3.0 You Can (Not) Redo,0,33.262,6.9,14539,96,"Action,Animation,Drama",,,,0,,,15.264,15.264,7.962000000000001,60488344,
438,Quartet,11000000,9.092,6.8,20126,98,"Comedy,Drama,Music",80.0,66.0,PG-13,1/11/2013,120.0,88.75,12.434,0.8695,17.6052,59520298,18390117.0
439,Rock of Ages,75000000,18.712,5.9,76945,123,"Comedy,Drama,Musical",43.0,55.0,PG-13,6/15/2012,89.0,43.25,5.536,6.4415,16.6508,59418613,38518613.0
440,That's My Boy,70000000,70.096,5.5,98218,116,Comedy,20.0,51.0,R,6/15/2012,92.0,32.75,5.452,10.035,20.558,58058367,36931089.0
441,The Odd Life of Timothy Green,25000000,15.054,6.6,46651,105,"Comedy,Drama,Family",36.0,67.0,PG,8/15/2012,62.0,54.375,1.364,1.404666667,12.125399999999999,56012642,51854875.0
442,Lawless,26000000,56.111,7.2,239282,116,"Biography,Crime,Drama",66.0,74.0,R,8/29/2012,91.0,75.5,2.142,3.16725,29.02,55404159,37400127.0
443,End of Watch,7000000,18.477,7.6,242755,109,"Action,Adventure,Crime",85.0,86.0,R,9/21/2012,85.0,36.625,11.481,4.03275,20.348,55078146,41003371.0
444,Wolf Children,0,61.213,8.1,43561,117,"Animation,Drama,Family",,,,0,,,15.264,15.264,5.335000000000001,55060661,
445,The Three Stooges,30000000,75.812,5.1,31447,92,"Comedy,Family",,86.0,,4/13/2012,75.0,48.75,1.566,15.264,14.7182,54819301,44338224.0
446,The Five-Year Engagement,30000000,22.402,6.2,98010,124,"Comedy,Romance",64.0,51.0,R,4/27/2012,107.0,32.0,8.382,6.734,32.90239999999999,54169363,28835528.0
447,Red Dawn,65000000,61.226,5.3,76455,93,"Action,Drama",15.0,51.0,PG-13,11/21/2012,79.0,56.875,3.236,2.0455,17.9658,50950296,44806783.0
448,Red Tails,58000000,85.162,5.9,35314,125,"Action,Drama,History",40.0,58.0,PG-13,1/20/2012,65.0,42.125,1.99,3.1355,13.443000000000001,50365498,49876377.0
449,HOUBA! On the Trail of the Marsupilami,50000000,9.62,5.5,3861,105,"Adventure,Comedy,Family",,36.0,,0,,,7.916,3.038666667,10.03,50146474,
450,Tad: The Lost Explorer,10500000,52.658,5.9,8052,92,"Adventure,Animation,Comedy",,40.0,,0,,,2.563,1.86725,2.977,49490859,
451,A Turtle's Tale 2: Sammy's Escape from Paradise,0,15.033,5.6,2261,92,"Adventure,Animation,Family",,,,0,,,15.264,15.264,6.0944,49261830,
452,Trouble with the Curve,0,20.771,6.8,63434,111,"Drama,Sport",51.0,66.0,PG-13,9/21/2012,93.0,40.25,4.987,13.144,21.1486,48963137,35763137.0
453,Man on a Ledge,42000000,42.015,6.6,150614,102,"Action,Crime,Thriller",31.0,52.0,PG-13,1/27/2012,122.0,50.0,1.4,2.071,14.8642,47636031,18620000.0
454,A Werewolf Boy,0,54.226,7.3,7810,122,"Drama,Fantasy,Romance",100.0,85.0,,0,,,4.238,2.07,8.965599999999998,46282588,
455,Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,0,43.341,6.8,376,100,"Action,Adventure,Animation",,,,0,,,15.264,15.264,8.4048,46180706,
456,Detective Conan: The Eleventh Striker,0,13.075,6.5,1472,110,"Action,Adventure,Animation",,,,0,,,15.264,15.264,7.468199999999999,44369456,
457,House at the End of the Street,6900000,15.84,5.5,76458,101,"Drama,Horror,Thriller",13.0,41.0,PG-13,9/21/2012,101.0,43.0,2.216,1.827333333,17.6944,44287131,31611916.0
458,The Guilt Trip,40000000,12.586,5.8,37054,95,"Comedy,Drama",37.0,39.0,PG-13,12/19/2012,115.0,46.25,4.434,4.935333333,20.9046,41863726,37134215.0
459,Safe,30000000,29.455,6.5,109351,94,"Action,Crime,Thriller",59.0,59.0,R,4/27/2012,128.0,95.625,10.648,1.7445,20.6578,41564670,17142080.0
460,Dredd,50000000,24.515,7.1,268765,95,"Action,Crime,Sci-Fi",79.0,72.0,R,9/21/2012,137.0,53.25,2.997,2.4964,19.491400000000002,41037742,13414714.0
461,La vérité si je mens! 3,25496629,6.124,5.3,1762,112,Comedy,,22.0,,0,,,0.698,15.264,4.489199999999999,40928635,
462,Chernobyl Diaries,1000000,48.85,5.0,65892,86,"Horror,Mystery,Thriller",19.0,28.0,R,5/25/2012,124.0,38.625,5.687,1.7425,9.0838,38390020,18119640.0
463,Killing Them Softly,15000000,19.072,6.2,141520,97,"Crime,Drama,Thriller",74.0,44.0,R,11/30/2012,134.0,43.75,2.943,7.5224,16.2416,37930465,15026056.0
464,Rurouni Kenshin Part I: Origins,0,44.75,7.4,25600,134,"Action,Adventure,Drama",,,,0,,,15.264,15.264,10.837,61700000,
465,Conquest 1453,2581561,8.236,6.8,57979,162,"Action,Drama,History",40.0,52.0,,0,,,1.35,1.35,5.230600000000001,35797045,
466,Good Deeds,0,8.486,5.6,7871,129,"Comedy,Drama,Romance",12.0,55.0,PG-13,2/24/2012,96.0,42.125,3.377,1.664,13.2016,35579177,35025791.0
467,Arbitrage,12000000,11.767,6.6,51967,107,"Drama,Thriller",87.0,62.0,R,9/14/2012,153.0,32.625,0.652,1.804,18.282799999999998,35485056,7919574.0
468,Welcome to the North,6000000,7.761,5.3,3877,110,Comedy,,,,0,,,15.264,15.264,2.8078,35000000,
469,Chimpanzee,5000000,8.163,7.1,6126,78,"Documentary,Family",76.0,75.0,G,4/20/2012,106.0,42.0,0.0,1.806666667,,34823764,28972764.0
470,Alex Cross,45000000,16.078,5.1,33841,101,"Action,Crime,Mystery",11.0,47.0,PG-13,10/19/2012,111.0,44.625,5.541,2.185666667,11.085399999999998,34618867,25888412.0
471,Salmon Fishing in the Yemen,0,12.719,6.8,64324,107,"Comedy,Drama,Romance",67.0,64.0,PG-13,3/9/2012,151.0,51.75,6.687,1.432,13.8868,34564651,9047981.0
472,Haywire,23000000,35.203,5.8,86513,93,"Action,Drama,Thriller",80.0,41.0,R,1/20/2012,121.0,44.5,4.052,4.44,15.963600000000003,34513760,18942396.0
473,Adventures in Zambezia,20000000,28.971,5.7,7207,83,"Adventure,Animation,Comedy",,,,0,,,15.264,15.264,19.1988,34428345,
474,Cirque du Soleil: Worlds Away,0,12.609,6.8,8048,91,Fantasy,45.0,94.0,PG,12/21/2012,152.0,45.0,6.366,4.556,1.3083999999999998,34153101,12512862.0
475,Three Heroes on Distant Shores,0,3.372,5.2,942,65,Animation,,,,0,,,15.264,15.264,4.6714,33674759,
476,2016: Obama's America,2500000,4.99,5.1,10697,87,"Documentary,Fantasy",26.0,73.0,PG,7/13/2012,100.0,50.0,0.0,0.6,2.7588,33449086,33449086.0
477,The Perks of Being a Wallflower,13000000,42.243,8.0,495624,103,"Drama,Romance",85.0,89.0,PG-13,9/21/2012,127.0,72.5,9.003,6.871333333,32.70739999999999,33400000,17742948.0
478,Lockout,20000000,83.117,6.1,97798,95,"Action,Sci-Fi,Thriller",37.0,46.0,PG-13,4/13/2012,135.0,55.125,0.0,0.977,15.544599999999999,32948113,14326864.0
479,Bait,30000000,16.383,5.2,17560,93,Horror,100.0,61.0,,0,,,0.833,0.6,14.188999999999998,32813407,
480,Part of Me,12000000,19.472,5.9,13621,93,"Documentary,Music",75.0,72.0,PG,7/5/2012,112.0,80.875,0.0,3.6125,5.049,32726956,25326071.0
481,Nameless Gangster: Rules of the Time,125000,15.142,7.0,6460,134,"Action,Crime,Drama",,,,0,,,15.264,15.264,10.0946,32472645,
482,Movie 43,6000000,77.579,4.3,104499,94,Comedy,4.0,24.0,R,1/25/2013,147.0,46.75,0.0,15.264,25.061799999999998,32438988,8840453.0
483,Seven Psychopaths,15000000,20.99,7.2,253157,110,"Comedy,Crime",83.0,71.0,R,10/12/2012,133.0,47.0,5.141,4.102,25.7266,33035736,15024049.0
484,The Floating Castle,0,6.348,6.4,563,144,"Comedy,Drama,History",,,,0,,,15.264,15.264,3.7492000000000005,31967471,
485,The Dream Team,0,11.906,6.5,15196,113,"Comedy,Crime,Thriller",53.0,61.0,PG-13,0,,,3.576,0.6,19.111400000000003,31822402,
486,Joyful Noise,0,11.423,5.7,8382,118,"Comedy,Drama,Music",32.0,65.0,PG-13,1/13/2012,104.0,41.5,2.171,1.577,9.7252,31158113,30932113.0
487,Premium Rush,35000000,22.701,6.5,113256,91,"Action,Crime,Thriller",74.0,60.0,PG-13,8/24/2012,117.0,46.25,8.283,1.176,15.930800000000001,31083599,20275446.0
488,Playing for Keeps,35000000,12.643,5.7,30065,105,"Comedy,Romance,Sport",4.0,41.0,PG-13,12/7/2012,139.0,38.0,8.906,7.110166667,16.3564,30962335,13103272.0
489,The Grand Heist,0,3.017,6.3,807,121,"Action,Comedy,History",,,,0,,,15.264,15.264,8.235400000000002,30158762,
490,The Raven,26000000,48.667,6.4,84650,110,"Crime,Mystery,Thriller",22.0,46.0,R,4/27/2012,130.0,54.75,7.18,2.084,21.1372,29699345,16008272.0
491,Amour,8900000,12.769,7.9,98678,127,Drama,93.0,82.0,PG-13,12/19/2013,156.0,84.625,3.219,1.199666667,5.2408,29844753,6739492.0
492,All About My Wife,0,4.27,6.6,1493,121,"Comedy,Drama,Romance",,65.0,,0,,,5.207,15.264,8.31,29382038,
493,Rowdy Rathore,6700000,7.102,5.9,22272,140,"Action,Comedy,Crime",50.0,55.0,,6/1/2012,,34.25,2.714,1.127,2.5174,31000000,
494,SPEC: Heaven,0,2.564,5.9,310,119,Drama,,,,0,,,15.264,15.264,10.804599999999999,29023960,
495,We Were There: True Love,0,2.535,7.0,506,121,"Drama,Romance",,,,0,,,15.264,15.264,7.2421999999999995,28876929,
496,Bol Bachchan,12,4.11,5.6,8921,155,"Action,Comedy",71.0,51.0,PG,7/6/2012,,26.125,3.007,2.2565,4.1486,28775262,
497,The Master,32000000,19.293,7.1,170048,138,Drama,84.0,62.0,R,9/14/2012,131.0,60.5,6.707,5.021,20.0934,28258060,16377274.0
498,Hitchcock,15700000,12.767,6.8,75408,98,"Biography,Drama,Romance",60.0,60.0,PG-13,11/23/2012,169.0,73.75,1.865,3.5842,23.9748,27039669,6008677.0
499,Architecture 101,0,7.726,7.2,3641,118,"Drama,Romance",,,,0,,,15.264,15.264,8.332799999999999,26642354,
500,Lesson of the Evil,0,7.436,6.6,6098,129,"Horror,Thriller",,58.0,,0,,,7.704,0.708333333,9.7382,26167224,
501,Agneepath,0,7.668,7.6,8887,174,"Action,Crime,Drama",92.0,62.0,,0,,,1.052,2.353,3.2891999999999997,26001696,
