,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,0,Frozen,1280802282,400738009,31.3,880064273,68.7,90.0,85.0,PG,"ChrisBuck,JenniferLee","MikeHuang,PeterDelVecho,KristinYadamec,AngelaFrancesDanna,DaraMcgarry,KellyEisert,JamesEHasman,NathanCurtis,JulieBaner,SheriPatterson",11-27-2013,401000000.0,7.5,608533,movie,Frozen,0,2013,102,"Adventure,Animation,Comedy"
1,1,Iron Man 3,1214811252,409013994,33.7,805797258,66.3,79.0,78.0,PG-13,ShaneBlack,KevinFeige,5-3-2013,409000000.0,7.2,820282,movie,Iron Man Three,0,2013,130,"Action,Adventure,Sci-Fi"
2,2,Despicable Me 2,970766005,368065385,37.9,602700620,62.1,75.0,85.0,PG,"ChrisRenaud,PierreCoffin","ChristopherMeledandri,JanetHealy",7-3-2013,368000000.0,7.3,389969,movie,Despicable Me 2,0,2013,98,"Adventure,Animation,Comedy"
3,3,The Hobbit: The Desolation of Smaug,958366855,258366855,27,700000000,73.0,74.0,85.0,PG-13,PeterJackson,"CarolynneCunningham,ZaneWeiner,FranWalsh,PeterJackson",12-13-2013,258399999.99999997,7.8,640048,movie,The Hobbit: The Desolation of Smaug,0,2013,161,"Adventure,Fantasy"
4,4,The Hunger Games: Catching Fire,865011746,424668047,49.1,440343699,50.9,90.0,89.0,PG-13,FrancisLawrence,"JonKilik,NinaJacobson",11-22-2013,,7.5,648558,movie,The Hunger Games: Catching Fire,0,2013,146,"Action,Adventure,Drama"
5,5,Fast & Furious 6,788679850,238679850,30.3,550000000,69.7,71.0,84.0,PG-13,JustinLin,"NealH.Moritz,VinDiesel,ClaytonTownsend",5-24-2013,238700000.0,7.1,388161,movie,Furious 6,0,2013,130,"Action,Crime,Thriller"
6,6,Monsters University,743559607,268492764,36.1,475066843,63.9,80.0,81.0,G,DanScanlon,KoriRae,6-21-2013,268500000.0,7.3,348397,movie,Monsters University,0,2013,104,"Adventure,Animation,Comedy"
7,7,Gravity,723192705,274092705,37.9,449100000,62.1,,,,,,,,7.7,808963,movie,Gravity,0,2013,91,"Action,Drama,Sci-Fi"
8,8,Man of Steel,668045518,291045518,43.6,377000000,56.4,56.0,75.0,PG-13,ZackSnyder,"CharlesRoven,ChristopherNolan,EmmaThomas,DeborahSnyder",6-14-2013,291000000.0,7.1,749635,movie,Man of Steel,0,2013,143,"Action,Adventure,Sci-Fi"
9,9,Thor: The Dark World,644783140,206362140,32,438421000,68.0,66.0,75.0,PG-13,AlanTaylor,KevinFeige,11-8-2013,206400000.0,6.8,653648,movie,Thor: The Dark World,0,2013,112,"Action,Adventure,Fantasy"
10,10,The Croods,587204668,187168425,31.9,400036243,68.1,72.0,77.0,PG,"ChristopherSanders,KirkDeMicco","KristineBelson,JaneHartwell",3-22-2013,187200000.0,7.2,209335,movie,The Croods,0,2013,98,"Adventure,Animation,Comedy"
11,11,World War Z,540007876,202359711,37.5,337648165,62.5,66.0,72.0,PG-13,MarcForster,"BradPitt,DedeGardner,JeremyKleiner,IanBryce",6-21-2013,202400000.0,7.0,644784,movie,World War Z,0,2013,116,"Action,Adventure,Horror"
12,12,Oz the Great and Powerful,493311825,234911825,47.6,258400000,52.4,57.0,56.0,PG,SamRaimi,JoeRoth,3-8-2013,234900000.0,6.3,205745,movie,Oz the Great and Powerful,0,2013,130,"Adventure,Family,Fantasy"
13,13,Star Trek Into Darkness,467365246,228778661,49,238586585,51.0,84.0,89.0,PG-13,J.J.Abrams,"J.J.Abrams,BryanBurk,DamonLindelof,AlexKurtzman,RobertoOrci",5-16-2013,228800000.0,7.7,478249,movie,Star Trek Into Darkness,0,2013,132,"Action,Adventure,Sci-Fi"
