,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
23,23,The SpongeBob Movie: Sponge Out of Water,325186032,162994032,50.1,162192000,49.9,81.0,54.0,PG,"PaulTibbitt,MikeMitchell","PaulTibbitt,MaryParent",2-6-2015,163400000.0,6.0,54005,movie,The SpongeBob Movie: Sponge Out of Water,0,2015,92,"Adventure,Animation,Comedy"
24,24,Maze Runner: The Scorch Trials,312296056,81697192,26.2,230598864,73.8,48.0,54.0,PG-13,WesBall,"EllenGoldsmith-Vein,WyckGodfrey,MartyBowen,LeeStollman,JoeHartwickJr.",9-18-2015,81700000.0,6.3,242286,movie,Maze Runner: The Scorch Trials,0,2015,131,"Action,Adventure,Sci-Fi"
25,25,The Divergent Series: Insurgent,297002527,130179072,43.8,166823455,56.2,,,,,,,,6.2,232368,movie,Insurgent,0,2015,119,"Action,Adventure,Sci-Fi"
26,26,Pitch Perfect 2,287144079,184296230,64.2,102847849,35.8,65.0,64.0,PG-13,ElizabethBanks,"PaulBrooks,MaxHandelman,ElizabethBanks",5-15-2015,183700000.0,6.4,153411,movie,Pitch Perfect 2,0,2015,115,"Comedy,Music"
27,27,Mojin: The Lost Legend,259368448,1243810,0.5,258124638,99.5,56.0,56.0,,Wuershan,,12-18-2015,1100000.0,5.9,3850,movie,Xun long jue,0,2015,127,"Action,Adventure,Drama"
28,28,Lost in Hong Kong,256283912,1302281,0.5,254981631,99.5,60.0,49.0,,ZhengXu,ZhengXu,9-25-2015,1300000.0,5.4,1642,movie,Gang jiong,0,2015,114,"Action,Adventure,Comedy"
29,29,The Peanuts Movie,246233113,130178411,52.9,116054702,47.1,87.0,76.0,G,SteveMartino,"CraigSchulz,BryanSchulz,CorneliusUliano,PaulFeig,MichaelJ.Travers",11-6-2015,130100000.0,7.0,45223,movie,The Peanuts Movie,0,2015,88,"Adventure,Animation,Comedy"
30,30,Pixels,244874809,78747585,32.2,166127224,67.8,18.0,46.0,PG-13,ChrisColumbus,"AllenCovert,MarkRadcliffe,ChrisColumbus,AdamSandler",7-24-2015,78700000.0,5.6,140785,movie,Pixels,0,2015,105,"Action,Comedy,Fantasy"
31,31,Daddy's Home,242786137,150357137,61.9,92429000,38.1,30.0,49.0,PG-13,SeanAnders,"WillFerrell,AdamMcKay,ChrisHenchy,JohnMorris",12-25-2015,150300000.0,6.1,117675,movie,Daddy's Home,0,2015,96,"Comedy,Family"
32,32,Spy,235666219,110825712,47,124840507,53.0,95.0,78.0,R,PaulFeig,"PeterChernin,JennoTopping,PaulFeig,JessieHenderson",6-5-2015,,7.0,241475,movie,Spy,0,2015,120,"Action,Comedy"
33,33,Alvin and the Chipmunks: The Road Chip,234798636,85886987,36.6,148911649,63.4,15.0,51.0,PG,WaltBecker,"JaniceKarman,RossBagdasarianJr.",12-18-2015,85900000.0,5.0,19182,movie,Alvin and the Chipmunks: The Road Chip,0,2015,92,"Adventure,Animation,Comedy"
34,34,Goodbye Mr. Loser,228122928,1293626,0.6,226829302,99.4,,80.0,,"Da-MoPeng,FeiYan",,10-9-2015,1300000.0,6.7,2779,movie,Xia Luo te fan nao,0,2015,104,Comedy
35,35,Ted 2,215863606,81476385,37.7,134387221,62.3,44.0,50.0,R,SethMacFarlane,"ScottStuber,SethMacFarlane,JasonClark,JohnJacobs",6-26-2015,81300000.0,6.3,202247,movie,Ted 2,0,2015,115,Comedy
36,36,Tomorrowland,209035668,93436322,44.7,115599346,55.3,50.0,49.0,PG,BradBird,"DamonLindelof,BradBird,JeffreyChernov",5-22-2015,93400000.0,6.4,180388,movie,Tomorrowland,0,2015,130,"Action,Adventure,Family"
37,37,Everest,203427584,43482270,21.4,159945314,78.6,72.0,68.0,PG-13,BaltasarKormákur,"TimBevan,EricFellner,BaltasarKormákur,NickyKentishBarnes,BrianOliver,TylerThompson",9-25-2015,43200000.0,7.1,214035,movie,Everest,0,2015,121,"Action,Adventure,Biography"
38,38,Straight Outta Compton,201634991,161197785,79.9,40437206,20.1,89.0,91.0,R,F.GaryGray,"IceCube,TomicaWoods-Wright,MattAlvarez,F.GaryGray,ScottBernstein,Dr.Dre",8-14-2015,161000000.0,7.8,196169,movie,Straight Outta Compton,0,2015,147,"Biography,Drama,History"
39,39,The Intern,194564672,75764672,38.9,118800000,61.1,59.0,73.0,PG-13,NancyMeyers,"NancyMeyers,SuzanneFarwell",9-25-2015,75600000.0,7.1,245006,movie,The Intern,0,2015,121,"Comedy,Drama"
40,40,Jian Bing Man,186683536,-,-,186683536,100.0,,55.0,,DaPeng,,,300.0K,5.6,1184,movie,Jian bing xia,0,2015,113,Comedy
41,41,Jupiter Ascending,183887723,47387723,25.8,136500000,74.2,28.0,38.0,PG-13,"LillyWachowski,LanaWachowski","GrantHill,LillyWachowski,LanaWachowski",2-6-2015,47400000.0,5.3,186879,movie,Jupiter Ascending,0,2015,127,"Action,Adventure,Sci-Fi"
42,42,Creed,173567581,109767581,63.2,63800000,36.8,95.0,89.0,PG-13,RyanCoogler,"IrwinWinkler,RobertChartoff,CharlesWinkler,WilliamChartoff,DavidWinkler,KevinKingTempleton,SylvesterStallone",11-25-2015,109700000.0,7.6,265974,movie,Creed,0,2015,133,"Action,Drama,Sport"
43,43,Fantastic Four,167882881,56117548,33.4,111765333,66.6,9.0,18.0,PG-13,JoshTrank,"SimonKinberg,MatthewVaughn,HutchParker,RobertKulzer,GregoryGoodman",8-7-2015,56000000.0,4.3,162784,movie,Fantastic Four,0,2015,100,"Action,Adventure,Sci-Fi"
44,44,Bridge of Spies,165478348,72313754,43.7,93164594,56.3,91.0,87.0,PG-13,StevenSpielberg,"StevenSpielberg,MarcPlatt,KristieMacoskoKrieger",10-16-2015,72300000.0,7.6,305481,movie,Bridge of Spies,0,2015,142,"Drama,History,Thriller"
45,45,From Vegas to Macau II,163877532,-,-,163877532,100.0,,,,,,,,4.6,1076,movie,Du cheng feng yun II,0,2015,109,"Action,Adventure,Comedy"
46,46,Focus,158762963,53862963,33.9,104900000,66.1,,,,ChristopherYoung,,,,6.6,240378,movie,Focus,0,2015,105,"Comedy,Crime,Drama"
47,47,Goosebumps,158260952,80080379,50.6,78180573,49.4,78.0,62.0,PG,RobLetterman,"DeborahA.Forte,NealH.Moritz",10-16-2015,80100000.0,6.3,87066,movie,Goosebumps,0,2015,103,"Adventure,Comedy,Fantasy"
48,48,Ip Man 3,156954938,2679437,1.7,154275501,98.3,76.0,73.0,PG-13,WilsonYip,RaymondPak-MingWong,1-22-2016,2500000.0,7.0,54234,movie,Yip Man 3,0,2015,105,"Action,Biography,Drama"
49,49,The Hateful Eight,155760117,54117416,34.7,101642701,65.3,74.0,76.0,R,QuentinTarantino,"RichardN.Gladstein,StaceySher,ShannonMcIntosh",12-30-2015,54100000.0,7.8,574482,movie,The Hateful Eight,0,2015,168,"Crime,Drama,Mystery"
50,50,Monkey King: Hero Is Back,153262397,-,-,153262397,100.0,,52.0,PG,TianXiaoPeng,"WeiLu,HuiLiang,NingLin,YonganXu,FengYi",7-29-2016,,6.8,4221,movie,Xi you ji zhi da sheng gui lai,0,2015,89,"Action,Adventure,Animation"
51,51,The Last Witch Hunter,146936910,27367660,18.6,119569250,81.4,18.0,43.0,PG-13,BreckEisner,"MarkCanton,VinDiesel,BernieGoldmann",10-23-2015,27400000.0,5.9,102509,movie,The Last Witch Hunter,0,2015,106,"Action,Adventure,Fantasy"
52,52,Trainwreck,140795793,110212700,78.3,30583093,21.7,84.0,66.0,R,JuddApatow,"JuddApatow,BarryMendel",7-17-2015,,6.2,135722,movie,Trainwreck,0,2015,125,"Comedy,Drama,Romance"
53,53,Mr. Six,139191345,1415450,1,137775895,99.0,,,,,,,,6.9,3807,movie,Lao pao er,0,2015,134,"Action,Drama"
54,54,Point Break,133718711,28782481,21.5,104936230,78.5,11.0,29.0,,EricsonCore,,,,5.3,62035,movie,Point Break,0,2015,114,"Action,Adventure,Crime"
55,55,The Big Short,133440870,70259870,52.7,63181000,47.3,89.0,88.0,R,AdamMcKay,"BradPitt,DedeGardner,JeremyKleiner,ArnonMilchan",12-23-2015,70200000.0,7.8,412806,movie,The Big Short,0,2015,130,"Biography,Comedy,Drama"
56,56,Pan,128388320,35088320,27.3,93300000,72.7,27.0,40.0,PG,JoeWright,"GregBerlanti,SarahSchechter,PaulWebster",10-9-2015,35100000.0,5.7,63396,movie,Pan,0,2015,111,"Adventure,Comedy,Family"
57,57,Detective Chinatown,125842935,474252,0.4,125368683,99.6,,73.0,,SichengChen,ZhiXiChen,1-15-2016,435.7K,6.6,2627,movie,Tang ren jie tan an,0,2015,136,"Action,Comedy,Mystery"
58,58,Wolf Totem,125837070,210591,0.2,125626479,99.8,67.0,50.0,PG-13,Jean-JacquesAnnaud,,9-11-2015,,6.6,5857,movie,Le dernier loup,0,2015,121,"Adventure,Drama"
59,59,Dragon Blade,122593849,74068,<0.1,122519781,99.9,,,,,,,,5.9,19752,movie,Tian jiang xiong shi,0,2015,127,"Action,Drama,Fantasy"
60,60,Magic Mike XXL,117813057,66013057,56,51800000,44.0,65.0,55.0,R,GregoryJacobs,"NickWechsler,GregoryJacobs,ChanningTatum,ReidCarolin",7-1-2015,66000000.0,5.6,55231,movie,Magic Mike XXL,0,2015,115,"Comedy,Drama,Music"
61,61,Insidious: Chapter 3,112983889,52218558,46.2,60765331,53.8,58.0,51.0,PG-13,LeighWhannell,"JasonBlum,OrenPeli,JamesWan",6-5-2015,52200000.0,6.1,102345,movie,Insidious: Chapter 3,0,2015,97,"Horror,Mystery,Thriller"
