movie,startdate,releasedate,Text,mean_google_trend_popularity
Star Wars: Episode VII - The Force Awakens,2015-12-11,2015-12-18,,22.125
Jurassic World,2015-06-05,2015-06-12,,37.5
Furious 7,2015-03-27,2015-04-03,,32.625
Avengers: Age of Ultron,2015-04-24,2015-05-01,,59.25
Minions,2015-07-03,2015-07-10,,70.125
Spectre,2015-10-30,2015-11-06,,53.375
Inside Out,2015-06-12,2015-06-19,,35.125
Mission: Impossible - Rogue Nation,2015-07-24,2015-07-31,,32.375
The Hunger Games: Mockingjay - Part 2,2015-11-13,2015-11-20,,44.0
The Martian,2015-09-25,2015-10-02,,38.0
Fifty Shades of Grey,2015-02-06,2015-02-13,,44.5
Cinderella,2015-03-06,2015-03-13,,44.625
The Revenant,2016-01-01,2016-01-08,,60.25
Ant-Man,2015-07-10,2015-07-17,,37.5
Hotel Transylvania 2,2015-09-18,2015-09-25,,49.0
San Andreas,2015-05-22,2015-05-29,,58.875
Terminator Genisys,2015-06-24,2015-07-01,,57.25
Kingsman: The Secret Service,2015-02-06,2015-02-13,,47.25
Monster Hunt,2020-12-11,2020-12-18,,64.875
Home,2015-03-20,2015-03-27,,95.125
Mad Max: Fury Road,2015-05-08,2015-05-15,,40.875
The Good Dinosaur,2015-11-18,2015-11-25,,46.25
Taken 3,2015-01-02,2015-01-09,,47.5
The SpongeBob Movie: Sponge Out of Water,2015-01-30,2015-02-06,,29.5
Maze Runner: The Scorch Trials,2015-09-11,2015-09-18,,68.75
The Divergent Series: Insurgent,2015-03-13,2015-03-20,,40.375
Pitch Perfect 2,2015-05-08,2015-05-15,,41.5
Mojin: The Lost Legend,2015-12-11,2015-12-18,,33.875
Lost in Hong Kong,2015-09-18,2015-09-25,,24.5
The Peanuts Movie,2015-10-30,2015-11-06,,39.75
Pixels,2015-07-17,2015-07-24,,49.0
Daddy's Home,2015-12-18,2015-12-25,,28.125
Spy,2015-05-29,2015-06-05,,67.375
Alvin and the Chipmunks: The Road Chip,2015-12-11,2015-12-18,,40.125
Goodbye Mr. Loser,2015-10-02,2015-10-09,,36.75
Ted 2,2015-06-19,2015-06-26,,44.0
Tomorrowland,2015-05-15,2015-05-22,,46.375
Everest,2015-09-18,2015-09-25,,73.875
Straight Outta Compton,2015-08-07,2015-08-14,,40.75
The Intern,2015-09-18,2015-09-25,,34.875
Jupiter Ascending,2015-01-30,2015-02-06,,42.0
Creed,2015-11-18,2015-11-25,,66.5
Fantastic Four,2015-07-31,2015-08-07,,36.0
Bridge of Spies,2015-10-09,2015-10-16,,29.625
Focus,2015-02-20,2015-02-27,,75.75
Goosebumps,2015-10-09,2015-10-16,,44.125
Ip Man 3,2016-01-15,2016-01-22,,69.375
The Hateful Eight,2015-12-23,2015-12-30,,81.75
Monkey King: Hero Is Back,2016-07-22,2016-07-29,,44.5
Gods of Egypt,2016-02-19,2016-02-26,,33.75
The Last Witch Hunter,2015-10-16,2015-10-23,,38.375
Trainwreck,2015-07-10,2015-07-17,,36.25
Point Break,2015-12-18,2015-12-25,,37.25
The Big Short,2015-12-16,2015-12-23,,48.375
Pan,2015-10-02,2015-10-09,,76.875
Detective Chinatown,2016-01-08,2016-01-15,,27.875
Wolf Totem,2015-09-04,2015-09-11,,29.625
Ride Along 2,2016-01-08,2016-01-15,,36.875
Magic Mike XXL,2015-06-24,2015-07-01,,42.875
Insidious: Chapter 3,2015-05-29,2015-06-05,,40.125
Get Hard,2015-03-20,2015-03-27,,38.875
The 5th Wave,2016-01-15,2016-01-22,,50.875
Paul Blart: Mall Cop 2,2015-04-10,2015-04-17,,40.5
Vacation,2015-07-22,2015-07-29,,79.25
The Man from U.N.C.L.E.,2015-08-07,2015-08-14,,26.0
Shaun the Sheep Movie,2015-07-29,2015-08-05,,39.375
Sisters,2021-10-22,2021-10-29,,89.375
Chappie,2015-02-27,2015-03-06,,44.875
Joy,2015-12-18,2015-12-25,,57.125
Black Mass,2015-09-11,2015-09-18,,41.625
Spotlight,2015-11-13,2015-11-20,,80.0
The Visit,2015-09-04,2015-09-11,,52.25
