movie,startdate,releasedate,Text,mean_google_trend_popularity
The Eight Hundred,2020-08-21,2020-08-28,,59.0
Demon Slayer the Movie: Mugen Train,2021-04-16,2021-04-23,,40.875
Bad Boys for Life,2020-01-10,2020-01-17,,36.625
Tenet,2020-08-27,2020-09-03,,78.625
Sonic the Hedgehog,2020-02-07,2020-02-14,,39.875
Dolittle,2020-01-10,2020-01-17,,50.875
The Croods 2: A New Age,2020-11-18,2020-11-25,,32.75
Birds of Prey,2020-01-31,2020-02-07,,37.375
Wonder Woman 1984,2020-12-18,2020-12-25,,25.75
The Invisible Man,2020-02-21,2020-02-28,,41.0
Onward,2020-02-28,2020-03-06,,50.0
The Call of the Wild,2020-02-14,2020-02-21,,50.375
The Rescue,2021-10-01,2021-10-08,,86.5
Vanguard,2020-11-13,2020-11-20,,82.5
The New Mutants,2020-08-21,2020-08-28,,32.75
Fantasy Island,2020-02-07,2020-02-14,,30.0
After We Collided,2020-10-16,2020-10-23,,31.125
Unhinged,2020-08-07,2020-08-14,,67.0
Peninsula,2020-07-31,2020-08-07,,90.375
Monster Hunter,2020-12-11,2020-12-18,,74.75
Underwater,2020-01-03,2020-01-10,,49.625
The War with Grandpa,2020-10-02,2020-10-09,,48.0
Sarileru Neekevvaru,2020-01-03,2020-01-10,,44.75
Deliver Us from Evil,2014-06-25,2014-07-02,,41.5
Bloodshot,2020-03-06,2020-03-13,,53.125
Honest Thief,2020-10-02,2020-10-09,,68.0
Like a Boss,2020-01-03,2020-01-10,,34.625
Emma.,2020-02-14,2020-02-21,,64.875
The Father,2021-02-19,2021-02-26,,89.75
Gretel & Hansel,2020-01-24,2020-01-31,,21.125
The Photograph,2020-02-07,2020-02-14,,29.875
Brahms: The Boy II,2020-02-14,2020-02-21,,31.625
The Turning,2020-01-17,2020-01-24,,37.125
Promising Young Woman,2020-12-18,2020-12-25,,53.25
Baaghi 3,2020-02-28,2020-03-06,,25.25
I Still Believe,2020-03-06,2020-03-13,,57.5
Freaky,2020-11-06,2020-11-13,,44.0
The Way Back,2011-01-14,2011-01-21,,68.25
The Personal History of David Copperfield,2020-08-21,2020-08-28,,35.0
Come Play,2020-10-23,2020-10-30,,55.375
News of the World,2020-12-18,2020-12-25,,45.625
Let Him Go,2020-10-30,2020-11-06,,45.125
The Hunt,2020-03-06,2020-03-13,,48.375
Impractical Jokers: The Movie,2020-02-14,2020-02-21,,30.25
Downhill,2020-02-07,2020-02-14,,33.125
100% Wolf,2020-10-02,2020-10-09,,49.125
Fatale,2020-12-11,2020-12-18,,54.375
Chhapaak,2020-01-03,2020-01-10,,28.5
My Boyfriend's Meds,2020-02-14,2020-02-21,,41.25
Bill & Ted Face the Music,2020-08-21,2020-08-28,,20.625
The Rhythm Section,2020-01-24,2020-01-31,,27.625
Panga,2020-01-17,2020-01-24,,26.0
The SpongeBob Movie: Sponge on the Run,2020-08-07,2020-08-14,,46.125
The Empty Man,2020-10-16,2020-10-23,,33.25
The Broken Hearts Gallery,2020-09-04,2020-09-11,,42.5
