,Unnamed: 0,Unnamed: 0.1,Movie Title,Worldwide,Budget,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,0,0,Toy Story 3,1066969703,415004880,38.9,651964823,61.1,98.0,90.0,G,LeeUnkrich,DarlaK.Anderson,6-18-2010,415000000.0,8.3,809276,movie,Toy Story 3,0,2010,103,"Adventure,Animation,Comedy"
1,1,1,Alice in Wonderland,1025467110,334191110,32.6,691276000,67.4,,48.0,,"CecilM.Hepworth,PercyStow",,10-17-1903,,6.4,405035,movie,Alice in Wonderland,0,2010,108,"Adventure,Family,Fantasy"
2,2,2,Alice in Wonderland,1025467110,334191110,32.6,691276000,67.4,,48.0,,"CecilM.Hepworth,PercyStow",,10-17-1903,,7.2,12,movie,Alice in Wonderland,0,2010,99,"Fantasy,Musical"
3,3,3,Harry Potter and the Deathly Hallows: Part 1,976536918,295983305,30.3,680553613,69.7,77.0,85.0,PG-13,DavidYates,"DavidHeyman,DavidBarron,J.K.Rowling",11-19-2010,295000000.0,7.7,527205,movie,Harry Potter and the Deathly Hallows: Part 1,0,2010,146,"Adventure,Family,Fantasy"
4,4,4,Inception,826137188,292576195,35.4,533560993,64.6,87.0,91.0,PG-13,ChristopherNolan,"ChristopherNolan,EmmaThomas",7-16-2010,292600000.0,8.8,2255111,movie,Inception,0,2010,148,"Action,Adventure,Sci-Fi"
5,5,5,Shrek Forever After,752600867,238736787,31.7,513864080,68.3,58.0,54.0,PG,MikeMitchell,"GinaShay,TeresaCheng",5-21-2010,,6.3,199029,movie,Shrek Forever After,0,2010,93,"Adventure,Animation,Comedy"
6,6,6,The Twilight Saga: Eclipse,698491347,300531751,43,397959596,57,48.0,60.0,PG-13,DavidSlade,"WyckGodfrey,KarenRosenfelt",6-30-2010,300500000.0,5.0,241520,movie,The Twilight Saga: Eclipse,0,2010,124,"Action,Adventure,Drama"
7,7,7,Iron Man 2,623933331,312433331,50.1,311500000,49.9,72.0,71.0,PG-13,JonFavreau,KevinFeige,5-7-2010,312100000.0,7.0,787754,movie,Iron Man 2,0,2010,124,"Action,Adventure,Sci-Fi"
8,8,8,Tangled,592461732,200821936,33.9,391639796,66.1,,40.0,,,,,,7.8,437762,movie,Tangled,0,2010,100,"Adventure,Animation,Comedy"
9,9,9,Despicable Me,543113985,251513985,46.3,291600000,53.7,81.0,82.0,PG,"ChrisRenaud,PierreCoffin","ChristopherMeledandri,JohnCohen,JanetHealy",7-9-2010,251500000.0,7.6,530731,movie,Despicable Me,0,2010,95,"Adventure,Animation,Comedy"
10,10,10,How to Train Your Dragon,494878759,217581231,44,277297528,56,99.0,91.0,PG,"ChristopherSanders,DeanDeBlois",BonnieArnold,3-26-2010,217400000.0,8.1,715401,movie,How to Train Your Dragon,0,2010,98,"Action,Adventure,Animation"
11,11,11,Clash of the Titans,493214993,163214888,33.1,330000105,66.9,27.0,40.0,PG-13,LouisLeterrier,"BasilIwanyk,KevinDeLaNoy",4-2-2010,163200000.0,5.8,279581,movie,Clash of the Titans,0,2010,106,"Action,Adventure,Fantasy"
12,12,12,The King's Speech,423999102,135453143,31.9,288545959,68.1,94.0,92.0,R,TomHooper,"IainCanning,EmileSherman,GarethUnwin",1-28-2011,138800000.0,8.0,668835,movie,The King's Speech,0,2010,118,"Biography,Drama,History"
13,13,13,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,104386950,25.1,311299267,74.9,50.0,58.0,PG,MichaelApted,"MarkJohnson,AndrewAdamson,PhilipSteuer",12-10-2010,104400000.0,6.3,151361,movie,The Chronicles of Narnia: The Voyage of the Dawn Treader,0,2010,113,"Adventure,Family,Fantasy"
14,14,14,TRON: Legacy,400062763,172062763,43,228000000,57,51.0,63.0,PG,JosephKosinski,"SeanBailey,JeffreySilver,StevenLisberger",12-17-2010,172100000.0,6.8,329642,movie,Tron,0,2010,125,"Action,Adventure,Sci-Fi"
15,15,15,The Karate Kid,359126022,176591618,49.2,182534404,50.8,66.0,67.0,PG,HaraldZwart,"JerryWeintraub,WillSmith,JadaPinkettSmith,JamesLassiter,KenStovitz",6-11-2010,,6.2,177554,movie,The Karate Kid,0,2010,140,"Action,Drama,Family"
16,16,16,Black Swan,329398046,106954678,32.5,222443368,67.5,85.0,84.0,R,DarrenAronofsky,"MikeMedavoy,ArnoldMesser,BrianOliver,ScottFranklin",12-17-2010,107000000.0,8.0,742745,movie,Black Swan,0,2010,108,"Drama,Thriller"
17,17,17,Megamind,321885765,148415853,46.1,173469912,53.9,72.0,72.0,PG,TomMcGrath,"LaraBreay,DeniseNolanCascino",11-5-2010,148300000.0,7.3,250945,movie,Megamind,0,2010,95,"Action,Animation,Comedy"
18,18,18,Robin Hood,321669741,105269730,32.7,216400011,67.3,15.0,40.0,PG-13,OttoBathurst,"JenniferDavissonKilloran,LeonardoDiCaprio,HowardEllis",11-21-2018,30800000.0,6.6,265180,movie,Robin Hood,0,2010,140,"Action,Adventure,Drama"
19,19,19,The Last Airbender,319713881,131772187,41.2,187941694,58.8,5.0,30.0,PG,M.NightShyamalan,"M.NightShyamalan,SamMercer,FrankMarshall",7-1-2010,131600000.0,4.0,161230,movie,The Last Airbender,0,2010,103,"Action,Adventure,Family"
20,20,20,Little Fockers,310650585,148438600,47.8,162211985,52.2,9.0,34.0,PG-13,PaulWeitz,"JaneRosenthal,RobertDeNiro,JayRoach,JohnHamburg",12-22-2010,148400000.0,5.5,111500,movie,Little Fockers,0,2010,98,"Comedy,Romance"
21,21,21,Resident Evil: Afterlife,300228084,60128566,20,240099518,80,21.0,48.0,R,PaulW.S.Anderson,"PaulW.S.Anderson,JeremyBolt,RobertKulzer,DonCarmody,BerndEichinger,SamuelHadida",9-10-2010,60100000.0,5.8,169427,movie,Resident Evil: Afterlife,0,2010,96,"Action,Adventure,Horror"
22,22,22,Shutter Island,294804195,128012934,43.4,166791261,56.6,68.0,77.0,R,MartinScorsese,"MikeMedavoy,ArnoldMesser,BradleyJ.Fischer,MartinScorsese",2-19-2010,128000000.0,8.2,1248932,movie,Shutter Island,0,2010,138,"Mystery,Thriller"
23,23,23,Salt,293503354,118311368,40.3,175191986,59.7,61.0,59.0,PG-13,PhillipNoyce,"LorenzodiBonaventura,SunilPerkash",7-23-2010,,6.5,309868,movie,Salt,0,2010,100,"Action,Thriller"
24,24,24,Sex and the City 2,290745055,95347692,32.8,195397363,67.2,16.0,43.0,R,MichaelPatrickKing,"MichaelPatrickKing,JohnMelfi,SarahJessicaParker,DarrenStar",5-27-2010,95300000.0,4.5,78980,movie,Sex and the City 2,0,2010,146,"Comedy,Drama,Romance"
25,25,25,The Tourist,278780441,67631157,24.3,211149284,75.7,20.0,42.0,PG-13,FlorianHenckelvonDonnersmarck,"GrahamKing,TimHeadington,RogerBirnbaum,GaryBarber,JonathanGlickman",12-10-2010,67600000.0,6.0,237778,movie,The Tourist,0,2010,103,"Action,Thriller"
26,26,26,The Expendables,274470394,103068524,37.6,171401870,62.4,42.0,64.0,R,SylvesterStallone,"AviLerner,JohnThompson,KevinKingTempleton",8-13-2010,103000000.0,6.4,340314,movie,The Expendables,0,2010,103,"Action,Adventure,Thriller"
27,27,27,Grown Ups,271430189,162001186,59.7,109429003,40.3,11.0,62.0,PG-13,DennisDugan,"AdamSandler,JackGiarraputo",6-25-2010,162000000.0,5.9,245587,movie,Grown Ups,0,2010,102,Comedy
28,28,28,True Grit,252276927,171243005,67.9,81033922,32.1,95.0,85.0,PG-13,"JoelCoen,EthanCoen","ScottRudin,JoelCoen,EthanCoen",12-22-2010,171000000.0,7.6,332413,movie,True Grit,0,2010,110,"Drama,Western"
29,29,29,Gulliver's Travels,237382724,42779261,18,194603463,82,,,,,,,,4.9,68898,movie,Gulliver's Travels,0,2010,85,"Adventure,Comedy,Family"
30,30,30,Percy Jackson & the Olympians: The Lightning Thief,226497209,88768303,39.2,137728906,60.8,49.0,53.0,PG,ChrisColumbus,"KarenRosenfelt,ChrisColumbus,MichaelBarnathan,MarkRadcliffe",2-12-2010,88800000.0,5.9,186001,movie,Percy Jackson & the Olympians: The Lightning Thief,0,2010,118,"Adventure,Family,Fantasy"
31,31,31,The Social Network,224920315,96962694,43.1,127957621,56.9,96.0,87.0,PG-13,DavidFincher,"ScottRudin,DanaBrunetti,MichaelDeLuca,CeánChaffin",10-1-2010,96900000.0,7.8,679305,movie,The Social Network,0,2010,120,"Biography,Drama"
32,32,32,Valentine's Day,216485654,110485654,51,106000000,49,18.0,47.0,PG-13,GarryMarshall,"MikeKarz,WayneAllanRice",2-12-2010,110500000.0,5.7,118968,movie,Valentine's Day,0,2010,125,"Comedy,Romance"
33,33,33,The Sorcerer's Apprentice,215283742,63150991,29.3,152132751,70.7,40.0,53.0,PG,JonTurteltaub,JerryBruckheimer,7-14-2010,63100000.0,6.1,160138,movie,The Sorcerer's Apprentice,0,2010,109,"Action,Adventure,Family"
34,34,34,Due Date,211780824,100539043,47.5,111241781,52.5,39.0,52.0,R,ToddPhillips,"ToddPhillips,DanGoldberg",11-5-2010,100400000.0,6.5,338617,movie,Due Date,0,2010,95,"Comedy,Drama"
35,35,35,Eat Pray Love,204594016,80574010,39.4,124020006,60.6,36.0,42.0,PG-13,RyanMurphy,DedeGardner,8-13-2010,80600000.0,5.8,95505,movie,Eat Pray Love,0,2010,133,"Biography,Drama,Romance"
36,36,36,Yogi Bear,203509374,100246011,49.3,103263363,50.7,13.0,34.0,PG,EricBrevig,"DonaldDeLine,KarenRosenfelt",12-17-2010,100200000.0,4.6,21742,movie,Yogi Bear,0,2010,81,"Adventure,Animation,Comedy"
37,37,37,RED,199006387,90380162,45.4,108626225,54.6,,,,,,,,7.0,304153,movie,RED,0,2010,111,"Action,Comedy,Crime"
38,38,38,Paranormal Activity 2,177512032,84752907,47.7,92759125,52.3,58.0,48.0,R,TodWilliams,"JasonBlum,OrenPeli",10-22-2010,84700000.0,5.7,103015,movie,Paranormal Activity 2,0,2010,91,"Horror,Mystery"
39,39,39,The A-Team,177238796,77222099,43.6,100016697,56.4,49.0,66.0,PG-13,JoeCarnahan,"JulesDaly,AlexYoung,IainSmith,StephenJ.Cannell,SpikeSeldin,TonyScott",6-11-2010,77200000.0,6.7,256237,movie,The A-Team,0,2010,117,"Action,Adventure,Thriller"
40,40,40,Jackass 3D,171685792,117229692,68.3,54456100,31.7,,,,,,,,7.0,63428,movie,Jackass 3D,0,2010,94,"Action,Comedy,Documentary"
41,41,41,The Other Guys,170458922,119219978,69.9,51238944,30.1,78.0,60.0,PG-13,AdamMcKay,"WillFerrell,AdamMcKay,JimmyMiller",8-6-2010,119200000.0,6.6,261522,movie,The Other Guys,0,2010,107,"Action,Comedy,Crime"
42,42,42,Unstoppable,167805466,81562942,48.6,86242524,51.4,,56.0,,DarrenDoane,,,,6.8,194678,movie,Unstoppable,0,2010,98,"Action,Thriller"
43,43,43,Step Up,159291809,42400223,26.6,116891586,73.4,21.0,83.0,PG-13,AnneFletcher,"ErikFeig,JenniferGibgot,AdamShankman,PatrickWachsberger",8-11-2006,65300000.0,6.2,57723,movie,Step Up 3D,0,2010,107,"Drama,Music,Romance"
44,44,44,The Book of Eli,157107755,94835059,60.4,62272696,39.6,47.0,64.0,R,"AllenHughes,AlbertHughes","JoelSilver,DenzelWashington,BroderickJohnson,AndrewA.Kosove,DavidValdes",1-15-2010,94800000.0,6.8,311486,movie,The Book of Eli,0,2010,118,"Action,Adventure,Drama"
45,45,45,The Town,154026136,92186262,59.9,61839874,40.1,92.0,85.0,R,BenAffleck,"GrahamKing,BasilIwanyk",9-17-2010,92200000.0,7.5,380431,movie,The Town,0,2010,125,"Crime,Drama,Thriller"
46,46,46,Date Night,152263880,98711404,64.8,53552476,35.2,,,,,,,,6.3,160762,movie,Date Night,0,2010,88,"Comedy,Crime,Romance"
47,47,47,The Secret World of Arrietty,148800274,19202743,12.9,129597531,87.1,95.0,85.0,G,"HiromasaYonebayashi,GaryRydstrom",ToshioSuzuki,2-17-2012,,7.6,89725,movie,Kari-gurashi no Arietti,0,2010,94,"Adventure,Animation,Drama"
48,48,48,Legend of the Guardians: The Owls of Ga'Hoole,140073390,55675313,39.7,84398077,60.3,52.0,63.0,PG,ZackSnyder,ZarehNalbandian,9-24-2010,55700000.0,6.9,82454,movie,Legend of the Guardians: The Owls of Ga'Hoole,0,2010,97,"Action,Adventure,Animation"
49,49,49,The Wolfman,139789765,61979680,44.3,77810085,55.7,34.0,33.0,R,JoeJohnston,"ScottStuber,BenicioDelToro,RickYorn,SeanDaniel",2-12-2010,61900000.0,5.8,105998,movie,The Wolfman,0,2010,103,"Drama,Fantasy,Horror"
50,50,50,The Bounty Hunter,136333522,67061228,49.2,69272294,50.8,,45.0,,AndredeToth,SamuelBischoff,,,5.5,126351,movie,The Bounty Hunter,0,2010,110,"Action,Comedy,Romance"
51,51,51,The Bounty Hunter,136333522,67061228,49.2,69272294,50.8,,45.0,,AndredeToth,SamuelBischoff,,,6.5,32,movie,The Bounty Hunter,0,2010,\N,\N
52,52,52,Saw: The Final Chapter,136150434,45710178,33.6,90440256,66.4,,,,,,,,5.6,97137,movie,Saw 3D,0,2010,90,"Crime,Horror,Mystery"
53,53,53,Wall Street: Money Never Sleeps,134748021,52474616,38.9,82273405,61.1,55.0,44.0,PG-13,OliverStone,"EdwardR.Pressman,EricKopeloff",9-24-2010,52500000.0,6.2,101994,movie,Wall Street: Money Never Sleeps,0,2010,133,Drama
54,54,54,Predators,127233108,52000688,40.9,75232420,59.1,65.0,52.0,R,NimródAntal,"RobertRodriguez,JohnDavis,ElizabethAvellan",7-9-2010,52000000.0,6.4,222228,movie,Predators,0,2010,107,"Action,Adventure,Sci-Fi"
55,55,55,A Nightmare on Elm Street,115694863,63075011,54.5,52619852,45.5,15.0,43.0,R,SamuelBayer,"MichaelBay,AndrewForm,BradFuller",4-30-2010,63100000.0,5.2,98823,movie,A Nightmare on Elm Street,0,2010,95,"Crime,Drama,Horror"
56,56,56,Dear John,114984666,80014842,69.6,34969824,30.4,28.0,55.0,PG-13,LasseHallström,"MartyBowen,WyckGodfrey,RyanKavanaugh",2-5-2010,80000000.0,6.3,146758,movie,Dear John,0,2010,108,"Drama,Mystery,Romance"
57,57,57,Cats & Dogs: The Revenge of Kitty Galore,112483764,43585753,38.7,68898011,61.3,13.0,38.0,PG,BradPeyton,"PollyJohnsen,AndrewLazar",7-30-2010,43600000.0,4.3,15081,movie,Cats & Dogs: The Revenge of Kitty Galore,0,2010,82,"Action,Adventure,Animation"
58,58,58,Tooth Fairy,112462508,60022256,53.4,52440252,46.6,,29.0,,LouisaWarren,ScottJeffrey,,,5.0,45737,movie,Tooth Fairy,0,2010,101,"Comedy,Family,Fantasy"
59,59,59,Harmony,107056263,-,-,107056263,100,,,,JosephSantley,NatLevine,10-23-1935,,7.5,777,movie,Hamoni,0,2010,115,Drama
60,60,60,Hereafter,106956330,32746941,30.6,74209389,69.4,47.0,38.0,PG-13,ClintEastwood,"ClintEastwood,KathleenKennedy,RobertLorenz",10-22-2010,32700000.000000004,6.5,92607,movie,Hereafter,0,2010,129,"Drama,Fantasy,Romance"
61,61,61,Life as We Know It,105734416,53374681,50.5,52359735,49.5,29.0,61.0,PG-13,GregBerlanti,"BarryJosephson,PaulBrooks",10-8-2010,53400000.0,6.5,130235,movie,Life as We Know It,0,2010,115,"Comedy,Drama,Romance"
62,62,62,Let the Bullets Fly,104723314,63012,<0.1,104660302,99.9,76.0,72.0,,WenJiang,"MaKe,AlbertLee,YinHomber,BarbieTung,HaichengZhao",3-2-2012,60.0K,7.3,10767,movie,Rang zi dan fei,0,2010,132,"Action,Comedy,Drama"
63,63,63,Love & Other Drugs,102820008,32367005,31.5,70453003,68.5,49.0,53.0,R,EdwardZwick,"ScottStuber,EdwardZwick,MarshallHerskovitz,CharlesRandolph,PieterJanBrugge",11-24-2010,32400000.0,6.7,198618,movie,Love & Other Drugs,0,2010,112,"Comedy,Drama,Romance"
64,64,64,Aftershock,100293273,62962,<0.1,100230311,99.9,100.0,,,"PaulaEiselt,TonyaLewisLee","PaulaEiselt,TonyaLewisLee",,,7.5,9111,movie,Tang shan da di zhen,0,2010,135,"Drama,History"
65,65,65,Umizaru 3: The Last Message,98663381,-,-,98663381,100,,,,,,,,5.9,200,movie,Za rasuto messêji: Umizaru,0,2010,\N,Drama
66,66,66,Killers,98159963,47059963,47.9,51100000,52.1,73.0,64.0,,"KimoStamboel,TimoTjahjanto","YoshinoriChiba,KimoStamboel,TimoTjahjanto,TakujiUshiyama,ShinjiroNishimura",1-23-2015,,5.4,90959,movie,Killers,0,2010,100,"Action,Comedy,Romance"
67,67,67,Kick-Ass,96188903,48071303,50,48117600,50,76.0,81.0,R,MatthewVaughn,"MatthewVaughn,BradPitt,TarquinPack,KrisThykier,DavidReid,AdamBohling",4-16-2010,48000000.0,7.6,551080,movie,Kick-Ass,0,2010,117,"Action,Comedy,Crime"
68,68,68,Nanny McPhee Returns,93251121,29011215,31.1,64239906,68.9,75.0,55.0,PG,SusannaWhite,"LindsayDoran,TimBevan,EricFellner",8-20-2010,29000000.0,6.1,32022,movie,Nanny McPhee and the Big Bang,0,2010,109,"Comedy,Family,Fantasy"
69,69,69,Get Him to the Greek,91720255,60974475,66.5,30745780,33.5,,,,,,,,6.4,176586,movie,Get Him to the Greek,0,2010,109,"Comedy,Music"
70,70,70,Burlesque,89519773,39440655,44.1,50079118,55.9,,,,RenéCardona,,,,6.4,84465,movie,Burlesque,0,2010,119,"Drama,Music,Musical"
71,71,71,Burlesque,89519773,39440655,44.1,50079118,55.9,,,,RenéCardona,,,,7.1,66,movie,Burlesque,0,2010,90,Drama
72,72,72,The Last Song,89137047,62950384,70.6,26186663,29.4,,,,,,,,6.0,86600,movie,The Last Song,0,2010,108,"Drama,Music,Romance"
73,73,73,Dinner for Schmucks,86855739,73026337,84.1,13829402,15.9,42.0,42.0,PG-13,JayRoach,"WalterF.Parkes,LaurieMacDonald,JayRoach",7-30-2010,73000000.0,5.9,105616,movie,Dinner for Schmucks,0,2010,114,Comedy
74,74,74,Bayside Shakedown 3: Set the Guys Loose,85347374,-,-,85347374,100,,,,,,,,5.5,309,movie,Odoru daisousasen the movie 3: Yatsura o kaihou seyo!,0,2010,141,Drama
75,75,75,Marmaduke,83761844,33644788,40.2,50117056,59.8,9.0,42.0,PG,TomDey,JohnDavis,6-4-2010,33600000.0,4.3,15414,movie,Marmaduke,0,2010,99,"Comedy,Family"
76,76,76,Piranha 3D,83188165,25003155,30.1,58185010,69.9,13.0,22.0,R,JohnGulager,"MarkCanton,MarcToberoff,JoelSoisson",6-1-2012,370.9K,5.5,89521,movie,Piranha 3D,0,2010,88,"Comedy,Horror"
77,77,77,Edge of Darkness,81126522,43313890,53.4,37812632,46.6,,,,,,,,6.6,93719,movie,Edge of Darkness,0,2010,117,"Action,Crime,Drama"
78,78,78,Vampires Suck,80547866,36661504,45.5,43886362,54.5,4.0,29.0,PG-13,"JasonFriedberg,AaronSeltzer","PeterSafran,JasonFriedberg,AaronSeltzer",8-18-2010,36700000.0,3.4,48572,movie,Vampires Suck,0,2010,82,"Comedy,Horror"
79,79,79,Letters to Juliet,79293444,53032453,66.9,26260991,33.1,42.0,62.0,PG,GaryWinick,"CarolineKaplan,EllenBarkin,MarkCanton",5-14-2010,53000000.0,6.5,98712,movie,Letters to Juliet,0,2010,105,"Adventure,Comedy,Drama"
80,80,80,The Back-up Plan,77477008,37490007,48.4,39987001,51.6,17.0,46.0,PG-13,AlanPoul,"ToddBlack,JasonBlumenthal,SteveTisch",4-23-2010,37500000.0,5.3,49814,movie,The Back-up Plan,0,2010,104,"Comedy,Romance"
81,81,81,Diary of a Wimpy Kid,76196538,64003625,84,12192913,16,73.0,37.0,PG,SwintonO.ScottIII,JeffKinney,,,6.2,48370,movie,Diary of a Wimpy Kid,0,2010,94,"Comedy,Drama,Family"
82,82,82,If You Are the One 2,76085443,426894,0.6,75658549,99.4,,67.0,,FengXiao-Gang,"FengXiao-Gang,TongyuanWang,AlbertYeung",,,5.9,1517,movie,Fei cheng wu rao 2,0,2010,120,"Comedy,Romance"
83,83,83,Easy A,75026216,58401464,77.8,16624752,22.2,85.0,77.0,PG-13,WillGluck,"ZanneDevine,WillGluck",9-17-2010,58400000.0,7.0,382340,movie,Easy A,0,2010,92,"Comedy,Drama,Romance"
84,84,84,Pokémon: Zoroark: Master of Illusions,71143529,-,-,71143529,100,,70.0,,KunihikoYuyama,,,,6.1,1985,movie,Gekijouban Poketto monsutâ: Daiamondo & Pâru - Gen'ei no hasha Zoroâku,0,2010,96,"Action,Animation,Family"
85,85,85,A Turtle's Tale: Sammy's Adventures,70627617,-,-,70627617,100,44.0,47.0,PG,BenStassen,,,,6.0,7424,movie,Sammy's avonturen: De geheime doorgang,0,2010,88,"Adventure,Animation,Family"
86,86,86,The Last Exorcism,69432527,41034350,59.1,28398177,40.9,72.0,35.0,PG-13,DanielStamm,"EliRoth,EricNewman,MarcAbraham,ThomasA.Bliss",8-27-2010,41000000.0,5.7,49644,movie,The Last Exorcism,0,2010,87,"Horror,Mystery,Thriller"
87,87,87,Takers,69055695,57744720,83.6,11310975,16.4,28.0,62.0,PG-13,JohnLuessenhop,"WillPacker,T.I.,JasonGeter",8-27-2010,57700000.0,6.2,61911,movie,Takers,0,2010,107,"Action,Crime,Thriller"
88,88,88,Bestseller,68813389,-,-,68813389,100,,,,,,,,6.1,1044,movie,Be-seu-teu-sel-leo,0,2010,117,"Horror,Mystery,Thriller"
89,89,89,Legion,67918658,40168080,59.1,27750578,40.9,,17.0,TV14,JonHess,AviNesher,,,5.2,104018,movie,Legion,0,2010,100,"Action,Fantasy,Horror"
90,90,90,The American,67876281,35606376,52.5,32269905,47.5,86.0,,,"UdiAloni,","UdiAloni,",6-19-2020,,6.3,95908,movie,The American,0,2010,105,"Action,Crime,Drama"
91,91,91,The Next Three Days,67448651,21148651,31.4,46300000,68.6,50.0,66.0,PG-13,PaulHaggis,"PaulHaggis,MichaelNozik,OlivierDelbosc,MarcMissonnier",11-19-2010,21100000.0,7.3,194911,movie,The Next Three Days,0,2010,133,"Action,Crime,Drama"
92,92,92,Skyline,66984887,21393620,31.9,45591267,68.1,15.0,18.0,PG-13,"ColinStrause,GregStrause","ColinStrause,GregStrause,KristianJamesAndresen,LiamO'Donnell",11-12-2010,21400000.0,4.5,89448,movie,Skyline,0,2010,92,"Action,Sci-Fi,Thriller"
93,93,93,Hot Tub Time Machine,64735752,50287556,77.7,14448196,22.3,64.0,56.0,R,StevePink,"JohnCusack,GraceLoh,MattMoore",3-26-2010,50200000.0,6.4,171815,movie,Hot Tub Time Machine,0,2010,101,"Comedy,Sci-Fi"
94,94,94,Elite Squad 2: The Enemy Within,63618850,100119,0.2,63518731,99.8,,,,,,,,8.0,82264,movie,Tropa de Elite 2: O Inimigo Agora é Outro,0,2010,115,"Action,Crime,Drama"
95,95,95,Devil,62695489,33601190,53.6,29094299,46.4,49.0,43.0,PG-13,JohnErickDowdle,"M.NightShyamalan,SamMercer",9-17-2010,33600000.0,6.3,143130,movie,Devil,0,2010,80,"Horror,Mystery,Thriller"
96,96,96,127 Hours,60738797,18335230,30.2,42403567,69.8,93.0,85.0,R,DannyBoyle,"ChristianColson,DannyBoyle,JohnSmithson",1-28-2011,18300000.0,7.6,369651,movie,127 Hours,0,2010,94,"Biography,Drama"
