,Unnamed: 0,Unnamed: 0.1,Movie Title,Worldwide,Budget,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
22,22,22,The Legend of Tarzan,356700357,126643061,35.5,230057296,64.5,35.0,58.0,PG-13,DavidYates,"JerryWeintraub,DavidBarron,AlanRiche,TonyLudwig",7-1-2016,126600000.0,6.2,173708,movie,The Legend of Tarzan,0,2016,110,"Action,Adventure,Drama"
23,23,23,The Angry Birds Movie,352333929,107509366,30.5,244824563,69.5,43.0,46.0,PG,"ClayKaytis,FergalReilly","JohnCohen,CatherineWinder,SeanMullen",5-20-2016,107500000.0,6.3,89637,movie,Angry Birds,0,2016,97,"Action,Adventure,Animation"
24,24,24,Trolls,346864462,153707064,44.3,193157398,55.7,75.0,67.0,PG,"MikeMitchell,WaltDohrn",GinaShay,11-4-2016,153600000.0,6.5,79603,movie,Trolls,0,2016,92,"Adventure,Animation,Comedy"
25,25,25,Star Trek Beyond,343471816,158848340,46.2,184623476,53.8,86.0,80.0,PG-13,JustinLin,"J.J.Abrams,BryanBurk,RobertoOrci",7-22-2016,158800000.0,7.0,241815,movie,Star Trek Beyond,0,2016,122,"Action,Adventure,Sci-Fi"
26,26,26,The Great Wall,334933831,45540830,13.6,289393001,86.4,,,,,,,,5.9,132108,movie,The Great Wall,0,2016,103,"Action,Adventure,Fantasy"
27,27,27,The Great Wall,334933831,45540830,13.6,289393001,86.4,,,,,,,,6.4,42,movie,The Great Wall,0,2016,72,Documentary
28,28,28,Now You See Me 2,334897606,65075540,19.4,269822066,80.6,34.0,53.0,PG-13,JonM.Chu,"RobertoOrci,BobbyCohen,AlexKurtzman",6-10-2016,65000000.0,6.4,277502,movie,Now You See Me 2,0,2016,129,"Action,Adventure,Comedy"
29,29,29,The Conjuring 2,320392818,102470008,32,217922810,68,80.0,81.0,R,JamesWan,"PeterSafran,RobCowan,JamesWan",6-10-2016,102500000.0,7.3,259188,movie,The Conjuring 2,0,2016,134,"Horror,Mystery,Thriller"
30,30,30,Resident Evil: The Final Chapter,312242626,26830068,8.6,285412558,91.4,37.0,48.0,R,PaulW.S.Anderson,"JeremyBolt,PaulW.S.Anderson,RobertKulzer,SamuelHadida",1-27-2017,26800000.0,5.5,91668,movie,Resident Evil: The Final Chapter,0,2016,107,"Action,Adventure,Horror"
31,31,31,Dangal,303723636,12391761,4.1,291331875,95.9,88.0,93.0,,NiteshTiwari,"AamirKhan,KiranRao,SiddharthRoyKapur",12-21-2016,12400000.0,8.4,180807,movie,Dangal,0,2016,161,"Action,Biography,Drama"
