,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,0,Transformers: Age of Extinction,1104054072,245439076,22.2,858614996,77.8,17.0,50.0,PG-13,MichaelBay,"DonMurphy,TomDeSanto,LorenzodiBonaventura,IanBryce",6-27-2014,245400000.0,5.6,309575,movie,Transformers: Age of Extinction,0,2014,165,"Action,Adventure,Sci-Fi"
1,1,The Hobbit: The Battle of the Five Armies,956019788,255119788,26.7,700900000,73.3,59.0,74.0,PG-13,PeterJackson,"CarolynneCunningham,ZaneWeiner,FranWalsh,PeterJackson",12-17-2014,255100000.0,7.4,511310,movie,The Hobbit: The Battle of the Five Armies,0,2014,144,"Adventure,Fantasy"
2,2,Guardians of the Galaxy,772776600,333176600,43.1,439600000,56.9,92.0,92.0,PG-13,JamesGunn,KevinFeige,8-1-2014,333700000.0,8.1,1132743,movie,Guardians of the Galaxy,0,2014,121,"Action,Adventure,Comedy"
3,3,Maleficent,758410378,241410378,31.8,517000000,68.2,54.0,70.0,PG,RobertStromberg,JoeRoth,5-30-2014,241400000.0,7.0,366975,movie,Maleficent,0,2014,97,"Adventure,Family,Fantasy"
4,4,The Hunger Games: Mockingjay - Part 1,755356711,337135885,44.6,418220826,55.4,69.0,71.0,PG-13,FrancisLawrence,"NinaJacobson,JonKilik",11-21-2014,,6.6,443036,movie,The Hunger Games: Mockingjay - Part 1,0,2014,123,"Action,Adventure,Sci-Fi"
5,5,X-Men: Days of Future Past,746045700,233921534,31.4,512124166,68.6,90.0,91.0,PG-13,BryanSinger,"LaurenShulerDonner,BryanSinger,SimonKinberg,HutchParker",5-23-2014,233900000.0,8.0,694929,movie,X-Men: Days of Future Past,0,2014,132,"Action,Adventure,Sci-Fi"
6,6,Captain America: The Winter Soldier,714421503,259766572,36.4,454654931,63.6,90.0,92.0,PG-13,"AnthonyRusso,JoeRusso",KevinFeige,4-4-2014,259700000.0,7.8,810506,movie,Captain America: The Winter Soldier,0,2014,136,"Action,Adventure,Sci-Fi"
7,7,Dawn of the Planet of the Apes,710644566,208545589,29.3,502098977,70.7,90.0,88.0,PG-13,MattReeves,"PeterChernin,DylanClark,RickJaffa,AmandaSilver",7-11-2014,208500000.0,7.6,432094,movie,Dawn of the Planet of the Apes,0,2014,130,"Action,Adventure,Drama"
8,8,The Amazing Spider-Man 2,708982323,202853933,28.6,506128390,71.4,51.0,64.0,PG-13,MarcWebb,"AviArad,MatthewTolmach",5-2-2014,202800000.0,6.6,479664,movie,The Amazing Spider-Man 2,0,2014,142,"Action,Adventure,Sci-Fi"
9,9,Interstellar,677896797,188020017,27.7,489876780,72.3,72.0,86.0,PG-13,ChristopherNolan,"EmmaThomas,ChristopherNolan,LyndaObst",11-7-2014,188000000.0,8.7,1713462,movie,Interstellar,0,2014,169,"Adventure,Drama,Sci-Fi"
