,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
88,88,A Dog's Journey,75741734,22782371,30.1,52959363,69.9,51.0,91.0,PG,GailMancuso,GavinPolone,5-17-2019,22500000.0,7.4,23775,movie,A Dog's Journey,0,2019,109,"Adventure,Comedy,Drama"
89,89,A Madea Family Funeral,74747725,73257045,98,1490680,2,11.0,30.0,PG-13,TylerPerry,"TylerPerry,MarkE.Swinton,WillAreu,OzzieAreu",3-1-2019,73200000.0,4.5,4429,movie,A Madea Family Funeral,0,2019,109,"Comedy,Drama"
90,90,Cats,73833348,27166770,36.8,46666578,63.2,,,,,,,,2.8,49585,movie,Cats,0,2019,110,"Comedy,Drama,Family"
91,91,Charlie's Angels,73279888,17803077,24.3,55476811,75.7,52.0,78.0,PG-13,ElizabethBanks,"DougBelgrad,ElizabethCantillon,ElizabethBanks,MaxHandelman",11-15-2019,17800000.0,4.9,69939,movie,Charlie's Angels,0,2019,118,"Action,Adventure,Comedy"
92,92,Doctor Sleep,72381712,31581712,43.6,40800000,56.4,78.0,89.0,R,MikeFlanagan,"TrevorMacy,JonBerg",11-8-2019,31600000.0,7.3,180798,movie,Doctor Sleep,0,2019,152,"Drama,Fantasy,Horror"
93,93,What Men Want,72216294,54611903,75.6,17604391,24.4,42.0,33.0,R,AdamShankman,"WillPacker,JamesLopez",2-8-2019,54600000.0,5.3,27557,movie,What Men Want,0,2019,117,"Comedy,Fantasy,Romance"
94,94,After,69518232,12138565,17.5,57379667,82.5,88.0,67.0,PG,Kogonada,"AndrewGoldman,CarolineKaplan,PaulMezey,TheresaPark",3-4-2022,,5.4,51463,movie,After,0,2019,105,"Drama,Romance"
95,95,Exit,69501772,470699,0.7,69031073,99.3,,46.0,,PeterLindmark,"SteveAalam,ThomasAllercrantz,DanielCollert,StenJohansson,PeterLindmark",,,7.0,5700,movie,Eksiteu,0,2019,103,"Action,Comedy"
96,96,Playing with Fire,69412425,44451847,64,24960578,36,24.0,77.0,PG,AndyFickman,"ToddGarner,SeanRobins",11-8-2019,20500000.0,5.1,14244,movie,Playing with Fire,0,2019,96,"Comedy,Family"
97,97,A Beautiful Day in the Neighborhood,67925733,61704055,90.8,6221678,9.2,95.0,92.0,PG,MarielleHeller,"YoureeHenley,PeterSaraf,MarcTurtletaub,LeahHolzer",11-22-2019,61700000.0,7.3,76062,movie,A Beautiful Day in the Neighborhood,0,2019,109,"Biography,Drama"
98,98,War,67179155,4654000,6.9,62525155,93.1,,,,AmarHundal,GippyGrewal,11-19-2021,,6.6,23608,movie,War,0,2019,154,"Action,Adventure,Thriller"
99,99,Eiga Doraemon: Nobita no getsumen tansaki,65406606,-,-,65406606,100,,,,,,,,7.0,723,movie,Eiga Doraemon: Nobita no getsumen tansaki,0,2019,111,"Action,Adventure,Animation"
