Unnamed: 0,Movie Title,Release-Date,moviename,release_date,budget,year,cleaned_budget,cleaned_release_date,rd
1536,The Witch: Part 1 - The Subversion,,The Witch: Part 1 - The Subversion,"
June 27, 2018 (2018-06-27)
",US$5.5 million,2018.0,5000000.0,2018-06-27,2018-06-27
1537,The Accidental Detective 2: In Action,2018-06-22,,,,,,,2018-06-22
1538,Killing for the Prosecution,,Killing for the Prosecution,,,2018.0,,,
1539,Pokémon the Movie: The Power of Us,,,,,,,,
1540,The Guernsey Literary and Potato Peel Pie Society,,The Guernsey Literary and Potato Peel Pie Society,"
9 April 2018 (2018-04-09) (London)
20 April 2018 (2018-04-20) (United Kingdom)
13 June 2018 (2018-06-13) (France)
",,2018.0,,2018-06-13,2018-06-13
1541,The Crimes That Bind,,The Crimes That Bind,"
January 27, 2018 (2018-01-27)
",,2018.0,,2018-01-27,2018-01-27
1543,Won't You Be My Neighbor?,2018-06-08,,,,,,,2018-06-08
1544,Europe Raiders,,Europe Raiders,"
August 17, 2018 (2018-08-17)
",,2018.0,,2018-08-17,2018-08-17
1545,Mojin: The Worm Valley,2019-01-04,,,,,,,2019-01-04
1546,Stree,,Stree,,,2020.0,,,
1563,"My People, My Country",,"My People, My Country","
30 September 2019 (2019-09-30) (China)
",,2019.0,,2019-09-30,2019-09-30
1564,Pokémon Detective Pikachu,2019-05-10,,,,,,,2019-05-10
1566,The Captain,,The Captain,,,2019.0,,,
1573,Crazy Alien,,Crazy Alien,"
5 February 2019 (2019-02-05) (China)
",,2019.0,,2019-02-05,2019-02-05
1583,Better Days,2019-11-08,,,,,,,2019-11-08
1590,Sheep Without a Shepherd,2019-12-19,,,,,,,2019-12-19
1591,The White Storm 2: Drug Lords,,The White Storm 2: Drug Lords,"
5 July 2019 (2019-07-05) (China)
16 July 2019 (2019-07-16) (Hong Kong)
",US$25 million,2019.0,25000000.0,2019-07-16,2019-07-16
1609,P Storm,,P Storm,4 April 2019 (2019-04-04),US$10-25 million,2019.0,25000000.0,2019-04-04,2019-04-04
1610,Detective Conan: The Fist of Blue Sapphire,,Detective Conan: The Fist of Blue Sapphire,"
April 12, 2019 (2019-04-12)
",,2019.0,,2019-04-12,2019-04-12
1613,Boonie Bears: Blast Into the Past,,Boonie Bears: Blast Into the Past,,,2019.0,,,
1616,Line Walker 2: Invisible Spy,2019-08-16,,,,,,,2019-08-16
1617,The New King of Comedy,,The New King of Comedy,"
5 February 2019 (2019-02-05) (China)
",$8 million (50 million RMB),2019.0,50000000.0,2019-02-05,2019-02-05
1623,Serial (Bad) Weddings 2,,Serial (Bad) Weddings 2,,,0.0,,,
1624,One Piece: Stampede,,One Piece: Stampede,"
August 1, 2019 (2019-08-01) (premiere)

August 9, 2019 (2019-08-09) (Japan)
",,2019.0,,2019-08-09,2019-08-09
1635,Eiga Doraemon: Nobita no getsumen tansaki,,Eiga Doraemon: Nobita no getsumen tansaki,,,2019.0,,,
1637,White Snake,2019-11-15,,,,,,,2019-11-15
1641,My Best Summer,,My Best Summer,"
June 20, 1997 (1997-06-20)
",$38 million,2019.0,38000000.0,1997-06-20,1997-06-20
1643,Jade Dynasty,,Jade Dynasty,"
13 September 2019 (2019-09-13)
",,2019.0,,2019-09-13,2019-09-13
1644,Das perfekte Geheimnis,,Das perfekte Geheimnis,,,2019.0,,,
1645,The Big Shot,,The Big Shot,,,2019.0,,,
1652,Song of Youth,,Song of Youth,,,2019.0,,,
1655,The Legend of Hei,,The Legend of Hei,,,2019.0,,,
1660,Chasing the Dragon II: Wild Wild Bunch,2019-06-07,,,,,,,2019-06-07
1665,A Shaun the Sheep Movie: Farmageddon,,A Shaun the Sheep Movie: Farmageddon,,,2019.0,,,
1667,Masquerade Hotel,,Masquerade Hotel,"
18 January 2019 (2019-01-18)
",,2019.0,,2019-01-18,2019-01-18
1670,A Witness Out of the Blue,,A Witness Out of the Blue,"
18 October 2019 (2019-10-18) (HKAFF)
24 October 2019 (2019-10-24) (Hong Kong)
",,2019.0,,2019-10-24,2019-10-24
1672,The Queen's Corgi,,The Queen's Corgi,"
16 January 2019 (2019-01-16) (L'Alpe d'Huez)
3 April 2019 (2019-04-03) (Belgium)
",$20 million,2019.0,20000000.0,2019-04-03,2019-04-03
1673,The Battle: Roar to Victory,2019-08-16,,,,,,,2019-08-16
1677,Fly Me to the Saitama,,Fly Me to the Saitama,"
February 22, 2019 (2019-02-22)
",,2019.0,,2019-02-22,2019-02-22
1680,Hit Me Anyone One More Time!,,Hit Me Anyone One More Time!,"
September 13, 2019 (2019-09-13)
",,2019.0,,2019-09-13,2019-09-13
1681,Somewhere Winter,,Somewhere Winter,"
15 November 2019 (2019-11-15) (China)
",,2019.0,,2019-11-15,2019-11-15
1683,Two Tigers,,Two Tigers,,,2019.0,,,
1685,My Dear Liar,2019-11-08,,,,,,,2019-11-08
1686,The Wild Goose Lake,,The Wild Goose Lake,"
18 May 2019 (2019-05-18) (Cannes Film Festival)[2]
6 December 2019 (2019-12-06) (China)[2][3]
25 December 2019 (2019-12-25) (France)[1]
",,2019.0,,2019-12-25,2019-12-25
1688,Fall In Love At First Kiss,,Fall In Love At First Kiss,"
February 14, 2019 (2019-02-14)
",,2019.0,,2019-02-14,2019-02-14
1689,Kim Ji-young: Born 1982,,Kim Ji-young: Born 1982,,,2019.0,,,
1690,Pokémon: Mewtwo Strikes Back - Evolution,,,,,,,,
1691,Almost a Comedy,,Almost a Comedy,"
20 May 2022 (2022-05-20)[1]
",,2019.0,,2022-05-20,2022-05-20
1692,Total Dhamaal,2019-02-22,,,,,,,2019-02-22
1695,The Confidence Man JP: The Movie,,The Confidence Man JP: The Movie,,,2019.0,,,
1696,Bodies at Rest,,Bodies at Rest,"
March 18, 2019 (2019-03-18) (HKIFF)
August 16, 2019 (2019-08-16) (China)
",,2019.0,,2019-08-16,2019-08-16
1699,Son of a Rich,,Son of a Rich,,,2019.0,,,
1700,Skyfire,2021-02-12,,,,,,,2021-02-12
1701,Start-Up,,Start-Up,"
December 18, 2019 (2019-12-18)
",₩9 billion(~US$7.3 million),2019.0,3000000.0,2019-12-18,2019-12-18
1703,A Rainy Day in New York,2020-10-09,,,,,,,2020-10-09
1705,Little White Lies 2,,Little White Lies 2,"
11 September 2010 (2010-09-11) (TIFF)
20 October 2010 (2010-10-20) (France)
",$17.6 million,2019.0,6000000.0,2010-10-20,2010-10-20
1706,Ossan's Love: Love or Dead,,Ossan's Love: Love or Dead,,,2019.0,,,
1707,Only Cloud Knows,2019-12-20,,,,,,,2019-12-20
1710,The Knight of Shadows: Between Yin and Yang,,The Knight of Shadows: Between Yin and Yang,"
5 February 2019 (2019-02-05) (China)
",,2019.0,,2019-02-05,2019-02-05
1713,Crazy Romance,,Crazy Romance,,,2019.0,,,
1717,The Specials,2000-09-18,,,,,,,2000-09-18
1718,Always Miss You,2019-05-03,,,,,,,2019-05-03
1719,An Officer and a Spy,,An Officer and a Spy,"
30 August 2019 (2019-08-30) (Venice)
13 November 2019 (2019-11-13) (France)
21 November 2019 (2019-11-21) (Italy)
",$24 million,2019.0,24000000.0,2019-11-21,2019-11-21
1720,Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,,Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,,,2019.0,,,
1721,Greta,2019-03-01,,,,,,,2019-03-01
1722,Peppa Celebrates Chinese New Year,2019-02-05,,,,,,,2019-02-05
1726,"My People, My Homeland",2020-10-09,,,,,,,2020-10-09
1729,Legend of Deification,,Legend of Deification,"
October 1, 2020 (2020-10-01)
",,2020.0,,2020-10-01,2020-10-01
1730,A Little Red Flower,,A Little Red Flower,"
December 31, 2020 (2020-12-31)
",,2020.0,,2020-12-31,2020-12-31
1732,Shock Wave 2,2020-12-24,,,,,,,2020-12-24
1734,The Sacrifice,1986-05-09,,,,,,,1986-05-09
1737,Warm Hug,,Warm Hug,,,2020.0,,,
1738,Soul,2008-11-07,,,,,,,2008-11-07
1740,Caught in Time,,Caught in Time,"
20 November 2020 (2020-11-20)
",,2020.0,,2020-11-20,2020-11-20
1741,The Yin-Yang Master: Dream of Eternity,,The Yin-Yang Master: Dream of Eternity,,,2020.0,,,
1742,Mulan,,Mulan,,,2020.0,,,
1743,Greenland,,Greenland,,,2020.0,,,
1744,Tolo Tolo,,Tolo Tolo,"
January 1, 2020 (2020-01-01)
",€20 million,2020.0,20000000.0,2020-01-01,2020-01-01
