,Movie Title,budget,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,genres,Score_Rotten,Score_Rotten_Audience,Rating,Release-Date,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,Revenue-Worldwide,Revenue-Domestic,Score
452,Tad: The Lost Explorer,10500000,52.658,5.9,8052,92,"Adventure,Animation,Comedy",,40.0,,0,,,2.563,1.86725,2.977,49490859,,
453,A Turtle's Tale 2: Sammy's Escape from Paradise,0,15.033,5.6,2261,92,"Adventure,Animation,Family",,,,0,,,15.264,15.264,6.0944,49261830,,
454,Trouble with the Curve,0,20.771,6.8,63434,111,"Drama,Sport",51.0,66.0,PG-13,9/21/2012,93.0,40.25,4.987,13.144,21.1486,48963137,35763137.0,-0.4914689971
455,Man on a Ledge,42000000,42.015,6.6,150614,102,"Action,Crime,Thriller",31.0,52.0,PG-13,1/27/2012,122.0,50.0,1.4,2.071,14.8642,47636031,18620000.0,0.4838709677
456,A Werewolf Boy,0,54.226,7.3,7810,122,"Drama,Fantasy,Romance",100.0,85.0,,0,,,4.238,2.07,8.965600000000000,46282588,,
457,Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,0,43.341,6.8,376,100,"Action,Adventure,Animation",,,,0,,,15.264,15.264,8.4048,46180706,,
458,Detective Conan: The Eleventh Striker,0,13.075,6.5,1472,110,"Action,Adventure,Animation",,,,0,,,15.264,15.264,7.468200000000000,44369456,,
459,House at the End of the Street,6900000,15.84,5.5,76458,101,"Drama,Horror,Thriller",13.0,41.0,PG-13,9/21/2012,101.0,43.0,2.216,1.827333333,17.6944,44287131,31611916.0,0.1652298851
460,The Guilt Trip,40000000,12.586,5.8,37054,95,"Comedy,Drama",37.0,39.0,PG-13,12/19/2012,115.0,46.25,4.434,4.935333333,20.9046,41863726,37134215.0,-0.3200325733
461,Safe,30000000,29.455,6.5,109351,94,"Action,Crime,Thriller",59.0,59.0,R,4/27/2012,128.0,95.625,10.648,1.7445,20.6578,41564670,17142080.0,0.7913907285
462,Dredd,50000000,24.515,7.1,268765,95,"Action,Crime,Sci-Fi",79.0,72.0,R,9/21/2012,137.0,53.25,2.997,2.4964,19.4914,41037742,13414714.0,0.4990488269
463,La vérité si je mens! 3,25496629,6.124,5.3,1762,112,Comedy,,22.0,,0,,,0.698,15.264,4.489200000000000,40928635,,
464,Chernobyl Diaries,1000000,48.85,5.0,65892,86,"Horror,Mystery,Thriller",19.0,28.0,R,5/25/2012,124.0,38.625,5.687,1.7425,9.0838,38390020,18119640.0,0.02683615819
465,Killing Them Softly,15000000,19.072,6.2,141520,97,"Crime,Drama,Thriller",74.0,44.0,R,11/30/2012,134.0,43.75,2.943,7.5224,16.2416,37930465,15026056.0,-0.7764453961
466,Rurouni Kenshin Part I: Origins,0,44.75,7.4,25600,134,"Action,Adventure,Drama",,,,0,,,15.264,15.264,10.837,61700000,,
467,Conquest 1453,2581561,8.236,6.8,57979,162,"Action,Drama,History",40.0,52.0,,0,,,1.35,1.35,5.230600000000000,35797045,,
468,Good Deeds,0,8.486,5.6,7871,129,"Comedy,Drama,Romance",12.0,55.0,PG-13,2/24/2012,96.0,42.125,3.377,1.664,13.2016,35579177,35025791.0,0.2886513158
469,Arbitrage,12000000,11.767,6.6,51967,107,"Drama,Thriller",87.0,62.0,R,9/14/2012,153.0,32.625,0.652,1.804,18.2828,35485056,7919574.0,0.4904701398
470,Welcome to the North,6000000,7.761,5.3,3877,110,Comedy,,,,0,,,15.264,15.264,2.8078,35000000,,
471,Chimpanzee,5000000,8.163,7.1,6126,78,"Documentary,Family",76.0,75.0,G,4/20/2012,106.0,42.0,0.0,1.806666667,,34823764,28972764.0,0.6514247846
472,Alex Cross,45000000,16.078,5.1,33841,101,"Action,Crime,Mystery",11.0,47.0,PG-13,10/19/2012,111.0,44.625,5.541,2.185666667,11.085400000000000,34618867,25888412.0,0.3591806876
473,Salmon Fishing in the Yemen,0,12.719,6.8,64324,107,"Comedy,Drama,Romance",67.0,64.0,PG-13,3/9/2012,151.0,51.75,6.687,1.432,13.8868,34564651,9047981.0,0.7021696252
474,Haywire,23000000,35.203,5.8,86513,93,"Action,Drama,Thriller",80.0,41.0,R,1/20/2012,121.0,44.5,4.052,4.44,15.963600000000000,34513760,18942396.0,0.2744845361
475,Adventures in Zambezia,20000000,28.971,5.7,7207,83,"Adventure,Animation,Comedy",,,,0,,,15.264,15.264,19.1988,34428345,,
476,Cirque du Soleil: Worlds Away,0,12.609,6.8,8048,91,Fantasy,45.0,94.0,PG,12/21/2012,152.0,45.0,6.366,4.556,1.3084000000000000,34153101,12512862.0,0.7485928705
477,Three Heroes on Distant Shores,0,3.372,5.2,942,65,Animation,,,,0,,,15.264,15.264,4.6714,33674759,,
478,2016: Obama's America,2500000,4.99,5.1,10697,87,"Documentary,Fantasy",26.0,73.0,PG,7/13/2012,100.0,50.0,0.0,0.6,2.7588,33449086,33449086.0,0.3990216632
479,The Perks of Being a Wallflower,13000000,42.243,8.0,495624,103,"Drama,Romance",85.0,89.0,PG-13,9/21/2012,127.0,72.5,9.003,6.871333333,32.70740000000000,33400000,17742948.0,0.5651586766
480,Lockout,20000000,83.117,6.1,97798,95,"Action,Sci-Fi,Thriller",37.0,46.0,PG-13,4/13/2012,135.0,55.125,0.0,0.977,15.5446,32948113,14326864.0,0.1842105263
481,Bait,30000000,16.383,5.2,17560,93,Horror,100.0,61.0,,0,,,0.833,0.6,14.189000000000000,32813407,,
482,Part of Me,12000000,19.472,5.9,13621,93,"Documentary,Music",75.0,72.0,PG,7/5/2012,112.0,80.875,0.0,3.6125,5.049,32726956,25326071.0,0.437461867
483,Nameless Gangster: Rules of the Time,125000,15.142,7.0,6460,134,"Action,Crime,Drama",,,,0,,,15.264,15.264,10.0946,32472645,,
484,Movie 43,6000000,77.579,4.3,104499,94,Comedy,4.0,24.0,R,1/25/2013,147.0,46.75,0.0,15.264,25.0618,32438988,8840453.0,-0.04266958425
485,Seven Psychopaths,15000000,20.99,7.2,253157,110,"Comedy,Crime",83.0,71.0,R,10/12/2012,133.0,47.0,5.141,4.102,25.7266,33035736,15024049.0,0.5369993211
486,The Floating Castle,0,6.348,6.4,563,144,"Comedy,Drama,History",,,,0,,,15.264,15.264,3.749200000000000,31967471,,
487,The Dream Team,0,11.906,6.5,15196,113,"Comedy,Crime,Thriller",53.0,61.0,PG-13,0,,,3.576,0.6,19.111400000000000,31822402,,
488,Joyful Noise,0,11.423,5.7,8382,118,"Comedy,Drama,Music",32.0,65.0,PG-13,1/13/2012,104.0,41.5,2.171,1.577,9.7252,31158113,30932113.0,0.9094404101
489,Premium Rush,35000000,22.701,6.5,113256,91,"Action,Crime,Thriller",74.0,60.0,PG-13,8/24/2012,117.0,46.25,8.283,1.176,15.9308,31083599,20275446.0,0.2631578947
490,Playing for Keeps,35000000,12.643,5.7,30065,105,"Comedy,Romance,Sport",4.0,41.0,PG-13,12/7/2012,139.0,38.0,8.906,7.110166667,16.3564,30962335,13103272.0,0.804563065
491,The Grand Heist,0,3.017,6.3,807,121,"Action,Comedy,History",,,,0,,,15.264,15.264,8.235400000000000,30158762,,
492,The Raven,26000000,48.667,6.4,84650,110,"Crime,Mystery,Thriller",22.0,46.0,R,4/27/2012,130.0,54.75,7.18,2.084,21.1372,29699345,16008272.0,0.5580110497
493,Amour,8900000,12.769,7.9,98678,127,Drama,93.0,82.0,PG-13,12/19/2013,156.0,84.625,3.219,1.199666667,5.2408,29844753,6739492.0,0.3583489681
494,All About My Wife,0,4.27,6.6,1493,121,"Comedy,Drama,Romance",,65.0,,0,,,5.207,15.264,8.31,29382038,,
495,Rowdy Rathore,6700000,7.102,5.9,22272,140,"Action,Comedy,Crime",50.0,55.0,,6/1/2012,,34.25,2.714,1.127,2.5174,31000000,,0.6476608187
496,SPEC: Heaven,0,2.564,5.9,310,119,Drama,,,,0,,,15.264,15.264,10.8046,29023960,,
497,We Were There: True Love,0,2.535,7.0,506,121,"Drama,Romance",,,,0,,,15.264,15.264,7.242200000000000,28876929,,
498,Bol Bachchan,12,4.11,5.6,8921,155,"Action,Comedy",71.0,51.0,PG,7/6/2012,,26.125,3.007,2.2565,4.1486,28775262,,0.7199017199
499,The Master,32000000,19.293,7.1,170048,138,Drama,84.0,62.0,R,9/14/2012,131.0,60.5,6.707,5.021,20.0934,28258060,16377274.0,0.4557051736
500,Hitchcock,15700000,12.767,6.8,75408,98,"Biography,Drama,Romance",60.0,60.0,PG-13,11/23/2012,169.0,73.75,1.865,3.5842,23.9748,27039669,6008677.0,0.3618233618
501,Architecture 101,0,7.726,7.2,3641,118,"Drama,Romance",,,,0,,,15.264,15.264,8.332800000000000,26642354,,
502,Lesson of the Evil,0,7.436,6.6,6098,129,"Horror,Thriller",,58.0,,0,,,7.704,0.708333333,9.7382,26167224,,
503,Agneepath,0,7.668,7.6,8887,174,"Action,Crime,Drama",92.0,62.0,,0,,,1.052,2.353,3.2892,26001696,,
504,Rust and Bone,15400000,9.761,7.5,67055,120,"Drama,Romance",,,,0,,,15.264,15.264,9.1858,25807712,,
505,Head Over Heels 2,0,6.519,5.8,1315,115,"Comedy,Romance",,,,0,,,15.264,15.264,1.5780000000000000,25402893,,
506,On the Other Side of the Tracks,0,9.882,5.7,5032,96,"Action,Comedy,Crime",,30.0,R,4/4/2014,,52.125,0.909,2.947,7.673000000000000,25109572,,0.3575129534
507,Herutâ sukerutâ,0,10.531,6.3,2596,127,"Drama,Horror",,37.0,,0,,,3.632,1.2325,6.4706,25066699,,
508,The Last Tycoon,0,11.052,6.3,8725,123,"Drama,Romance",,61.0,,0,,,8.039,4.418,11.8752,25009914,,
509,Housefull 2,6071922,8.848,5.4,14415,145,"Action,Comedy,Drama",,,,0,,,15.264,15.264,3.741,25097277,,
510,Big Miracle,40000000,16.195,6.5,19547,107,"Biography,Drama,Family",75.0,64.0,PG,2/3/2012,118.0,47.625,4.099,3.6035,23.255000000000000,24719215,20157300.0,0.9569151228
511,Sparkle,14000000,11.39,5.7,6315,116,"Drama,Music",56.0,44.0,PG-13,8/17/2012,114.0,47.75,1.752,1.62775,7.743600000000000,24637800,24397469.0,0.7419936852
512,Liar Game: Reborn,0,5.573,6.3,617,131,Drama,,,,0,,,15.264,15.264,6.4146,24549726,,
513,Türkisch für Anfänger,0,9.337,5.8,8652,105,"Adventure,Comedy",,,,0,,,15.264,15.264,7.189400000000000,23952712,,
514,Wanderlust,35000000,29.905,5.6,76062,98,"Comedy,Romance",,,,2/24/2012,126.0,53.0,0.0,0.6,21.0882,24159934,17450535.0,0.5652717052
515,"Little Brother, Big Trouble: A Christmas Adventure",0,7.732,5.7,1216,79,"Adventure,Animation,Comedy",,49.0,G,0,,,0.0,0.702,2.1824,23785681,,
516,To the Arctic 3D,0,4.124,6.6,1095,40,"Documentary,Short",,,,4/20/2012,145.0,38.5,15.264,15.264,,23695388,14560838.0,0.9159292035
517,Hotaru the Movie: It's Only a Little Light in My Life,0,2.391,5.8,298,109,"Drama,Romance",,,,0,,,15.264,15.264,7.832600000000000,22975341,,
518,Kon-Tiki,16600000,9.812,7.2,48576,118,"Adventure,Biography,Drama",,77.0,,4/3/1951,,,0.84,1.386,9.9558,22842887,,
519,Fall in Love Like a Star,0,2.479,5.3,234,98,Romance,,,,12/4/2015,,25.0,1.63,15.264,8.421800000000000,22640355,,1.0
520,Unbowed,0,1.132,7.0,210,125,"Drama,History,Romance",,40.0,,0,,,1.4,1.0,4.4764,22132903,,
521,Confession of Murder,0,11.862,7.0,10297,119,"Action,Crime,Thriller",,,,0,,,0.6,1.047666667,6.3396,21701525,,
522,Beasts of the Southern Wild,1800000,8.844,7.2,82927,93,"Adventure,Drama,Fantasy",86.0,76.0,PG-13,6/27/2012,143.0,42.625,1.96,1.017333333,3.2176,21107746,12795746.0,
523,Frozen,150000000,149.603,7.5,608533,102,"Adventure,Animation,Comedy",90.0,85.0,PG,11/22/2013,6.0,59.0,0.0,1.2158,13.039600000000000,1280802282,400738009.0,0.40436457
524,Iron Man 3,200000000,144.622,7.2,820282,130,"Action,Adventure,Sci-Fi",79.0,78.0,PG-13,5/3/2013,1.0,81.625,8.983,11.621,22.7414,1214811252,409013994.0,0.5509893455
525,Despicable Me 2,76000000,108.782,7.3,389969,98,"Adventure,Animation,Comedy",75.0,85.0,PG,7/3/2013,3.0,55.125,0.0,4.2655,18.7008,970766005,368065385.0,0.6214559387
526,The Hobbit: The Desolation of Smaug,250000000,127.863,7.8,640048,161,"Adventure,Fantasy",74.0,85.0,PG-13,12/13/2013,13.0,42.625,14.177,5.736,20.6522,958400000,258366855.0,0.3741496599
527,The Hunger Games: Catching Fire,130000000,72.555,7.5,648558,146,"Action,Adventure,Drama",90.0,89.0,PG-13,11/22/2013,2.0,46.625,5.18,2.535,16.2316,865011746,424668047.0,-0.6684360964
528,Fast & Furious 6,160000000,16.0,7.1,388161,130,"Action,Crime,Thriller",71.0,84.0,PG-13,5/24/2013,8.0,55.125,11.224,18.43566667,24.6976,788680968,238679850.0,-0.7076023392
529,Monsters University,200000000,101.914,7.3,348397,104,"Adventure,Animation,Comedy",80.0,81.0,G,6/21/2013,5.0,41.125,7.795,3.993,17.4536,743559607,268492764.0,0.4966378482
530,Gravity,105000000,29.955,7.7,808963,91,"Action,Drama,Sci-Fi",,,,10/4/2013,7.0,49.5,15.264,15.264,14.641,723192705,274092705.0,0.3709677419
531,Man of Steel,225000000,124.922,7.1,749635,143,"Action,Adventure,Sci-Fi",56.0,75.0,PG-13,6/14/2013,4.0,35.125,16.668,9.3275,30.6158,754045518,291045518.0,0.4305084746
532,Thor: The Dark World,170000000,131.894,6.8,653648,112,"Action,Adventure,Fantasy",66.0,75.0,PG-13,11/8/2013,11.0,68.5,6.109,11.621,26.5576,644783140,206362140.0,0.6601441813
533,The Croods,135000000,117.269,7.2,209335,98,"Adventure,Animation,Comedy",72.0,77.0,PG,3/22/2013,14.0,53.375,0.0,2.6215,29.719,587204668,187168425.0,0.7873799726
534,World War Z,200000000,157.06,7.0,644784,116,"Action,Adventure,Horror",66.0,72.0,PG-13,6/21/2013,12.0,38.25,6.647,10.08625,14.0042,540007876,202359711.0,-0.7045826514
535,Oz the Great and Powerful,200000000,45.799,6.3,205745,130,"Adventure,Family,Fantasy",57.0,56.0,PG,3/8/2013,9.0,40.875,9.936,5.184,16.2302,493311825,234911825.0,0.9903923139
536,Star Trek Into Darkness,190000000,60.969,7.7,478249,132,"Action,Adventure,Sci-Fi",84.0,89.0,PG-13,5/16/2013,10.0,68.25,10.586,8.1166,19.4842,467365246,228778661.0,-0.2903758777
537,The Wolverine,120000000,20.454,6.7,454929,126,"Action,Sci-Fi",71.0,69.0,PG-13,7/26/2013,21.0,39.125,6.24,8.423,17.1744,415440673,132556852.0,0.4819369716
538,Pacific Rim,180000000,193.287,6.9,490612,131,"Action,Adventure,Sci-Fi",72.0,77.0,PG-13,7/12/2013,30.0,36.375,10.019,4.33525,15.1658,411002906,101802906.0,0.4876431585
539,The Wolf of Wall Street,100000000,283.427,8.2,1329990,180,"Biography,Comedy,Crime",79.0,83.0,R,12/25/2013,80.0,46.0,21.503,10.6798,20.7956,392000694,116900694.0,0.2198049512
540,G.I. Joe: Retaliation,130000000,49.006,5.8,180206,110,"Action,Adventure,Sci-Fi",29.0,48.0,PG-13,3/28/2013,22.0,46.0,3.356,2.9865,18.8094,375740705,122523060.0,0.5718015666
541,The Hangover Part III,103000000,118.774,5.8,309190,100,"Comedy,Crime",20.0,44.0,R,5/23/2013,26.0,39.75,8.017,4.3085,20.9954,362000072,112200072.0,0.2292191436
542,The Great Gatsby,105000000,35.049,7.2,523713,143,"Drama,Romance",48.0,67.0,PG-13,5/10/2013,17.0,49.875,4.677,2.1284,18.801,353641895,144840419.0,0.9308403699
543,Now You See Me,75000000,99.295,7.2,639237,115,"Crime,Mystery,Thriller",51.0,70.0,PG-13,5/31/2013,23.0,37.0,7.598,7.95075,20.6962,351723989,117723989.0,0.6071942446
544,The Smurfs 2,105000000,57.449,5.3,41352,105,"Adventure,Animation,Comedy",14.0,56.0,PG,7/31/2013,50.0,54.25,11.426,1.736,18.9826,347545360,71017784.0,0.6837416481
545,The Conjuring,13000000,217.954,7.5,488753,112,"Horror,Mystery,Thriller",86.0,83.0,R,7/19/2013,18.0,35.125,13.692,1.948666667,20.3126,319494638,137400141.0,0.1041990669
546,A Good Day to Die Hard,92000000,74.735,5.2,205390,98,"Action,Thriller",15.0,40.0,R,2/14/2013,54.0,47.5,2.423,3.127,18.9372,304654182,67349198.0,-0.3216896832
547,Oblivion,120000000,35.067,7.0,511724,124,"Action,Adventure,Sci-Fi",,,,4/19/2013,41.0,70.625,15.264,15.264,29.89380000000000,286168572,89107235.0,0.4273972603
548,Elysium,115000000,62.444,6.6,439592,109,"Action,Drama,Sci-Fi",65.0,58.0,R,8/9/2013,37.0,43.375,6.446,7.471333333,19.1448,286140700,93050117.0,0.4411529223
549,Turbo,135000000,34.551,6.4,94046,96,"Adventure,Animation,Comedy",67.0,65.0,PG,7/17/2013,43.0,88.75,7.757,1.4,30.782,282570682,83028128.0,0.5028248588
550,Cloudy with a Chance of Meatballs 2,78000000,56.864,6.4,99950,95,"Adventure,Animation,Comedy",71.0,66.0,PG,9/27/2013,24.0,52.0,0.0,0.6055,22.0038,274325949,119793567.0,0.8876855195
551,Epic,100000000,55.506,6.6,104250,102,"Action,Adventure,Animation",65.0,65.0,PG,5/24/2013,27.0,75.5,10.231,2.0505,23.469,268426634,107518682.0,0.334144857
552,The Lone Ranger,215000000,69.822,6.4,230711,150,"Action,Adventure,Western",31.0,51.0,PG-13,7/3/2013,40.0,44.75,4.916,4.833,26.1682,260502115,89302115.0,-0.458756603
553,American Hustle,40000000,30.438,7.3,471050,138,"Crime,Drama",92.0,74.0,R,12/13/2013,53.0,74.0,2.742,4.361,31.742600000000000,251171807,150117807.0,0.625
554,Grown Ups 2,80000000,146.533,5.3,150763,101,Comedy,8.0,53.0,PG-13,7/12/2013,20.0,38.375,8.054,16.265,21.865,247022278,133668525.0,0.5328947368
555,After Earth,130000000,73.843,4.8,199249,100,"Action,Adventure,Sci-Fi",12.0,36.0,PG-13,5/31/2013,61.0,41.0,9.345,14.5968,27.6272,243843127,60522097.0,0.2923832924
556,Planes,50000000,37.473,5.7,44632,91,"Adventure,Animation,Comedy",,,,8/9/2013,39.0,69.375,15.264,15.264,10.2858,239258712,90288712.0,0.2013651877
557,Hansel & Gretel: Witch Hunters,50000000,115.003,6.1,203938,88,"Action,Fantasy,Horror",,,,1/25/2013,63.0,50.0,15.264,15.264,22.934800000000000,226349749,55703475.0,-0.6006493506
558,Captain Phillips,55000000,17.057,7.8,448596,134,"Action,Biography,Crime",93.0,89.0,PG-13,10/11/2013,28.0,44.5,4.05,3.034333333,17.869,218791811,107100855.0,0.5409356725
559,White House Down,150000000,94.389,6.3,217883,131,"Action,Drama,Thriller",52.0,62.0,PG-13,6/28/2013,47.0,37.5,7.582,5.2494,27.274000000000000,205366737,73103784.0,0.5378690629
560,Percy Jackson: Sea of Monsters,90000000,63.394,5.8,116444,106,"Adventure,Family,Fantasy",42.0,55.0,PG,8/7/2013,52.0,49.125,4.609,1.6495,19.9386,199850315,68559554.0,0.8050179211
561,Jack the Giant Slayer,195000000,65.264,6.3,137015,114,"Action,Adventure,Fantasy",52.0,55.0,PG-13,3/1/2013,56.0,31.375,11.971,6.9074,22.9272,197687603,65187603.0,0.4128142741
562,The Secret Life of Walter Mitty,90000000,42.66,7.3,310260,114,"Adventure,Comedy,Drama",75.0,80.0,,12/25/2013,93.0,,1.899,1.092,15.665,188133322,58236838.0,
563,12 Years a Slave,20000000,36.994,8.1,682710,134,"Biography,Drama,History",95.0,90.0,R,10/18/2013,83.0,38.0,16.649,8.820714286,26.7784,187733202,56671993.0,0.4750512645
564,Lee Daniels' The Butler,25000000,18.271,7.2,113781,132,"Biography,Drama",72.0,78.0,PG-13,8/16/2013,25.0,49.875,1.862,1.2966,8.4914,177313795,116632095.0,0.5453277545
565,Identity Thief,35000000,42.095,5.7,131869,111,"Comedy,Crime,Drama",19.0,53.0,R,2/8/2013,19.0,38.875,4.45,7.719333333,12.0624,173965010,134506920.0,-0.4954565123
566,Anchorman 2: The Legend Continues,50000000,26.019,6.3,178433,119,Comedy,75.0,52.0,PG-13,12/18/2013,38.0,37.125,10.808,10.776,19.754,173649015,125168368.0,0.6454545455
567,Olympus Has Fallen,70000000,78.812,6.5,271412,119,"Action,Thriller",50.0,66.0,R,3/22/2013,33.0,40.125,7.806,3.559,13.7802,170270201,98925640.0,-0.3595166163
568,Insidious: Chapter 2,5000000,75.24,6.6,166843,106,"Horror,Mystery,Thriller",39.0,57.0,PG-13,9/13/2013,42.0,30.625,13.692,4.103,21.0288,161919318,83586447.0,0.2813852814
569,Lone Survivor,40000000,33.996,7.5,281619,121,"Action,Biography,Drama",75.0,87.0,R,12/25/2014,24.0,68.75,12.59,8.706777778,24.309800000000000,154802912,125095601.0,0.5626072041
570,Jackass Presents: Bad Grandpa,15000000,54.686,6.5,93928,92,Comedy,61.0,60.0,R,10/25/2013,32.0,49.25,8.161,13.75825,15.167600000000000,151831537,102003019.0,-0.9447115385
571,47 Ronin,175000000,23.151,6.2,157632,128,"Action,Drama,Fantasy",16.0,48.0,PG-13,12/25/2013,107.0,42.5,3.193,1.0,22.8396,151783839,38362475.0,0.3091158328
572,RED 2,84000000,62.14,6.6,168763,116,"Action,Adventure,Comedy",44.0,63.0,PG-13,7/19/2013,66.0,65.75,5.811,2.071,18.318400000000000,148100000,53262560.0,0.4523809524
573,Mama,15000000,62.22,6.2,178036,100,"Fantasy,Horror,Thriller",63.0,55.0,PG-13,1/18/2013,48.0,67.375,5.146,2.076,11.6712,146497771,71628180.0,0.185110664
574,Escape Plan,50000000,37.704,6.7,239263,115,"Action,Thriller",50.0,55.0,R,10/18/2013,104.0,49.0,3.485,2.2566,26.3872,137328301,25135965.0,0.7609277431
575,2 Guns,61000000,56.372,6.7,208479,109,"Action,Comedy,Crime",65.0,66.0,R,8/2/2013,45.0,41.25,7.521,1.886857143,27.0032,131940411,75612460.0,0.5148443157
576,This Is the End,32000000,48.067,6.6,403739,107,Comedy,83.0,71.0,R,6/12/2013,31.0,38.25,0.0,12.30033333,18.2094,126041322,101470202.0,0.5418181818
577,Ender's Game,110000000,51.684,6.6,236467,114,"Action,Adventure,Sci-Fi",62.0,65.0,PG-13,11/1/2013,59.0,40.5,2.375,3.72725,25.2988,125544024,61737191.0,0.5111420613
578,Prisoners,46000000,153.196,8.1,673271,153,"Crime,Drama,Mystery",81.0,87.0,R,9/20/2013,60.0,41.875,18.269,2.152,26.0818,122126687,61002302.0,-0.5953565506
579,Saving Mr. Banks,35000000,22.71,7.5,159689,125,"Biography,Comedy,Drama",79.0,84.0,PG-13,12/13/2013,76.0,77.875,7.841,2.115666667,25.605,117867984,83301580.0,0.7352769679
580,Warm Bodies,35000000,38.397,6.9,228786,98,"Comedy,Horror,Romance",81.0,73.0,PG-13,2/1/2013,55.0,48.0,3.191,3.154,20.0964,116980662,66380662.0,0.7874730022
581,Personal Tailor,0,2.802,5.2,1241,118,"Comedy,Drama",,53.0,,12/20/2013,,45.25,5.947,0.6,5.7776,116126458,,0.5361445783
582,Free Birds,55000000,29.308,5.8,23944,91,"Adventure,Animation,Comedy",20.0,44.0,PG,11/1/2013,64.0,49.375,6.318,7.482,17.1628,110387072,55750480.0,0.8922097011
583,Gangster Squad,60000000,19.039,6.7,213339,113,"Action,Crime,Drama",31.0,57.0,R,1/11/2013,71.0,41.0,16.871,1.731,23.5016,105200903,46000903.0,0.5302013423
584,Philomena,12000000,14.031,7.6,99015,98,"Biography,Comedy,Drama",91.0,89.0,PG-13,11/22/2013,126.0,69.5,5.458,5.176333333,8.0556,100129872,37709979.0,0.5536423841
585,Blue Jasmine,18000000,25.975,7.3,200322,98,"Comedy,Drama",91.0,77.0,PG-13,7/26/2013,88.0,38.25,13.842,1.063333333,13.708000000000000,99206215,33405481.0,0.654531371
586,Young Detective Dee: Rise of the Sea Dragon,0,15.319,6.4,4794,134,"Action,Adventure,Drama",,53.0,,0,,,7.95,3.31,15.6276,98774891,,
587,Riddick,38000000,80.093,6.4,163477,119,"Action,Adventure,Sci-Fi",57.0,56.0,R,9/6/2013,79.0,50.5,4.765,22.599,18.9948,98337295,42025135.0,0.371242892
588,Safe Haven,28000000,15.371,6.7,109700,115,"Drama,Romance,Thriller",14.0,67.0,PG-13,2/14/2013,49.0,51.25,6.687,3.49375,9.1072,97594140,71349120.0,0.8371195885
589,Evil Dead,17000000,48.881,6.5,167136,91,Horror,63.0,63.0,R,4/5/2013,65.0,42.875,9.224,10.94666667,11.65,97542952,54239856.0,-0.8506959089
590,42,40000000,34.512,7.5,92934,128,"Biography,Drama,Sport",81.0,85.0,PG-13,4/12/2013,34.0,77.25,8.449,3.235,11.9584,97470701,95020213.0,0.3449367089
591,The Mortal Instruments: City of Bones,60000000,85.684,5.9,131877,130,"Action,Adventure,Fantasy",13.0,58.0,PG-13,8/21/2013,94.0,50.375,4.166,2.3315,11.4554,95396573,31165421.0,0.5517241379
592,Police Story: Lockdown,0,17.782,6.0,9815,110,"Action,Crime,Drama",25.0,33.0,,6/5/2015,,47.125,5.31,39.287,15.4126,94249025,,0.2601156069
593,The Internship,58000000,1.662,6.3,201493,119,Comedy,35.0,51.0,PG-13,6/7/2013,74.0,41.5,33.013,22.1605,21.0784,93492844,44672764.0,0.6563997262
594,The Purge,3000000,80.178,5.7,218517,85,"Horror,Sci-Fi,Thriller",39.0,36.0,R,6/7/2013,57.0,40.0,11.812,6.1794,15.198,89328627,64473115.0,0.1064150943
595,Dhoom 3,19500000,12.114,5.5,45405,172,"Action,Crime,Thriller",74.0,48.0,,12/20/2013,152.0,23.375,1.38,3.607,3.7884,91000000,8031955.0,0.3556270096
596,Pain & Gain,25000000,93.616,6.4,213437,129,"Action,Comedy,Crime",50.0,47.0,R,4/26/2013,69.0,45.375,16.464,6.564,24.6468,87305549,49875291.0,0.4541176471
597,About Time,12000000,46.574,7.8,334916,123,"Comedy,Drama,Fantasy",70.0,81.0,R,11/1/2013,132.0,85.125,6.713,3.13,25.7408,87100449,15322921.0,0.4980988593
598,American Dreams in China,0,6.94,7.0,2477,112,Drama,,77.0,,0,,,9.786,5.193,5.025600000000000,88000000,,
599,Snowpiercer,39200000,66.123,7.1,351636,126,"Action,Sci-Fi,Thriller",94.0,72.0,R,6/27/2014,166.0,43.375,11.709,3.4515,17.038800000000000,86758912,4563650.0,0.5566442131
600,Carrie,0,66.058,5.4,10413,132,"Drama,Horror,Sci-Fi",50.0,44.0,R,10/18/2013,85.0,69.625,2.673,7.651,11.9284,84790678,35266619.0,0.3601053325
601,Finding Mr. Right,4881000,6.002,6.5,2528,121,"Comedy,Romance",,70.0,,0,,,0.811,1.193,10.761,84112033,,
602,The Fighter Pilot,0,4.878,7.3,2521,144,"Action,Drama,Mystery",,,,0,,,15.264,15.264,7.777800000000000,84500000,,
603,The Attorney,0,9.707,7.7,6294,127,Drama,77.0,87.0,,0,,,0.6,15.264,10.609,78547586,,
604,Scary Movie V,20000000,122.999,3.5,70486,88,Comedy,4.0,38.0,PG-13,4/12/2013,92.0,44.5,9.21,5.1135,8.391,78378744,32015787.0,-0.7774044519
605,R.I.P.D.,130000000,51.751,5.6,130073,96,"Action,Adventure,Comedy",12.0,38.0,PG-13,7/19/2013,87.0,48.875,3.37,5.683,17.439,78324220,33618855.0,0.2169092169
606,Tiny Times,0,5.891,3.2,2265,116,"Drama,Romance",,38.0,,7/26/2013,,63.0,5.582,4.8355,6.601000000000000,77717014,,0.2586206897
