moviename,release_date,budget,year,cleaned_budget,cleaned_release_date
Wall Street: Money Never Sleeps,"
May 14, 2010 (2010-05-14) (Cannes)
September 24, 2010 (2010-09-24) (US)
",$70 million,2010.0,70000000.0,2010-09-24
The Adjustment Bureau,"
February 14, 2011 (2011-02-14) (Ziegfeld Theatre)
March 4, 2011 (2011-03-04) (United States)
",$50.2 million,2010.0,2000000.0,2011-03-04
Predators,,,2010.0,,
A Nightmare on Elm Street,,,2010.0,,
Dear John,"
February 5, 2010 (2010-02-05) (United States)
",$25 million,2010.0,25000000.0,2010-02-05
Cats & Dogs: The Revenge of Kitty Galore,,,2010.0,,
Tooth Fairy,"
January 22, 2010 (2010-01-22) (United States and Canada)
",$48 million,2010.0,48000000.0,2010-01-22
Sanctum,"
3 February 2011 (2011-02-03) (Australia)
4 February 2011 (2011-02-04) (US)
",$30 million,2010.0,30000000.0,2011-02-04
Hereafter,,,2010.0,,
Life as We Know It,"
October 8, 2010 (2010-10-08)
",$38 million,2010.0,38000000.0,2010-10-08
Let the Bullets Fly,"
December 16, 2010 (2010-12-16)
",,2010.0,,2010-12-16
Love & Other Drugs,,,2010.0,,
Aftershock,"
22 July 2010 (2010-07-22)
",less than $25 million,2010.0,25000000.0,2010-07-22
Umizaru 3: The Last Message,"
September 18, 2010 (2010-09-18) (Japan)
",,2010.0,,2010-09-18
Killers,"
June 1, 2010 (2010-06-01) (Hollywood premiere)
June 4, 2010 (2010-06-04)
",$75 million,2010.0,75000000.0,2010-06-04
Kick-Ass,"
14 August 2013 (2013-08-14) (United Kingdom)
16 August 2013 (2013-08-16) (United States)
",$28 million,2013.0,28000000.0,2013-08-16
Nanny McPhee Returns,"
2 April 2010 (2010-04-02) (Europe)
20 August 2010 (2010-08-20) (North America)
",$35 million,2010.0,35000000.0,2010-08-20
Get Him to the Greek,"
June 4, 2010 (2010-06-04)
",$40 million,2010.0,40000000.0,2010-06-04
Burlesque,"
November 24, 2010 (2010-11-24)
",$55 million,2010.0,55000000.0,2010-11-24
The Last Song,"
March 31, 2010 (2010-03-31)
",$20 million,2010.0,20000000.0,2010-03-31
Dinner for Schmucks,"
July 30, 2010 (2010-07-30)
",$62.7–69 million,2010.0,69000000.0,2010-07-30
Bayside Shakedown 3: Set the Guys Loose,,,2010.0,,
Marmaduke,"
June 4, 2010 (2010-06-04) (United States)
",$50 million,2010.0,50000000.0,2010-06-04
Piranha 3D,,,2010.0,,
Edge of Darkness,"
January 29, 2010 (2010-01-29) (United Kingdom and United States)
",$80 million,2010.0,80000000.0,2010-01-29
Vampires Suck,"
August 18, 2010 (2010-08-18)
",$20 million,2010.0,20000000.0,2010-08-18
Letters to Juliet,"
April 25, 2010 (2010-04-25) (Tribeca Film Festival)
May 14, 2010 (2010-05-14) (United States)
",$30 million,2010.0,30000000.0,2010-05-14
The Back-up Plan,"
April 23, 2010 (2010-04-23) (United States)
",$35 million,2010.0,35000000.0,2010-04-23
Diary of a Wimpy Kid,"
May 19, 2017 (2017-05-19)
",$22 million,2017.0,22000000.0,2017-05-19
If You Are the One 2,"
December 22, 2010 (2010-12-22)
",,2010.0,,2010-12-22
Easy A,"
September 11, 2010 (2010-09-11) (TIFF)
September 17, 2010 (2010-09-17) (United States)
",$8 million,2010.0,8000000.0,2010-09-17
Hubble,"
March 19, 2010 (2010-03-19) (United States)
",,2010.0,,2010-03-19
A Turtle's Tale: Sammy's Adventures,,,2010.0,,
The Last Exorcism,"
June 24, 2010 (2010-06-24) (Los Angeles Film Festival)
August 27, 2010 (2010-08-27)
",$1.8 million,2013.0,8000000.0,2010-08-27
Takers,,,2010.0,,
Legion,"
January 22, 2010 (2010-01-22) (United States)
",$26 million,2010.0,26000000.0,2010-01-22
The American,,,2016.0,,
The Next Three Days,"
November 9, 2010 (2010-11-09) (New York City)
November 19, 2010 (2010-11-19) (United States)
",$30 million,2010.0,30000000.0,2010-11-19
Skyline,"
November 11, 2010 (2010-11-11) (Australia)
November 12, 2010 (2010-11-12) (United States)
",$10–20 million,2010.0,20000000.0,2010-11-12
Devil,,,2021.0,,
127 Hours,"
4 September 2010 (2010-09-04) (Telluride Film Festival)
5 November 2010 (2010-11-05) (United States)
7 January 2011 (2011-01-07) (United Kingdom)
",$18 million,2010.0,18000000.0,2011-01-07
Why Did I Get Married Too?,"
April 2, 2010 (2010-04-02)
",$20 million,2010.0,20000000.0,2010-04-02
The Ghost Writer,"
12 February 2010 (2010-02-12) (Berlin Film Festival)
18 February 2010 (2010-02-18) (Germany)
3 March 2010 (2010-03-03) (France)
16 April 2010 (2010-04-16) (United Kingdom)
",$45 million,2010.0,45000000.0,2010-04-16
Secretariat,"
September 30, 2010 (2010-09-30) (Hollywood)
October 8, 2010 (2010-10-08) (United States)
",$35 million,2010.0,35000000.0,2010-10-08
Morning Glory,"
November 10, 2010 (2010-11-10)
",$40 million,2010.0,40000000.0,2010-11-10
Remember Me,"
March 1, 2010 (2010-03-01) (New York premiere)
March 12, 2010 (2010-03-12) (United States)
",$16 million,2010.0,16000000.0,2010-03-12
Cop Out,"
February 26, 2010 (2010-02-26)
",$30 million,2010.0,30000000.0,2010-02-26
The Crazies,"
February 26, 2010 (2010-02-26)
",$20 million,2010.0,20000000.0,2010-02-26
Little White Lies,"
11 September 2010 (2010-09-11) (TIFF)
20 October 2010 (2010-10-20) (France)
",$17.6 million,2019.0,6000000.0,2010-10-20
From Paris with Love,"
February 5, 2010 (2010-02-05) (United States)
",$52 million,2010.0,52000000.0,2010-02-05
Detective Dee: The Mystery of the Phantom Flame,"
29 September 2010 (2010-09-29) (China)
30 September 2010 (2010-09-30) (Hong Kong)
",US$20 million,2010.0,20000000.0,2010-09-30
Daybreakers,"
September 11, 2009 (2009-09-11) (TIFF)
January 8, 2010 (2010-01-08) (United States)
February 4, 2010 (2010-02-04) (Australia)
",$20 million,2010.0,20000000.0,2010-02-04
Alpha and Omega,"
September 8, 2010 (2010-09-08) (TIFF)
September 17, 2010 (2010-09-17) (United States)
",$20 million,2010.0,20000000.0,2010-09-17
The Switch,"
August 16, 2010 (2010-08-16) (ArcLight Hollywood)
August 20, 2010 (2010-08-20) (United States)
",$19 million,2010.0,19000000.0,2010-08-20
She's Out of My League,"
March 12, 2010 (2010-03-12)
",$20 million,2010.0,20000000.0,2010-03-12
