Release-Date,Movie,Revenue, Revenue1,NumTheatres,Production,UNK1,UNK2,UNK3
2010-06-04,Splice2010 Re-release,"$17,010,170","$17,010,170",129,Warner Bros.,,,
2010-06-11,The Karate Kid,"$176,591,618","$176,591,618",11,Sony Pictures Entertainment (SPE),,,
2010-06-11,The A-Team,"$77,222,099","$77,222,099",42,Twentieth Century Fox,,,
2010-06-11,Winter's Bone,"$6,243,745","$6,531,503",160,Roadside Attractions,,,
2010-06-11,Joan Rivers: A Piece of Work,"$2,930,687","$2,930,687",184,IFC Films,,,
2010-06-18,Toy Story 3,"$415,004,880","$415,004,880",2,Walt Disney Studios Motion Pictures,,,
2010-06-18,Jonah Hex,"$10,547,117","$10,547,117",140,Warner Bros.,,,
2010-06-18,Cyrus,"$7,468,936","$7,468,936",151,Fox Searchlight Pictures,,,
2010-06-18,I Am Love,"$5,005,465","$5,005,465",163,Magnolia Pictures,,,
2010-06-23,Knight and Day2010 Re-release,"$76,423,035","$76,423,035",43,Twentieth Century Fox,,,
2010-06-25,Grown Ups,"$162,001,186","$162,001,186",13,Sony Pictures Entertainment (SPE),,,
2010-06-26,The Hurt Locker,"$2,705,895","$17,017,811",187,Summit Entertainment,,,
2010-06-29,Twilight/New MoonDouble Bill,"$2,385,237","$2,385,237",191,Summit Entertainment,,,
2010-06-30,The Twilight Saga: Eclipse,"$300,531,751","$300,531,751",5,Summit Entertainment,,,
2010-07-01,The Last Airbender,"$131,772,187","$131,772,187",16,Paramount Pictures,,,
2010-07-09,Despicable Me,"$251,083,040","$251,513,985",8,Universal Pictures,,,
2010-07-09,Predators,"$52,000,688","$52,000,688",66,Twentieth Century Fox,,,
2010-07-09,The Kids Are All Right,"$20,811,365","$20,811,365",121,Focus Features,,,
2010-07-09,The Girl Who Played with Fire,"$7,635,737","$7,638,241",150,Music Box Films,,,
2010-07-14,The Sorcerer's Apprentice,"$63,150,991","$63,150,991",49,Walt Disney Studios Motion Pictures,,,
2010-07-16,Inception,"$292,558,188","$292,576,195",6,Warner Bros.,,,
2010-07-23,Salt,"$118,311,368","$118,311,368",19,Sony Pictures Entertainment (SPE),,,
2010-07-23,Ramona and Beezus,"$26,167,002","$26,167,002",106,Twentieth Century Fox,,,
2010-07-30,Dinner for Schmucks,"$73,026,337","$73,026,337",44,DreamWorks,,,
2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,"$43,585,753","$43,585,753",75,Warner Bros.,,,
2010-07-30,Charlie St. Cloud,"$31,162,545","$31,162,545",97,Universal Pictures,,,
2010-07-30,Get Low,"$9,110,406","$9,176,933",145,Sony Pictures Classics,,,
