,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
100,100,My Little Pony: The Movie,60330833,21885107,36.3,38445726,63.7,47.0,77.0,PG,JaysonThiessen,"BrianGoldner,StephenDavis,MarciaGwendolynJones,HavenAlexander",10-6-2017,21800000.0,6.2,6870,movie,My Little Pony: The Movie,0,2017,99,"Adventure,Animation,Comedy"
101,101,Molly's Game,59284015,28780744,48.5,30503271,51.5,82.0,84.0,R,AaronSorkin,"MarkGordon,AmyPascal,MattJackson",1-5-2018,28700000.0,7.4,163915,movie,Molly's Game,0,2017,140,"Biography,Crime,Drama"
102,102,The Devotion of Suspect X,59035664,686435,1.2,58349229,98.8,,65.0,,AlecSu,HyunwooThomasKim,3-31-2017,686.4K,6.2,847,movie,Xian yi ren X de xian shen,0,2017,112,"Crime,Thriller"
103,103,Shock Wave,58815633,-,-,58815633,100.0,67.0,56.0,,HermanYau,"AndyLau,AlvinLam,ChanPui-wah,EstherKoo,AliceChan",5-5-2017,,6.3,3466,movie,Chak daan juen ga,0,2017,119,"Action,Crime,Thriller"
104,104,Goldbuster,57628292,186135,0.3,57442157,99.7,,,,,,,,4.4,256,movie,Yao ling ling,0,2017,89,"Comedy,Fantasy"
105,105,All the Money in the World,56996304,25113707,44.1,31882597,55.9,79.0,66.0,R,RidleyScott,"DanFriedkin,BradleyThomas,QuentinCurtis,ChrisClark,RidleyScott,MarkHuffam,KevinJ.Walsh",12-25-2017,24800000.0,6.8,83508,movie,All the Money in the World,0,2017,132,"Biography,Crime,Drama"
106,106,The Big Sick,56411585,42873127,76,13538458,24.0,98.0,88.0,R,MichaelShowalter,"JuddApatow,BarryMendel",7-14-2017,42900000.0,7.5,132191,movie,The Big Sick,0,2017,120,"Comedy,Drama,Romance"
107,107,Gongjo,55972241,475618,0.8,55496623,99.2,,,,,,,,6.6,3199,movie,Gongjo,0,2017,124,"Action,Comedy,Drama"
108,108,All Eyez on Me,55668698,44922302,80.7,10746396,19.3,18.0,53.0,R,BennyBoom,"DavidRobinson,L.T.Hutton,JamesG.Robinson",6-16-2017,44900000.0,5.8,22856,movie,All Eyez on Me,0,2017,139,"Biography,Drama,Music"
109,109,Downsizing,55003890,24449754,44.5,30554136,55.5,47.0,23.0,R,AlexanderPayne,"MeganEllison,MarkJohnson,AlexanderPayne,JimTaylor,JimBurke",12-22-2017,24400000.0,5.7,107640,movie,Downsizing,0,2017,135,"Drama,Fantasy,Sci-Fi"
110,110,"I, Tonya",53939297,30014539,55.6,23924758,44.4,,,,,,,,7.5,207503,movie,"I, Tonya",0,2017,119,"Biography,Comedy,Drama"
111,111,1987: When the Day Comes,53834292,-,-,53834292,100.0,82.0,95.0,,JangJoon-hwan,,,,7.8,4846,movie,1987,0,2017,129,Drama
112,112,The Outlaws,52946454,-,-,52946454,100.0,91.0,79.0,,KangYunseong,YooYeong-chae,,,7.2,6342,movie,Beomjoidosi,0,2017,121,"Action,Crime,Thriller"
113,113,Bleeding Steel,48825526,-,-,48825526,100.0,22.0,23.0,R,LeoZhang,"PaulCurrie,KailuoLiu,JavierZhang",7-6-2018,,5.1,9898,movie,Ji qi zhi xue,0,2017,109,"Action,Sci-Fi,Thriller"
114,114,Logan Lucky,48453605,27780977,57.3,20672628,42.7,92.0,76.0,PG-13,StevenSoderbergh,"GregoryJacobs,MarkJohnson,ChanningTatum,ReidCarolin",8-18-2017,27800000.0,7.0,145930,movie,Logan Lucky,0,2017,118,"Action,Comedy,Crime"
115,115,Boo 2! A Madea Halloween,48333932,47319572,97.9,1014360,2.1,4.0,40.0,PG-13,TylerPerry,"TylerPerry,MarkE.Swinton,WillAreu,OzzieAreu",10-20-2017,47300000.0,3.8,4700,movie,Tyler Perry's Boo 2! A Madea Halloween,0,2017,101,"Comedy,Drama,Horror"
116,116,Sky Hunter,48065601,-,-,48065601,100.0,14.0,50.0,,ChenLi,,,,6.1,2701,movie,Kong tian lie,0,2017,115,"Action,Drama,Romance"
117,117,Phantom Thread,47756590,21198205,44.4,26558385,55.6,91.0,71.0,R,PaulThomasAnderson,"JoAnneSellar,PaulThomasAnderson,MeganEllison,DanielLupi",1-19-2018,20900000.0,7.4,127884,movie,Phantom Thread,0,2017,130,"Drama,Romance"
118,118,Rough Night,47347283,22105643,46.7,25241640,53.3,45.0,29.0,R,LuciaAniello,"MatthewTolmach,LuciaAniello,PaulW.Downs,DaveBecky",6-16-2017,22100000.0,5.2,51282,movie,Rough Night,0,2017,101,Comedy
119,119,Son of Bigfoot,47046281,289308,0.6,46756973,99.4,76.0,41.0,PG,"JeremyDegruson,BenStassen",,5-4-2018,,6.1,7008,movie,The Son of Bigfoot,0,2017,92,"Adventure,Animation,Comedy"
120,120,Three Seconds,46596415,-,-,46596415,100.0,,100.0,,DanielG.Karslake,"MichaelHuffington,DanielG.Karslake,HelenR.Mendoza",,,6.7,4836,movie,Dvizhenie vverkh,0,2017,133,"Biography,Drama,Sport"
121,121,The Thousand Faces of Dunjia,46263237,124187,0.3,46139050,99.7,33.0,50.0,,Woo-PingYuen,HarkTsui,12-15-2017,57.8K,5.4,1272,movie,Qimen Dunjia,0,2017,113,"Action,Adventure,Fantasy"
122,122,The Battleship Island,46183383,1104957,2.4,45078426,97.6,67.0,80.0,,RyooSeung-wan,JoSeong-min,7-28-2017,1100000.0,7.1,6955,movie,Gunhamdo,0,2017,132,"Action,Drama,History"
123,123,Hanson and the Beast,46154323,-,-,46154323,100.0,,,,YangXiao,,,,5.2,527,movie,Er dai yao jing,0,2017,110,"Comedy,Fantasy,Romance"
124,124,Gintama Live Action the Movie,45746967,-,-,45746967,100.0,,,,,,,,6.1,2409,movie,Gintama,0,2017,131,"Action,Adventure,Comedy"
125,125,Guilty of Mind,45698503,-,-,45698503,100.0,,,,,,,,4.8,154,movie,Xin li zui,0,2017,110,"Action,Crime,Drama"
126,126,Flatliners,45158254,16883115,37.4,28275139,62.6,4.0,32.0,PG-13,NielsArdenOplev,"LaurenceMark,MichaelDouglas,PeterSafran",9-29-2017,16900000.0,5.2,46185,movie,Flatliners,0,2017,109,"Drama,Horror,Mystery"
127,127,Bad Genius,44560421,-,-,44560421,100.0,100.0,93.0,,NattawutPoonpiriya,"VanrideePongsittisak,ChenchonneeSoonthonsaratul,SuwimonTechasupinan,WeerachaiYaikwawong",,,7.6,20331,movie,Chalard games goeng,0,2017,130,"Comedy,Crime,Drama"
128,128,Mother!,44516999,17800004,40,26716995,60.0,68.0,51.0,R,DarrenAronofsky,"DarrenAronofsky,ScottFranklin,AriHandel",9-15-2017,17800000.0,6.6,215663,movie,Mother!,0,2017,121,"Drama,Horror,Mystery"
129,129,Wind River,43980821,33800859,76.9,10179962,23.1,87.0,90.0,R,TaylorSheridan,"PeterBerg,WayneL.Rogers,MatthewGeorge,BasilIwanyk,ElizabethA.Bell",8-18-2017,33800000.0,7.7,241067,movie,Wind River,0,2017,107,"Crime,Drama,Mystery"
130,130,Battle of Memories,43892362,594552,1.4,43297810,98.6,57.0,62.0,,LesteChen,TinaShi,4-28-2017,571.0K,6.4,1066,movie,Ji yi da shi,0,2017,119,"Fantasy,Mystery,Sci-Fi"
131,131,The Snowman,43155261,6700035,15.5,36455226,84.5,6.0,18.0,R,TomasAlfredson,"TimBevan,EricFellner,PeterGustafsson,RobynSlovo",10-20-2017,6700000.0,5.1,62590,movie,The Snowman,0,2017,119,"Crime,Drama,Thriller"
132,132,Gifted,43046590,24801212,57.6,18245378,42.4,73.0,85.0,PG-13,MarcWebb,"KarenLunder,AndyCohen",4-12-2017,24800000.0,7.6,112448,movie,Gifted,0,2017,101,Drama
133,133,Loving Vincent,42187665,6735118,16,35452547,84.0,84.0,86.0,PG-13,"DorotaKobiela,HughWelchman",,9-22-2017,6500000.0,7.8,56503,movie,Loving Vincent,0,2017,94,"Animation,Biography,Crime"
134,134,Mary and the Witch's Flower,41978431,2418404,5.8,39560027,94.2,89.0,70.0,PG,HiromasaYonebayashi,,1-19-2018,2000000.0,6.8,13984,movie,Meari to majo no hana,0,2017,103,"Adventure,Animation,Family"
135,135,Call Me by Your Name,41887595,18095701,43.2,23791894,56.8,94.0,86.0,R,LucaGuadagnino,"PeterSpears,LucaGuadagnino,EmilieGeorges,RodrigoTeixeira,MarcoMorabito",1-19-2018,18000000.0,7.9,254580,movie,Call Me by Your Name,0,2017,132,"Drama,Romance"
