,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
135,The Possession of Hannah Grace,Shay Mitchell,9.809,Grey Damon,7.539,Stana Katic,17.986,Louis Herthum,4.935,J.P. Valenti,0.608,135,43016528,14837422,34.5,28179106,65.5,18.0,26.0,R,DiederikVanRooijen,"ToddGarner,SeanRobins",11-30-2018,14800000.0,5.2,22201,movie,The Possession of Hannah Grace,0,2018,86,"Horror,Mystery,Thriller"
136,Long Day's Journey Into Night,Laurie Metcalf,8.89,Kyle Soller,1.919,David Suchet,8.263,,,,,136,42140994,521365,1.2,41619629,98.8,94.0,86.0,,SidneyLumet,"ElyLandau,JackJ.Dreyfus",,,7.1,7894,movie,Diqiu zuihou de yewan,0,2018,138,"Drama,Mystery,Romance"
137,Overlord,Jovan Adepo,5.14,Wyatt Russell,13.14,Pilou Asbæk,6.117,Mathilde Ollivier,5.627,John Magaro,12.954,137,41657844,21704844,52.1,19953000,47.9,81.0,66.0,R,JuliusAvery,"J.J.Abrams,LindseyWeber",11-9-2018,21700000.0,6.6,96156,movie,Overlord,0,2018,110,"Action,Horror,Sci-Fi"
138,The Great Battle,,,,,,,,,,,138,41509280,472166,1.1,41037114,98.9,,,,YuriOzerov,,,,7.0,4936,movie,Ansisung,0,2018,136,"Action,Drama,History"
139,The Darkest Minds,Amandla Stenberg,8.136,Harris Dickinson,16.789,Patrick Gibson,7.799,Skylan Brooks,6.706,Mandy Moore,15.654,139,41142379,12695691,30.9,28446688,69.1,15.0,72.0,PG-13,JenniferYuhNelson,"ShawnLevy,DanLevine",8-3-2018,12700000.0,5.7,31594,movie,The Darkest Minds,0,2018,104,"Action,Adventure,Drama"
140,"Lost, Found",David Spade,24.188,Sophie Marceau,24.143,Ever Carradine,11.212,Stephanie Chang,0.6,Neal MacMillan,0.6,140,41043552,-,-,41043552,100,,,,YueLü,FengXiao-Gang,,,6.5,309,movie,Zhao dao ni,0,2018,102,"Drama,Mystery"
141,Holmes & Watson,Will Ferrell,13.839,John C. Reilly,9.918,Rebecca Hall,27.441,Rob Brydon,7.675,Kelly Macdonald,14.977,141,40466970,30573626,75.6,9893344,24.4,10.0,25.0,PG-13,EtanCohen,"WillFerrell,AdamMcKay,JimmyMiller,ClaytonTownsend",12-25-2018,30500000.0,3.9,35741,movie,Holmes & Watson,0,2018,90,"Comedy,Crime,Mystery"
142,Intimate Strangers,Sally Struthers,4.634,Dennis Weaver,15.179,Tyne Daly,10.291,Larry Hagman,10.86,Melvyn Douglas,1.467,142,39576060,-,-,39576060,100,,82.0,,J.Q.Lee,,,,6.5,140,movie,Intimidade Entre Estranhos,0,2018,111,Drama
143,Intimate Strangers,Sally Struthers,4.634,Dennis Weaver,15.179,Tyne Daly,10.291,Larry Hagman,10.86,Melvyn Douglas,1.467,143,39576060,-,-,39576060,100,,82.0,,J.Q.Lee,,,,6.9,1553,movie,Wanbyeokhan tain,0,2018,115,"Comedy,Drama"
144,Thugs of Hindostan,Amitabh Bachchan,3.917,Aamir Khan,6.119,Katrina Kaif,5.27,Fatima Sana Shaikh,4.688,Mohammed Zeeshan Ayyub,1.646,144,39570044,1449848,3.7,38120196,96.3,19.0,46.0,,VijayKrishnaAcharya,AdityaChopra,11-8-2018,2000000.0,4.1,19288,movie,Thugs of Hindostan,0,2018,164,"Action,Adventure"
145,Sink or Swim,Jessica Meyerson,0.6,,,,,,,,,145,39193850,-,-,39193850,100,,40.0,R,GaryRosen,"PaigeSimpson,JasonClark",,,6.9,10491,movie,Le grand bain,0,2018,121,"Comedy,Drama,Sport"
146,Show Dogs,Will Arnett,16.336,Ludacris,17.428,Natasha Lyonne,14.745,Jordin Sparks,3.953,Gabriel Iglesias,12.75,146,39156854,17857020,45.6,21299834,54.4,16.0,26.0,PG,RajaGosnell,"DeepakNayar,PhilipvonAlvensleben",5-18-2018,17700000.0,3.9,4661,movie,Show Dogs,0,2018,92,"Adventure,Comedy,Crime"
147,Believer,Ryan Gosling,12.098,Summer Phoenix,7.34,Theresa Russell,12.687,Billy Zane,23.055,Garret Dillahunt,11.648,147,39047153,365639,0.9,38681514,99.1,83.0,67.0,,LeeHae-young,ImSeung-yong,6-8-2018,365.6K,6.5,2383,movie,Dokjeon,0,2018,123,"Action,Crime,Thriller"
148,Believer,Ryan Gosling,12.098,Summer Phoenix,7.34,Theresa Russell,12.687,Billy Zane,23.055,Garret Dillahunt,11.648,148,39047153,365639,0.9,38681514,99.1,83.0,67.0,,LeeHae-young,ImSeung-yong,6-8-2018,365.6K,7.3,882,movie,Believer,0,2018,101,"Documentary,Music"
149,The Spy Gone North,Hwang Jung-min,8.721,Lee Sung-min,6.154,Cho Jin-woong,9.375,Ju Ji-hoon,9.937,Kim Hong-pa,6.527,149,38844509,500803,1.3,38343706,98.7,100.0,93.0,,YoonJong-bin,Su-RanKuk,8-10-2018,500.8K,7.3,4925,movie,Gongjak,0,2018,137,"Drama,Thriller"
150,On the Basis of Sex,Felicity Jones,18.633,Armie Hammer,23.554,Justin Theroux,17.672,Sam Waterston,8.45,Kathy Bates,18.832,150,38673750,24622687,63.7,14051063,36.3,72.0,76.0,PG-13,MimiLeder,"RobertW.Cort,JonathanKing",1-11-2019,24700000.0,7.1,33463,movie,On the Basis of Sex,0,2018,120,"Biography,Drama"
151,Taxi 5,Franck Gastambide,9.153,Malik Bentalha,1.775,Bernard Farcy,3.313,Salvatore Esposito,9.909,Edouard Montoute,6.184,151,38598227,-,-,38598227,100,0.0,30.0,,FranckGastambide,LucBesson,,,4.7,9220,movie,Taxi 5,0,2018,102,"Action,Comedy,Crime"
152,Fat Buddies,Wen Zhang,4.852,Bao Bei Er,7.902,Clara Lee,10.63,Guo Jingfei,9.703,Yasuaki Kurata,11.001,152,37496410,-,-,37496410,100,,,,Bei-ErBao,,,,4.4,163,movie,Pang zi xing dong dui,0,2018,109,"Action,Comedy"
153,Till The End Of The World,Mark Chao,8.873,Yang Zishan,8.435,Anastasia Berestova,0.6,Jao Felipe,1.4,Sun Di,0.6,153,37013733,118660,0.3,36895073,99.7,,70.0,,WuYouyin,,2-2-2018,53.5K,6.6,370,movie,Nan ji jue lian,0,2018,117,"Adventure,Drama"
154,2.0,Miguel Céspedes,2.029,Raymond Pozo,2.465,Dalisa Alegría,0.6,Elizabeth Ruíz,0.6,Olga Buccarelli,0.6,154,36945969,4152000,11.2,32793969,88.8,58.0,70.0,,S.Shankar,"K.Karunamoorthy,GauravMisra,A.Subaskaran",,5500000.0,6.4,23652,movie,2.0,0,2018,148,"Action,Sci-Fi,Thriller"
155,Nothing to Lose,Martin Lawrence,26.374,Tim Robbins,15.623,John C. McGinley,10.441,Giancarlo Esposito,13.155,Kelly Preston,7.767,155,36075317,1016188,2.8,35059129,97.2,,60.0,R,IzidoreK.Musallam,,,,6.1,23013,movie,Nada a Perder,0,2018,134,"Biography,Drama"
156,T-34,Alexander Petrov,8.193,Victor Dobronravov,5.402,Irina Starshenbaum,11.696,Vinzenz Kiefer,8.908,Petr Skvortsov,2.898,156,35950901,-,-,35950901,100,,82.0,,AlekseySidorov,,,,6.8,12021,movie,T-34,0,2018,139,"Action,War"
157,Mia and the White Lion,Daniah De Villiers,9.039,Mélanie Laurent,16.858,Langley Kirkwood,10.269,Ryan Mac Lennan,2.265,Lionel Newton,1.947,157,35487190,399471,1.1,35087719,98.9,88.0,52.0,PG,GillesdeMaistre,,4-12-2019,400.3K,6.5,5284,movie,Mia et le lion blanc,0,2018,98,"Adventure,Drama,Family"
158,The Girl in the Spider's Web,Claire Foy,18.97,Beau Gadsdon,4.399,Sverrir Gudnason,4.175,Lakeith Stanfield,6.236,Sylvia Hoeks,10.756,158,35164920,14841338,42.2,20323582,57.8,38.0,36.0,R,FedeAlvarez,"ScottRudin,EliBush,OleSøndberg,SørenStærmose,BernaLevin,AmyPascal,ElizabethCantillon",11-9-2018,14800000.0,6.1,46757,movie,The Girl in the Spider's Web,0,2018,115,"Action,Crime,Drama"
