,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,Transformers: Age of Extinction,Mark Wahlberg,49.465,Stanley Tucci,12.603,Nicola Peltz,23.985,Jack Reynor,11.957,Titus Welliver,15.938,0,1104054072,245439076,22.2,858614996,77.8,17.0,50.0,PG-13,MichaelBay,"DonMurphy,TomDeSanto,LorenzodiBonaventura,IanBryce",6-27-2014,245400000.0,5.6,309575,movie,Transformers: Age of Extinction,0,2014,165,"Action,Adventure,Sci-Fi"
1,The Hobbit: The Battle of the Five Armies,Ian McKellen,15.137,Martin Freeman,18.272,Richard Armitage,16.794,Orlando Bloom,13.4,Evangeline Lilly,22.94,1,956019788,255119788,26.7,700900000,73.3,59.0,74.0,PG-13,PeterJackson,"CarolynneCunningham,ZaneWeiner,FranWalsh,PeterJackson",12-17-2014,255100000.0,7.4,511310,movie,The Hobbit: The Battle of the Five Armies,0,2014,144,"Adventure,Fantasy"
2,Guardians of the Galaxy,Chris Pratt,27.826,Zoe Saldana,26.317,Dave Bautista,21.582,Vin Diesel,29.696,Bradley Cooper,38.912,2,772776600,333176600,43.1,439600000,56.9,92.0,92.0,PG-13,JamesGunn,KevinFeige,8-1-2014,333700000.0,8.1,1132743,movie,Guardians of the Galaxy,0,2014,121,"Action,Adventure,Comedy"
3,Maleficent,Angelina Jolie,13.484,Elle Fanning,19.65,Sharlto Copley,11.098,Lesley Manville,8.994,Juno Temple,15.704,3,758410378,241410378,31.8,517000000,68.2,54.0,70.0,PG,RobertStromberg,JoeRoth,5-30-2014,241400000.0,7.0,366975,movie,Maleficent,0,2014,97,"Adventure,Family,Fantasy"
4,The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence,26.491,Josh Hutcherson,9.872,Liam Hemsworth,10.599,Woody Harrelson,19.341,Elizabeth Banks,14.855,4,755356711,337135885,44.6,418220826,55.4,69.0,71.0,PG-13,FrancisLawrence,"NinaJacobson,JonKilik",11-21-2014,,6.6,443036,movie,The Hunger Games: Mockingjay - Part 1,0,2014,123,"Action,Adventure,Sci-Fi"
5,X-Men: Days of Future Past,Hugh Jackman,23.696,James McAvoy,30.715,Michael Fassbender,14.93,Jennifer Lawrence,26.491,Nicholas Hoult,25.64,5,746045700,233921534,31.4,512124166,68.6,90.0,91.0,PG-13,BryanSinger,"LaurenShulerDonner,BryanSinger,SimonKinberg,HutchParker",5-23-2014,233900000.0,8.0,694929,movie,X-Men: Days of Future Past,0,2014,132,"Action,Adventure,Sci-Fi"
6,Captain America: The Winter Soldier,Chris Evans,15.319,Scarlett Johansson,38.188,Sebastian Stan,39.447,Anthony Mackie,17.839,Cobie Smulders,17.517,6,714421503,259766572,36.4,454654931,63.6,90.0,92.0,PG-13,"AnthonyRusso,JoeRusso",KevinFeige,4-4-2014,259700000.0,7.8,810506,movie,Captain America: The Winter Soldier,0,2014,136,"Action,Adventure,Sci-Fi"
7,Dawn of the Planet of the Apes,Andy Serkis,16.501,Jason Clarke,23.125,Gary Oldman,27.283,Keri Russell,11.239,Toby Kebbell,12.326,7,710644566,208545589,29.3,502098977,70.7,90.0,88.0,PG-13,MattReeves,"PeterChernin,DylanClark,RickJaffa,AmandaSilver",7-11-2014,208500000.0,7.6,432094,movie,Dawn of the Planet of the Apes,0,2014,130,"Action,Adventure,Drama"
8,The Amazing Spider-Man 2,Andrew Garfield,34.741,Emma Stone,40.711,Jamie Foxx,20.417,Dane DeHaan,12.855,Colm Feore,6.38,8,708982323,202853933,28.6,506128390,71.4,51.0,64.0,PG-13,MarcWebb,"AviArad,MatthewTolmach",5-2-2014,202800000.0,6.6,479664,movie,The Amazing Spider-Man 2,0,2014,142,"Action,Adventure,Sci-Fi"
9,Interstellar,Matthew McConaughey,20.491,Anne Hathaway,36.931,Jessica Chastain,17.001,Ellen Burstyn,4.285,John Lithgow,17.218,9,677896797,188020017,27.7,489876780,72.3,72.0,86.0,PG-13,ChristopherNolan,"EmmaThomas,ChristopherNolan,LyndaObst",11-7-2014,188000000.0,8.7,1713462,movie,Interstellar,0,2014,169,"Adventure,Drama,Sci-Fi"
10,Big Hero 6,Scott Adsit,8.355,Ryan Potter,9.305,Daniel Henney,8.399,T. J. Miller,14.522,Jamie Chung,18.572,10,657827828,222527828,33.8,435300000,66.2,90.0,91.0,PG,"DonHall,ChrisWilliams",RoyConli,11-7-2014,222500000.0,7.8,445202,movie,Big Hero 6,0,2014,102,"Action,Adventure,Animation"
11,How to Train Your Dragon 2,Jay Baruchel,19.385,Cate Blanchett,18.898,Gerard Butler,18.085,Craig Ferguson,9.923,America Ferrera,10.634,11,621537519,177002924,28.5,444534595,71.5,91.0,89.0,PG,"DeanDeBlois,TomOwens",BonnieArnold,6-13-2014,177000000.0,7.8,325701,movie,How to Train Your Dragon 2,0,2014,102,"Action,Adventure,Animation"
12,American Sniper,Bradley Cooper,38.912,Sienna Miller,17.392,Kyle Gallner,13.283,Cole Konis,2.112,Ben Reed,5.215,12,547426372,350126372,64,197300000,36,72.0,84.0,R,ClintEastwood,"ClintEastwood,RobertLorenz,AndrewLazar,BradleyCooper,PeterMorgan",1-16-2015,350100000.0,7.3,471941,movie,American Sniper,0,2014,133,"Action,Biography,Drama"
13,Godzilla,Alexander Skarsgård,19.231,Millie Bobby Brown,16.633,Rebecca Hall,27.441,Brian Tyree Henry,9.253,Shun Oguri,11.892,13,524976069,200676069,38.2,324300000,61.8,76.0,66.0,PG-13,GarethEdwards,"ThomasTull,JonJashni,MaryParent,BrianRogers",5-16-2014,200700000.0,6.4,405899,movie,Godzilla,0,2014,123,"Action,Adventure,Sci-Fi"
14,Rio 2,Jesse Eisenberg,30.679,Anne Hathaway,36.931,Leslie Mann,28.052,Jamie Foxx,20.417,Andy García,25.364,14,498781117,131538435,26.4,367242682,73.6,48.0,58.0,G,CarlosSaldanha,"JohnC.Donkin,BruceAnderson",4-11-2014,,6.3,88034,movie,Rio 2,0,2014,101,"Adventure,Animation,Comedy"
15,Teenage Mutant Ninja Turtles,Megan Fox,14.329,Will Arnett,16.336,William Fichtner,20.966,Johnny Knoxville,19.66,Pete Ploszek,4.783,15,485004754,191204754,39.4,293800000,60.6,21.0,50.0,PG-13,JonathanLiebesman,"MichaelBay,AndrewForm,BradFuller,GalenWalker,ScottMednick,IanBryce",8-8-2014,191200000.0,5.8,208474,movie,Teenage Mutant Ninja Turtles,0,2014,101,"Action,Adventure,Comedy"
16,The Lego Movie,Chris Pratt,27.826,Will Ferrell,13.839,Elizabeth Banks,14.855,Will Arnett,16.336,Nick Offerman,19.398,16,468060692,257760692,55.1,210300000,44.9,90.0,80.0,PG,ChrisMcKay,"DanLin,PhilLord,ChrisMiller,RoyLee",2-10-2017,175700000.0,7.7,344227,movie,The Lego Movie,0,2014,100,"Action,Adventure,Animation"
17,Lucy,Scarlett Johansson,38.188,Morgan Freeman,23.816,Choi Min-sik,10.174,Amr Waked,6.286,Julian Rhind-Tutt,5.547,17,458863600,126663600,27.6,332200000,72.4,67.0,47.0,R,LucBesson,VirginieSilla,7-25-2014,126500000.0,6.4,481483,movie,Lucy,0,2014,89,"Action,Sci-Fi,Thriller"
18,Penguins of Madagascar,Tom McGrath,6.157,Chris Miller,2.986,Christopher Knights,5.972,Conrad Vernon,7.437,John Malkovich,14.631,18,373515621,83850911,22.4,289664710,77.6,74.0,63.0,PG,"EricDarnell,SimonJ.Smith","LaraBreay,MarkSwift",11-26-2014,83300000.0,6.7,88127,movie,Penguins of Madagascar,0,2014,92,"Adventure,Animation,Comedy"
19,Edge of Tomorrow,Tom Cruise,34.075,Emily Blunt,22.529,Brendan Gleeson,28.448,Bill Paxton,13.234,Jonas Armstrong,4.294,19,370541256,100206256,27,270335000,73,,,,"GeorgeCoogan,JackieCoogan","GeorgeCoogan,EgonC.Nielsen,TageNielsen",,,7.9,652380,movie,Edge of Tomorrow,0,2014,113,"Action,Adventure,Sci-Fi"
20,Gone Girl,Ben Affleck,23.439,Rosamund Pike,27.568,Neil Patrick Harris,15.944,Tyler Perry,7.41,Carrie Coon,22.733,20,369330363,167767189,45.4,201563174,54.6,87.0,87.0,R,DavidFincher,"CeánChaffin,ArnonMilchan,JoshuaDonen,ReeseWitherspoon",10-3-2014,167800000.0,8.1,945044,movie,Gone Girl,0,2014,149,"Drama,Mystery,Thriller"
21,Night at the Museum: Secret of the Tomb,Ben Stiller,11.792,Robin Williams,15.485,Owen Wilson,46.143,Steve Coogan,8.401,Ricky Gervais,9.338,21,363204635,113746621,31.3,249458014,68.7,47.0,57.0,PG,ShawnLevy,"ShawnLevy,ChrisColumbus",12-19-2014,113600000.0,6.2,118557,movie,Night at the Museum: Secret of the Tomb,0,2014,98,"Adventure,Comedy,Family"
22,Noah,Russell Crowe,20.111,Jennifer Connelly,52.556,Emma Watson,69.598,Logan Lerman,18.47,Anthony Hopkins,20.548,22,359200044,101200044,28.2,258000000,71.8,,,,,,,,5.8,252302,movie,Noah,0,2014,138,"Action,Adventure,Drama"
23,The Maze Runner,Dylan O'Brien,14.5,Kaya Scodelario,44.822,Ki Hong Lee,14.637,Aml Ameen,7.589,Blake Cooper,4.123,23,348319861,102427862,29.4,245891999,70.6,65.0,68.0,PG-13,WesBall,"EllenGoldsmith-Vein,WyckGodfrey,MartyBowen,LeeStollman",9-19-2014,81300000.0,6.8,451250,movie,The Maze Runner,0,2014,113,"Action,Mystery,Sci-Fi"
24,300: Rise of an Empire,Sullivan Stapleton,12.573,Eva Green,19.007,Lena Headey,28.319,Callan Mulvey,16.661,David Wenham,13.097,24,337580051,106580051,31.6,231000000,68.4,45.0,51.0,R,NoamMurro,"GianniNunnari,MarkCanton,ZackSnyder,DeborahSnyder,BernieGoldmann",3-7-2014,106600000.0,6.2,296244,movie,300: Rise of an Empire,0,2014,102,"Action,Drama"
25,22 Jump Street,Jonah Hill,14.14,Channing Tatum,22.942,Peter Stormare,15.393,Wyatt Russell,13.14,Amber Stevens West,10.236,25,331333876,191719337,57.9,139614539,42.1,84.0,77.0,R,"PhilLord,ChrisMiller","NealH.Moritz,JonahHill,ChanningTatum",6-13-2014,191700000.0,7.0,367953,movie,22 Jump Street,0,2014,112,"Action,Comedy,Crime"
26,The Fault in Our Stars,Shailene Woodley,25.831,Ansel Elgort,20.545,Nat Wolff,11.21,Laura Dern,14.988,Sam Trammell,9.045,26,307166834,124872350,40.7,182294484,59.3,81.0,85.0,PG-13,JoshBoone,"WyckGodfrey,MartyBowen",6-6-2014,124900000.0,7.7,367299,movie,The Fault in Our Stars,0,2014,126,"Drama,Romance"
27,Divergent,Shailene Woodley,25.831,Theo James,20.465,Ashley Judd,14.057,Jai Courtney,10.934,Ray Stevenson,6.964,27,288885818,150947895,52.3,137937923,47.7,41.0,69.0,PG-13,NeilBurger,"DouglasWick,LucyFisher,PouyaShahbazian",3-21-2014,150800000.0,6.7,449760,movie,Divergent,0,2014,139,"Action,Adventure,Mystery"
28,Paddington,Ben Whishaw,16.436,Hugh Bonneville,11.481,Sally Hawkins,19.115,Samuel Joslin,4.253,Madeleine Harris,1.525,28,282370135,76271832,27,206098303,73,97.0,80.0,PG,PaulKing,DavidHeyman,1-16-2015,,7.3,110614,movie,Paddington,0,2014,95,"Adventure,Comedy,Family"
