,Movie,Unnamed: 0,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
17,Jungle Cruise,17,Dwayne Johnson,29.99,Emily Blunt,22.529,Edgar Ramírez,6.615,Jack Whitehall,14.041,Jesse Plemons,32.283,220889446,116987516,53,103901930,47,62.0,92.0,PG-13,JaumeCollet-Serra,"JohnDavis,JohnFox,BeauFlynn,DwayneJohnson,DanyGarcia,HiramGarcia",7-30-2021,117000000.0,6.6,173683,movie,Jungle Cruise,0,2021,127,"Action,Adventure,Comedy"
18,Raging Fire,18,Donnie Yen,16.207,Nicholas Tse,12.697,Qin Lan,17.462,Ray Lui,6.423,Patrick Tam,2.793,205846481,385305,0.2,205461176,99.8,91.0,100.0,,BennyChanChi-Shun,"BennyChanChi-Shun,DonnieYen",8-13-2021,368.3K,6.6,3610,movie,Nou fo,0,2021,126,"Action,Adventure,Crime"
19,The Conjuring: The Devil Made Me Do It,19,Patrick Wilson,31.977,Vera Farmiga,28.396,Ruairi O'Connor,13.124,Sarah Catherine Hook,2.759,Julian Hilliard,7.33,202031050,65631050,32.5,136400000,67.5,56.0,83.0,R,MichaelChaves,"JamesWan,PeterSafran",6-4-2021,65599999.99999999,6.3,104830,movie,The Conjuring: The Devil Made Me Do It,0,2021,112,"Horror,Mystery,Thriller"
20,Ghostbusters: Afterlife,20,Carrie Coon,22.733,Finn Wolfhard,23.885,Mckenna Grace,62.368,Paul Rudd,34.254,Logan Kim,7.965,197360575,129360575,65.5,68000000,34.5,63.0,94.0,PG-13,JasonReitman,IvanReitman,11-19-2021,128800000.00000001,7.2,136098,movie,Ghostbusters: Afterlife,0,2021,124,"Adventure,Comedy,Fantasy"
21,Chinese Doctors,21,Zhang Hanyu,8.378,Oho Ou,10.438,Quan Yuan,2.816,Yawen Zhu,4.605,Jackson Yee,10.104,197143218,-,-,197143218,100,,,,AndrewLauWai-Keung,DongYu,7-30-2021,,4.6,423,movie,Zhong guo yi sheng,0,2021,129,Drama
22,Cliff Walkers,22,Zhang Yi,14.343,Yu Hewei,4.525,Liu Haocun,4.784,Qin Hailu,6.719,Ni Dahong,5.372,181325565,152972,<0.1,181172593,99.9,79.0,77.0,,YimouZhang,,4-30-2021,,6.6,1891,movie,Xuan ya zhi shang,0,2021,120,"Crime,Drama,Thriller"
23,The Suicide Squad,23,Margot Robbie,29.861,Idris Elba,26.498,John Cena,15.948,Joel Kinnaman,24.116,Sylvester Stallone,32.593,167417425,55817425,33.3,111600000,66.7,90.0,82.0,R,JamesGunn,"PeterSafran,CharlesRoven",8-6-2021,55800000.0,7.2,319008,movie,The Suicide Squad,0,2021,132,"Action,Adventure,Comedy"
24,Space Jam: A New Legacy,24,LeBron James,6.092,Don Cheadle,12.494,Cedric Joe,9.124,Jeff Bergman,4.878,Gabriel Iglesias,12.75,162892228,70592228,43.3,92300000,56.7,26.0,79.0,PG,MalcolmD.Lee,"RyanCoogler,LeBronJames,MaverickCarter,DuncanHenderson",7-16-2021,70500000.0,4.4,66885,movie,Space Jam: A New Legacy,0,2021,115,"Adventure,Animation,Comedy"
25,House of Gucci,25,Lady Gaga,9.863,Adam Driver,18.735,Jared Leto,70.2,Jeremy Irons,13.292,Al Pacino,39.737,156987388,53809574,34.3,103177814,65.7,63.0,83.0,R,RidleyScott,"RidleyScott,GianninaFacio,KevinJ.Walsh,MarkHuffam",11-24-2021,53800000.0,6.7,95090,movie,House of Gucci,0,2021,158,"Crime,Drama"
26,The Matrix Resurrections,26,Keanu Reeves,59.33,Carrie-Anne Moss,18.242,Yahya Abdul-Mateen II,11.716,Jessica Henwick,34.038,Jonathan Groff,10.632,156575035,37686805,24.1,118888230,75.9,63.0,64.0,R,LanaWachowski,"JamesMcTeigue,LanaWachowski,GrantHill",12-22-2021,37700000.0,5.7,213658,movie,The Matrix Resurrections,0,2021,148,"Action,Sci-Fi"
27,Peter Rabbit 2: The Runaway,27,James Corden,9.839,Rose Byrne,25.865,Domhnall Gleeson,17.251,David Oyelowo,6.407,Margot Robbie,29.861,153901717,40501717,26.3,113400000,73.7,66.0,89.0,PG,WillGluck,"WillGluck,ZarehNalbandian,CatherineBishop,JodiHildebrand",6-10-2021,40400000.0,6.2,10264,movie,Peter Rabbit 2: The Runaway,0,2021,93,"Adventure,Animation,Comedy"
28,A Writer's Odyssey,28,Lei Jiayin,7.108,Yang Mi,16.341,Dong Zijian,6.783,Yu Hewei,4.525,Tong Liya,7.164,150123320,160013,0.1,149963307,99.9,93.0,77.0,,YangLu,,2-12-2021,,6.2,2427,movie,Ci sha xiao shuo jia,0,2021,130,"Action,Adventure,Fantasy"
29,The Boss Baby 2: Family Business,29,Alec Baldwin,17.182,James Marsden,19.282,Amy Sedaris,15.668,Jeff Goldblum,13.337,Eva Longoria,13.89,146745280,57300280,39,89445000,61,,,,,,,,5.9,15992,movie,The Boss Baby: Family Business,0,2021,107,"Adventure,Animation,Comedy"
30,PAW Patrol: The Movie,30,Iain Armitage,11.393,Lilly Bartlam,3.958,Will Brisbin,0.98,Ron Pardo,6.857,Marsai Martin,11.289,144327371,40127371,27.8,104200000,72.2,80.0,97.0,G,CalBrunker,JenniferDodge,8-20-2021,40000000.0,6.2,5533,movie,PAW Patrol: The Movie,0,2021,86,"Action,Adventure,Animation"
31,Tom & Jerry: The Movie,31,Richard Kind,11.545,Dana Hill,8.714,Anndi McAfee,6.441,Rip Taylor,4.487,Henry Gibson,9.997,133336687,46536687,34.9,86800000,65.1,14.0,40.0,G,MichaelWinner,MichaelWinner,4-14-1992,2700000.0,5.3,33209,movie,Tom & Jerry,0,2021,101,"Adventure,Animation,Comedy"
32,Jujutsu Kaisen 0: The Movie,32,Megumi Ogata,7.683,Kana Hanazawa,16.36,Mikako Komatsu,5.869,Koki Uchiyama,17.522,Tomokazu Seki,12.709,132854533,17698677,13.3,115155856,86.7,98.0,98.0,PG-13,",SunghooPark",",HiroakiMatsutani,MasayaSaito,YuriMurai,MakotoKimura,TatsuyaŌmori,ToshihiroMaeda",3-18-2022,,8.1,5421,movie,Gekijouban Jujutsu Kaisen 0,0,2021,105,"Action,Animation,Fantasy"
33,Be Somebody,33,Matthew Espinosa,1.214,Sarah Jeffery,11.532,Allison Paige,7.041,Caitlin Keats,3.039,LaMonica Garrett,8.686,132326332,-,-,132326332,100,,47.0,PG,JoshuaCaldwell,GaryBinkow,6-10-2016,,7.0,555,movie,Yang ming li wan,0,2021,123,"Comedy,Drama,Mystery"
34,Halloween Kills,34,Jamie Lee Curtis,15.757,Judy Greer,23.295,Andi Matichak,8.847,James Jude Courtney,4.232,Nick Castle,7.416,131647155,92002155,69.9,39645000,30.1,40.0,66.0,R,DavidGordonGreen,"MalekAkkad,JasonBlum,BillBlock",10-15-2021,92000000.0,5.6,69473,movie,Halloween Kills,0,2021,105,"Horror,Thriller"
35,Raya and the Last Dragon,35,Kelly Marie Tran,5.705,Awkwafina,44.339,Izaac Wang,5.476,Gemma Chan,24.587,Daniel Dae Kim,11.747,130423032,54723032,42,75700000,58,93.0,97.0,PG,"DonHall,CarlosLópezEstrada","OsnatShurer,PeterDelVecho",3-5-2021,54700000.0,7.3,139950,movie,Raya and the Last Dragon,0,2021,107,"Action,Adventure,Animation"
36,Sister,36,Whoopi Goldberg,8.711,Maggie Smith,17.595,Kathy Najimy,8.357,Wendy Makkena,6.803,Mary Wickes,6.415,128317206,-,-,128317206,100,,,,YaminaBenguigui,PhilippeDupuis-Mendel,10-29-2021,,6.6,362,movie,Wo de jie jie,0,2021,127,Drama
37,Sister,37,Whoopi Goldberg,8.711,Maggie Smith,17.595,Kathy Najimy,8.357,Wendy Makkena,6.803,Mary Wickes,6.415,128317206,-,-,128317206,100,,,,YaminaBenguigui,PhilippeDupuis-Mendel,10-29-2021,,8.3,11,movie,Sister,0,2021,69,Horror
38,The King's Man,38,Ralph Fiennes,32.618,Harris Dickinson,16.789,Gemma Arterton,23.064,Rhys Ifans,55.189,Djimon Hounsou,35.554,125928656,37176373,29.5,88752283,70.5,41.0,80.0,R,MatthewVaughn,"MatthewVaughn,DavidReid,AdamBohling",12-22-2021,37200000.0,6.3,107357,movie,The King's Man,0,2021,131,"Action,Adventure,Thriller"
39,The Addams Family 2,39,Oscar Isaac,60.716,Charlize Theron,40.523,Javon Walton,7.591,Chloë Grace Moretz,56.69,Nick Kroll,14.161,119815153,56489153,47.1,63326000,52.9,28.0,69.0,PG,"GregTiernan,ConradVernon","GailBerman,ConradVernon,DanielleSterling,AlisonO'Brien",10-1-2021,56500000.0,5.4,9713,movie,The Addams Family 2,0,2021,93,"Adventure,Animation,Comedy"
