,Movie,Unnamed: 0,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,The Batman,0,Robert Pattinson,26.955,Zoë Kravitz,64.126,Paul Dano,51.328,Jeffrey Wright,26.649,John Turturro,28.071,603263177,302863177,50.2,300400000,49.8,85.0,87.0,PG-13,MattReeves,"DylanClark,MattReeves",3-4-2022,365000000.0,8.3,308489,movie,The Batman,0,2022,176,"Action,Crime,Drama"
1,Water Gate Bridge,1,Wu Jing,19.876,Jackson Yee,10.104,Hu Jun,6.962,Zhang Hanyu,8.378,Yawen Zhu,4.605,480203271,117294,<0.1,480085977,100,,,,,,,,4.9,311,movie,Water Gate Bridge,0,2022,153,"Action,Drama,History"
2,Uncharted,2,Tom Holland,128.32,Mark Wahlberg,49.465,Antonio Banderas,18.301,Sophia Ali,13.216,Tati Gabrielle,12.431,337762979,126362979,37.4,211400000,62.6,40.0,90.0,PG-13,RubenFleischer,"CharlesRoven,AviArad,AlexGartner,AriArad",2-18-2022,145000000.0,6.7,60587,movie,Uncharted,0,2022,116,"Action,Adventure"
3,Too Cool to Kill,3,Ma Li,1.565,Wei Xiang,1.015,Allen Ai Lun,5.557,Chen Minghao,1.703,Cailun Huang,1.996,217255728,185882,<0.1,217069846,99.9,,100.0,,,,2-18-2022,185.9K,6.1,226,movie,Zhe ge sha shou bu tai leng jing,0,2022,109,Comedy
4,Scream,4,Neve Campbell,18.195,Courteney Cox,28.453,David Arquette,8.58,Melissa Barrera,12.769,Jenna Ortega,88.674,139813281,81413281,58.2,58400000,41.8,76.0,81.0,R,"MattBettinelli-Olpin,TylerGillett","WilliamSherak,JamesVanderbilt,PaulNeinstein",1-14-2022,81600000.0,6.5,78085,movie,Scream,0,2022,114,"Horror,Mystery,Thriller"
5,Death on the Nile,5,Kenneth Branagh,42.401,Gal Gadot,38.496,Armie Hammer,23.554,Emma Mackey,36.057,Tom Bateman,15.921,131096416,43696919,33.3,87399497,66.7,63.0,82.0,PG-13,KennethBranagh,"RidleyScott,KevinJ.Walsh,KennethBranagh,JudyHofflund",2-11-2022,45600000.0,6.4,57559,movie,Death on the Nile,0,2022,127,"Crime,Drama,Mystery"
6,Jackass Forever,6,Johnny Knoxville,19.66,Steve-O,8.298,Chris Pontius,9.584,Dave England,6.7,Jason Acuña,4.481,78026022,57326022,73.5,20700000,26.5,86.0,91.0,R,JeffTremaine,"JeffTremaine,SpikeJonze,JohnnyKnoxville",2-4-2022,57700000.0,7.1,24649,movie,Jackass Forever,0,2022,96,"Action,Comedy,Documentary"
7,Dog,7,Channing Tatum,22.942,Jane Adams,7.412,Kevin Nash,10.815,Ethan Suplee,17.999,Bill Burr,8.726,64425030,54484581,84.6,9940449,15.4,76.0,89.0,PG-13,"ReidCarolin,ChanningTatum","GregoryJacobs,PeterKiernan,,ChanningTatum",2-18-2022,61500000.0,6.5,13801,movie,Dog,0,2022,101,Comedy
8,Marry Me,8,Jennifer Lopez,10.12,Owen Wilson,46.143,Maluma,2.827,John Bradley,10.983,Sarah Silverman,9.285,49050410,22351410,45.6,26699000,54.4,60.0,92.0,PG-13,KatCoiro,"ElaineGoldsmith-Thomas,JenniferLopez,JohnRogers,BennyMedina",2-11-2022,22400000.0,6.1,19232,movie,Marry Me,0,2022,112,"Comedy,Music,Romance"
9,Moonfall,9,Halle Berry,21.448,Patrick Wilson,31.977,John Bradley,10.983,Charlie Plummer,10.489,Yu Wenwen,4.063,39146894,19060660,48.7,20086234,51.3,38.0,70.0,PG-13,RolandEmmerich,"HaraldKloser,RolandEmmerich",2-4-2022,19000000.0,5.2,26296,movie,Moonfall,0,2022,130,"Action,Adventure,Sci-Fi"
10,BTS Permission to Dance on Stage - Seoul: Live Viewing,10,Kim Nam-joon,7.077,Kim Seok-jin,11.446,Min Yoon-gi,3.002,Jung Ho-seok,6.655,Park Ji-min,4.497,32600000,6840000,21,25760000,79,,,,UnknownDirector,,3-12-2022,,5.4,97,movie,BTS Permission to Dance on Stage - Seoul: Live Viewing,0,2022,195,Music
11,The 355,11,Jessica Chastain,17.001,Lupita Nyong'o,14.456,Penélope Cruz,23.261,Diane Kruger,21.536,Fan Bingbing,19.144,27401205,14570455,53.2,12830750,46.8,24.0,86.0,PG-13,SimonKinberg,"KellyCarmichael,JessicaChastain,SimonKinberg",1-7-2022,14600000.0,5.3,19441,movie,The 355,0,2022,122,"Action,Thriller"
12,The Kashmir Files,12,Mithun Chakraborty,6.02,Anupam Kher,4.827,Darshan Kumaar,0.694,Pallavi Joshi,0.6,Chinmay Mandlekar,3.238,24242170,1485000,6.1,22757170,93.9,,95.0,,VivekAgnihotri,"TejNarayanAgarwal,AbhishekAgarwal,PallaviJoshi,VivekAgnihotri",3-11-2022,,8.3,539838,movie,The Kashmir Files,0,2022,170,"Drama,History,Thriller"
