movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Winnie the Pooh,51162,False,30000000,25.09,14460000,63
Arthur,49012,False,40000000,32.207,48147945,110
Soul Surfer,43959,False,18000000,70.505,47088990,112
The Debt,513691,False,3000000,31.849,28645,96
Beastly,38117,False,17000000,16.386,43202283,86
Detective Conan: Quarter of Silence,77617,False,0,12.768,0,109
Shaolin,36934,False,0,11.588,0,106
Born to Be Wild,50081,False,0,4.28,7732325,40
Shark Night,65055,False,28000000,19.711,10126458,91
50/50,40807,False,8000000,33.66,39187783,100
Fright Night,11797,False,9000000,19.718,24922237,106
Drive Angry,47327,False,50000000,40.895,28931401,105
30 Minutes or Less,62206,False,28000000,59.899,40547440,83
Gantz,56832,False,0,40.465,0,130
The Roommate,49950,False,16000000,14.249,52545707,91
SP: The Motion Picture II,364989,False,0,0.689,0,128
Dream House,69668,False,50000000,15.199,38502340,84
Monte Carlo,59860,False,20000000,45.901,39782683,109
Eiga Kaibutsukun,219896,False,0,1.8,0,103
Mars Needs Moms,50321,False,150000000,36.178,38992758,88
The Crown Jewels,743045,False,0,0.6,0,0
Don't Be Afraid of the Dark,46261,False,25000000,29.924,36993168,99
Jumping the Broom,57119,False,6600000,11.984,37710610,112
One for the Money,54054,False,40000000,13.127,36893721,91
The Eagle,49494,False,25000000,18.161,27122040,114
A Very Harold & Kumar Christmas,55465,False,19000000,38.89,36192775,108
Ra.One,41517,False,0,10.26,0,156
Courageous,72213,False,1000000,80.833,34522221,129
My Week with Marilyn,75900,False,6400000,16.901,35057696,99
The Sitter,57431,False,25000000,17.095,34942188,81
Jane Eyre,38684,False,0,18.821,34710627,120
The Skin I Live In,63311,False,13000000,41.344,33750478,120
Gantz: Perfect Answer,74135,False,0,34.458,0,141
Punch,23629,False,82000000,104.848,89792502,110
Detective K: Secret of Virtuous Widow,64931,False,0,9.037,32358664,115
Bodyguard,390043,False,30000000,99.897,176586701,118
The Thing,1091,False,15000000,49.856,19629760,109
I Don't Know How She Does It,70868,False,24000000,25.415,31410151,89
"All's Well, Ends Well 2011",54549,False,0,4.536,0,93
Vysotsky. Thank You for Being Alive,,,,,,
Silenced,261810,False,0,2.035,0,95
African Cats,57586,False,5000000,10.423,30857747,89
Carnage,580489,False,110000000,1378.22,500000000,97
A Dangerous Method,48231,False,15000000,19.31,27462041,99
What's Your Number?,63492,False,20000000,18.446,30426096,106
Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,137227,False,0,57.215,0,108
Eternal Moment,353242,False,0,0.6,0,1
The Rum Diary,23514,False,45000000,13.731,24000000,120
My Own Swordsman,62331,False,0,2.458,0,97
You Are the Apple of My Eye,527280,False,0,30.862,0,114
Torrente 4,59117,False,0,14.192,0,93
The Sorcerer and the White Snake,75948,False,0,91.481,0,100
Unfair: The Answer,104797,False,0,1.4,0,109
Dragon,839436,False,0,332.595,0,88
Yolki 2,85317,False,0,4.565,0,106
Your Highness,38319,False,49900000,14.04,28013733,102
Love Strikes!,860262,False,0,4.831,0,84
The Women on the 6th Floor,57243,False,0,7.874,0,106
Letters to Santa,27190,False,5000000,9.128,0,55
A Monster in Paris,77459,False,25000000,48.835,26611650,90
Ivan Tsarevich & the Grey Wolf,83865,False,0,3.873,0,75
Apollo 18,50357,False,5000000,15.887,25562924,86
Our Idiot Brother,59968,False,5000000,11.815,24816118,90
Eyyvah Eyvah 2,53325,False,0,4.024,0,109
Ready,333339,False,175000000,152.625,582890172,140
In His Chart,91990,False,0,1.035,0,128
Warrior,59440,False,25000000,96.281,23308615,140
Hoodwinked 2: Hood vs. Evil,,,,,,
Young Adult,57157,False,12000000,28.586,22939027,94
Andalucia: Revenge of the Goddess,81983,False,0,0.907,0,125
A Separation,506815,False,0,14.768,0,106
Qualunquemente,56339,False,0,7.271,0,96
Friends: Naki on the Monster Island,180272,False,1490000,7.139,378187,87
Kamen Rider OOO Wonderful: The Shogun and the 21 Core Medals,137261,False,0,3.961,0,65
