movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Crazy Rich Asians,455207,tt3104988,Constance Wu,6.272,Henry Golding,8.632,Michelle Yeoh,55.862,Gemma Chan,24.587,Lisa Lu,4.446
Creed II,480530,tt6343314,Michael B. Jordan,17.315,Sylvester Stallone,32.593,Dolph Lundgren,16.016,Florian Munteanu,9.786,Tessa Thompson,9.288
Smallfoot,446894,tt6182908,Channing Tatum,22.942,James Corden,9.839,Zendaya,47.236,Common,10.41,LeBron James,6.092
Us and Them,438466,tt3592750,Jack Roth,9.682,Tim Bentinck,2.262,Sophie Colquhoun,6.082,Carolyn Backhouse,1.426,Andrew Tiernan,10.493
The Island,1635,tt0399201,Ewan McGregor,15.899,Scarlett Johansson,38.188,Djimon Hounsou,35.554,Sean Bean,24.223,Steve Buscemi,24.572
Christopher Robin,420814,tt4575576,Ewan McGregor,15.899,Hayley Atwell,23.388,Bronte Carmichael,6.446,Jim Cummings,11.037,Brad Garrett,12.527
The Equalizer 2,345887,tt3766354,Denzel Washington,33.586,Pedro Pascal,27.815,Ashton Sanders,10.163,Bill Pullman,31.646,Melissa Leo,8.257
Project Gutenberg,531384,tt7183578,Chow Yun-Fat,13.342,Aaron Kwok,11.474,Zhang Jingchu,10.233,Feng Wenjuan,7.195,Liu Kai-Chi,8.185
The Mule,504172,tt7959026,Clint Eastwood,39.921,Bradley Cooper,38.912,Laurence Fishburne,30.531,Michael Peña,22.593,Dianne Wiest,11.509
The Nutcracker and the Four Realms,426543,tt5523010,Keira Knightley,19.96,Mackenzie Foy,11.474,Morgan Freeman,23.816,Helen Mirren,17.793,Eugenio Derbez,11.748
Insidious: The Last Key,406563,tt5726086,Lin Shaye,13.745,Angus Sampson,18.463,Leigh Whannell,8.22,Josh Stewart,18.404,Caitlin Gerard,9.505
The Predator,346910,tt3829266,Boyd Holbrook,15.462,Trevante Rhodes,7.483,Sterling K. Brown,6.462,Jacob Tremblay,12.784,Keegan-Michael Key,5.226
Johnny English Strikes Again,463272,tt6921996,Rowan Atkinson,11.375,Emma Thompson,24.804,Olga Kurylenko,20.966,Ben Miller,15.768,Adam Greaves-Neal,7.427
Red Sparrow,401981,tt2873282,Jennifer Lawrence,26.491,Joel Edgerton,9.409,Matthias Schoenaerts,13.053,Charlotte Rampling,13.161,Jeremy Irons,13.292
More Than Blue,667709,tt16306388,Yassi Pressman,2.911,JC Santos,1.505,Diego Loyzaga,3.035,Ariella Arida,0.68,Marion Aunor,0.694
The First Purge,442249,tt6133466,Marisa Tomei,23.257,Patch Darragh,4.147,Kristen Solis,2.302,Y'lan Noel,4.602,Christian Robinson,1.192
How Long Will I Love U,522921,tt8404272,Lei Jiayin,7.108,Tong Liya,7.164,Wang Zhengjia,1.341,Fan Ming,0.6,Xu Zheng,4.063
A Wrinkle in Time,407451,tt1620680,Storm Reid,21.723,Oprah Winfrey,6.117,Reese Witherspoon,14.224,Mindy Kaling,12.015,Levi Miller,15.778
The House with a Clock in Its Walls,463821,tt2119543,Jack Black,23.771,Cate Blanchett,18.898,Owen Vaccaro,4.672,Kyle MacLachlan,18.036,Renée Elise Goldsberry,7.312
Instant Family,491418,tt7401588,Mark Wahlberg,49.465,Rose Byrne,25.865,Allyn Rachel,4.077,Isabela Merced,17.013,Julie Hagerty,15.343
A Cool Fish,554205,tt9282616,Chen Jianbin,5.085,Ren Suxi,4.32,Zhang Yu,3.994,Wang Yanhui,1.528,Kong Jiu,1.4
Game Night,445571,tt2704998,Jason Bateman,15.545,Rachel McAdams,23.696,Kyle Chandler,14.533,Billy Magnussen,15.567,Sharon Horgan,6.846
Dragon Ball Super: Broly,503314,tt7961060,Masako Nozawa,10.188,Aya Hisakawa,3.161,Ryou Horikawa,6.233,Toshio Furukawa,6.136,Takeshi Kusao,4.259
The Monkey King 3,437543,tt6466464,Aaron Kwok,11.474,William Feng,5.793,Zhao Liying,12.27,Xiao Shenyang,2.725,Him Law,4.935
First Man,369972,tt1213641,Ryan Gosling,12.098,Claire Foy,18.97,Jason Clarke,23.125,Kyle Chandler,14.533,Corey Stoll,14.996
Book Club,502682,tt6857166,Diane Keaton,14.502,Jane Fonda,10.216,Candice Bergen,13.121,Mary Steenburgen,20.621,Craig T. Nelson,11.53
Night School,454293,tt6781982,Kevin Hart,14.271,Tiffany Haddish,8.655,Rob Riggle,11.964,Romany Malco,5.271,Taran Killam,7.275
Detective Conan: Zero the Enforcer,493006,tt7880466,Minami Takayama,10.806,Kappei Yamaguchi,11.26,Wakana Yamazaki,3.604,Rikiya Koyama,7.883,Toru Furuya,8.792
Alpha,399360,tt4244998,Kodi Smit-McPhee,10.866,Jóhannes Haukur Jóhannesson,10.534,Marcin Kowalczyk,3.556,Jens Hultén,6.883,Natassia Malthe,9.394
Along With the Gods: The Last 49 Days,518068,tt8116428,Ha Jung-woo,9.169,Ju Ji-hoon,9.937,Kim Hyang-gi,7.891,Ma Dong-seok,18.473,Kim Dong-wook,5.066
A Simple Favor,484247,tt7040874,Anna Kendrick,18.19,Blake Lively,12.53,Henry Golding,8.632,Rupert Friend,21.396,Linda Cardellini,17.794
Boonie Bears: The Big Shrink,529426,tt8028526,Tan Xiao,1.4,张伟,1.025,Bingjun Zhang,1.019,,,,
The Favourite,375262,tt5083738,Olivia Colman,12.297,Emma Stone,40.711,Rachel Weisz,14.704,Nicholas Hoult,25.64,Joe Alwyn,8.095
Truth or Dare,460019,tt6772950,Lucy Hale,24.712,Violett Beane,8.284,Hayden Szeto,6.18,Aurora Perrineau,3.833,Sophia Ali,13.216
Kill Mobile,571432,tt9408490,Tong Dawei,3.997,Ma Li,1.565,Huo Siyan,4.155,Qiao Shan,4.663,Tian Yu,2.58
I Feel Pretty,460668,tt6791096,Amy Schumer,4.137,Michelle Williams,25.373,Tom Hopper,21.707,Rory Scovel,5.085,Adrian Martinez,8.045
Blockers,437557,tt2531344,Leslie Mann,30.416,John Cena,19.584,Ike Barinholtz,18.68,Kathryn Newton,21.375,Geraldine Viswanathan,12.486
BlacKkKlansman,487558,tt7349662,John David Washington,13.072,Adam Driver,22.821,Topher Grace,9.287,Laura Harrier,12.814,Alec Baldwin,18.355
