movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Transformers: Age of Extinction,91314,False,210000000,131.195,1104000000,165
The Hobbit: The Battle of the Five Armies,122917,False,250000000,207.455,956019788,144
Guardians of the Galaxy,283995,False,200000000,120.23,863756051,137
Maleficent,102651,False,180000000,117.279,758539785,97
The Hunger Games: Mockingjay - Part 1,131631,False,125000000,157.103,752100229,123
X-Men: Days of Future Past,127585,False,250000000,101.74,747862775,132
Captain America: The Winter Soldier,100402,False,170000000,81.81,714766572,136
Dawn of the Planet of the Apes,119450,False,170000000,119.775,710644566,130
The Amazing Spider-Man 2,102382,False,200000000,254.029,708962323,142
Interstellar,157336,False,165000000,174.67,701729206,169
Big Hero 6,177572,False,165000000,259.761,657827828,102
How to Train Your Dragon 2,82702,False,145000000,100.568,621537500,102
American Sniper,190859,False,58800000,125.769,542307423,133
Godzilla,399566,False,200000000,409.778,467863133,113
Rio 2,172385,False,103000000,81.539,500188435,101
Teenage Mutant Ninja Turtles,98566,False,125000000,174.86,477200000,101
The Lego Movie,137106,False,60000000,51.161,469160692,100
Lucy,240832,False,40000000,99.088,458863600,89
Penguins of Madagascar,270946,False,132000000,131.386,373552094,92
Edge of Tomorrow,137113,False,178000000,76.451,370541256,113
Gone Girl,210577,False,61000000,53.99,369330363,149
Night at the Museum: Secret of the Tomb,181533,False,127000000,51.337,363204635,98
Noah,86834,False,125000000,132.902,362637473,138
The Maze Runner,198663,False,34000000,278.367,348319861,113
300: Rise of an Empire,53182,False,110000000,79.852,337580051,102
22 Jump Street,187017,False,50000000,88.495,188441614,112
The Fault in Our Stars,222935,False,12000000,68.068,307166834,126
Divergent,157350,False,85000000,82.571,288747895,139
Paddington,116149,False,55000000,45.887,259207227,96
Mr. Peabody & Sherman,82703,False,145000000,46.835,272912430,92
Neighbors,195589,False,18000000,50.065,270665134,97
Exodus: Gods and Kings,147441,False,140000000,252.699,268031828,150
Annabelle,250546,False,6500000,87.647,257047661,99
Hercules,11970,False,85000000,115.764,252712101,93
RoboCop,5548,False,13000000,38.357,53424681,102
The Imitation Game,205596,False,14000000,50.767,233555708,113
Non-Stop,225574,False,50000000,27.046,222809600,106
Dracula Untold,49017,False,70000000,34.839,217124280,92
The Expendables 3,138103,False,90000000,79.987,206172544,126
Into the Woods,224141,False,50000000,18.69,212902372,125
Fury,228150,False,68000000,181.379,211817906,135
