movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Toy Story 3,10193,False,200000000,130.39,1066969703,103
Alice in Wonderland,12092,False,3000000,94.156,572000000,75
Harry Potter and the Deathly Hallows: Part 1,12444,False,250000000,245.631,954305868,146
Inception,27205,False,160000000,164.797,825532764,148
Shrek Forever After,10192,False,165000000,108.5,752600867,93
The Twilight Saga: Eclipse,24021,False,68000000,240.393,698491347,124
Iron Man 2,10138,False,200000000,208.185,623933331,124
Tangled,38757,False,260000000,131.617,592461732,100
Despicable Me,20352,False,69000000,107.417,533679475,95
How to Train Your Dragon,10191,False,165000000,92.284,494878759,98
Clash of the Titans,18823,False,125000000,132.065,493214993,106
The King's Speech,45269,False,15000000,21.559,414211549,118
The Chronicles of Narnia: The Voyage of the Dawn Treader,10140,False,155000000,59.145,415686217,113
TRON: Legacy,20526,False,170000000,97.568,400062763,125
The Karate Kid,38575,False,40000000,160.742,359126022,140
Black Swan,44214,False,13000000,40.941,329398046,108
Megamind,38055,False,130000000,82.355,321885765,96
Robin Hood,20662,False,200000000,86.164,321669741,140
The Last Airbender,10196,False,150000000,158.244,319713881,103
Little Fockers,39451,False,100000000,45.022,310650585,98
Resident Evil: Afterlife,35791,False,60000000,2.688,300228084,97
Shutter Island,11324,False,80000000,79.086,294800000,138
Salt,27576,False,110000000,103.143,293329073,100
Sex and the City 2,37786,False,100000000,64.313,290745055,146
The Tourist,37710,False,100000000,70.469,278731369,103
The Expendables,27578,False,80000000,123.753,274470394,103
Grown Ups,38365,False,80000000,162.104,271430189,102
Knight and Day 2010 Re-release,,,,,,
True Grit,44264,False,38000000,15.455,252276927,110
Gulliver's Travels,38745,False,112000000,40.004,237382724,85
Percy Jackson & the Olympians: The Lightning Thief,32657,False,95000000,205.953,226497209,118
The Social Network,37799,False,40000000,33.409,224920315,121
Valentine's Day,32856,False,52000000,30.253,216485654,125
The Sorcerer's Apprentice,27022,False,150000000,32.89,215283742,109
Due Date,41733,False,65000000,52.685,211780824,95
Eat Pray Love,38167,False,60000000,25.046,204594016,133
Yogi Bear,41515,False,80000000,22.789,203509374,80
RED,508947,False,190000000,6227.746,13428061,100
Paranormal Activity 2,41436,False,3000000,37.439,177512032,91
The A-Team,34544,False,110000000,79.748,177238796,117
Jackass 3D,16290,False,20000000,78.131,117224271,99
The Other Guys,27581,False,100000000,75.945,170432927,107
Unstoppable,44048,False,100000000,35.266,167805466,98
Step Up,9762,False,12000000,48.278,114194847,104
The Book of Eli,20504,False,80000000,40.761,157107755,118
The Town,23168,False,37000000,141.355,154026136,125
Date Night,35056,False,55000000,41.739,152263880,97
The Secret World of Arrietty,51739,False,23000000,43.767,145570827,94
Legend of the Guardians: The Owls of Ga'Hoole,41216,False,80000000,22.641,140073390,97
The Wolfman,7978,False,150000000,37.272,0,102
The Bounty Hunter,27573,False,40000000,17.749,136333522,110
Saw: The Final Chapter,41439,False,20000000,62.294,136151680,90
Wall Street: Money Never Sleeps,33909,False,70000000,15.778,134748021,133
The Adjustment Bureau,38050,False,50200000,26.972,127869379,106
Predators,34851,False,40000000,170.796,127233108,107
A Nightmare on Elm Street,377,False,1800000,44.095,57000000,91
Dear John,22971,False,25000000,20.625,114977104,115
Cats & Dogs: The Revenge of Kitty Galore,39691,False,85000000,33.093,112483764,82
Tooth Fairy,23023,False,48000000,75.778,112462508,101
Sanctum,48340,False,30000000,100.769,108609310,108
Harmony,896221,False,0,280.695,0,30
Hereafter,44603,False,50000000,14.421,106956330,129
Life as We Know It,38408,False,38000000,66.535,105734416,114
Let the Bullets Fly,51533,False,0,8.833,104731450,132
Love & Other Drugs,43347,False,30000000,151.894,102820008,112
Aftershock,123103,False,2000000,17.804,58510,89
Umizaru 3: The Last Message,63500,False,0,0.84,0,129
Killers,37821,False,75000000,39.174,98159963,100
Kick-Ass,23483,False,28000000,75.253,96188903,117
Nanny McPhee Returns,35019,False,25000000,40.558,123276807,109
Get Him to the Greek,32823,False,40000000,16.291,90029656,109
Burlesque,42297,False,55000000,21.699,89519773,119
The Last Song,35690,False,20000000,22.374,89137047,107
Dinner for Schmucks,38778,False,69000000,37.948,86387857,114
Bayside Shakedown 3: Set the Guys Loose,65841,False,0,1.502,72500000,141
Marmaduke,38579,False,50000000,29.054,83761844,87
Piranha 3D,43593,False,24000000,60.238,83188165,88
Oceans,402900,False,70000000,90.147,297718711,111
Blades of Blood 2010 Re-release,,,,,,
Edge of Darkness,12201,False,80000000,12.479,81126522,117
Vampires Suck,40264,False,20000000,24.261,80547866,82
Letters to Juliet,37056,False,30000000,42.299,82148538,105
The Back-up Plan,34806,False,35000000,17.681,77477008,106
Diary of a Wimpy Kid,774741,False,0,476.648,0,58
If You Are the One 2,56540,False,0,2.164,0,120
Easy A,37735,False,8000000,66.417,75026327,93
Hubble,44992,False,0,6.826,0,44
Pokémon: Zoroark: Master of Illusions,50087,False,0,26.271,0,96
A Turtle's Tale: Sammy's Adventures,49953,False,0,15.389,71594792,88
The Last Exorcism,38358,False,1800000,25.701,67738090,87
Takers,22907,False,32000000,25.31,80205382,107
Bestseller,675120,False,0,0.6,0,77
Legion,22894,False,26000000,231.369,67918658,100
The American,27579,False,20000000,37.988,67876281,104
The Next Three Days,43539,False,30000000,58.139,51148651,133
Skyline,42684,False,10000000,109.771,66984887,92
Hot Tub Time Machine,243938,False,36000000,20.006,64780213,93
Elite Squad 2: The Enemy Within,,,,,,
Devil,44040,False,10000000,43.231,33583175,80
127 Hours,44115,False,18000000,34.224,35692920,94
Why Did I Get Married Too?,35688,False,20000000,12.338,60072596,121
The Ghost Writer,11439,False,45000000,15.701,60331447,128
Secretariat,39486,False,35000000,16.606,60321861,123
Morning Glory,38357,False,40000000,15.394,60040976,107
Green Zone 2010 Re-release,,,,,,
Remember Me,23169,False,16000000,22.986,56032889,113
Cop Out,23742,False,30000000,15.958,55583804,107
Veda - Atatürk,38613,False,0,1.749,0,114
The Crazies,29427,False,20000000,29.88,54956140,101
Little White Lies,261602,False,565000,1.4,0,86
From Paris with Love,26389,False,52000000,53.337,52826594,92
Detective Dee: The Mystery of the Phantom Flame,48492,False,13000000,13.91,51723285,119
Conference of Animals,58769,False,0,1.141,0,93
