movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Transformers: Age of Extinction,91314,tt2109248,Mark Wahlberg,49.465,Stanley Tucci,12.603,Nicola Peltz,23.985,Jack Reynor,11.957,Titus Welliver,15.938
The Hobbit: The Battle of the Five Armies,122917,tt2310332,Ian McKellen,15.137,Martin Freeman,18.272,Richard Armitage,16.794,Orlando Bloom,13.4,Evangeline Lilly,22.94
Guardians of the Galaxy,283995,tt3896198,Chris Pratt,27.826,Zoe Saldana,26.317,Dave Bautista,21.582,Vin Diesel,29.696,Bradley Cooper,38.912
Maleficent,102651,tt1587310,Angelina Jolie,13.484,Elle Fanning,19.65,Sharlto Copley,11.098,Lesley Manville,8.994,Juno Temple,15.704
The Hunger Games: Mockingjay - Part 1,131631,tt1951265,Jennifer Lawrence,26.491,Josh Hutcherson,9.872,Liam Hemsworth,10.599,Woody Harrelson,19.341,Elizabeth Banks,14.855
X-Men: Days of Future Past,127585,tt1877832,Hugh Jackman,23.696,James McAvoy,30.715,Michael Fassbender,14.93,Jennifer Lawrence,26.491,Nicholas Hoult,25.64
Captain America: The Winter Soldier,100402,tt1843866,Chris Evans,15.319,Scarlett Johansson,38.188,Sebastian Stan,39.447,Anthony Mackie,17.839,Cobie Smulders,17.517
Dawn of the Planet of the Apes,119450,tt2103281,Andy Serkis,16.501,Jason Clarke,23.125,Gary Oldman,27.283,Keri Russell,11.239,Toby Kebbell,12.326
The Amazing Spider-Man 2,102382,tt1872181,Andrew Garfield,34.741,Emma Stone,40.711,Jamie Foxx,20.417,Dane DeHaan,12.855,Colm Feore,6.38
Interstellar,157336,tt0816692,Matthew McConaughey,20.491,Anne Hathaway,36.931,Jessica Chastain,17.001,Ellen Burstyn,4.285,John Lithgow,17.218
Big Hero 6,177572,tt2245084,Scott Adsit,8.355,Ryan Potter,9.305,Daniel Henney,8.399,T. J. Miller,14.522,Jamie Chung,18.572
How to Train Your Dragon 2,82702,tt1646971,Jay Baruchel,19.385,Cate Blanchett,18.898,Gerard Butler,18.085,Craig Ferguson,9.923,America Ferrera,10.634
American Sniper,190859,tt2179136,Bradley Cooper,38.912,Sienna Miller,17.392,Kyle Gallner,13.283,Cole Konis,2.112,Ben Reed,5.215
Godzilla,399566,tt5034838,Alexander Skarsgård,19.231,Millie Bobby Brown,16.633,Rebecca Hall,27.441,Brian Tyree Henry,9.253,Shun Oguri,11.892
