movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
The Batman,414906,tt1877830,Robert Pattinson,26.955,Zoë Kravitz,64.126,Paul Dano,51.328,Jeffrey Wright,26.649,John Turturro,28.071
Water Gate Bridge,928123,tt16194408,Wu Jing,19.876,Jackson Yee,10.104,Hu Jun,6.962,Zhang Hanyu,8.378,Yawen Zhu,4.605
Uncharted,335787,tt1464335,Tom Holland,128.32,Mark Wahlberg,49.465,Antonio Banderas,18.301,Sophia Ali,13.216,Tati Gabrielle,12.431
Too Cool to Kill,923192,tt16254308,Ma Li,1.565,Wei Xiang,1.015,Allen Ai Lun,5.557,Chen Minghao,1.703,Cailun Huang,1.996
Scream,646385,tt11245972,Neve Campbell,18.195,Courteney Cox,28.453,David Arquette,8.58,Melissa Barrera,12.769,Jenna Ortega,88.674
Death on the Nile,505026,tt7657566,Kenneth Branagh,42.401,Gal Gadot,38.496,Armie Hammer,23.554,Emma Mackey,36.057,Tom Bateman,15.921
Jackass Forever,656663,tt11466222,Johnny Knoxville,19.66,Steve-O,8.298,Chris Pontius,9.584,Dave England,6.7,Jason Acuña,4.481
Dog,626735,tt11252248,Channing Tatum,22.942,Jane Adams,7.412,Kevin Nash,10.815,Ethan Suplee,17.999,Bill Burr,8.726
Marry Me,615904,tt10223460,Jennifer Lopez,10.12,Owen Wilson,46.143,Maluma,2.827,John Bradley,10.983,Sarah Silverman,9.285
Moonfall,406759,tt5834426,Halle Berry,21.448,Patrick Wilson,31.977,John Bradley,10.983,Charlie Plummer,10.489,Yu Wenwen,4.063
BTS Permission to Dance on Stage - Seoul: Live Viewing,939984,,Kim Nam-joon,7.077,Kim Seok-jin,11.446,Min Yoon-gi,3.002,Jung Ho-seok,6.655,Park Ji-min,4.497
The 355,522016,tt8356942,Jessica Chastain,17.001,Lupita Nyong'o,14.456,Penélope Cruz,23.261,Diane Kruger,21.536,Fan Bingbing,19.144
The Kashmir Files,900783,tt10811166,Mithun Chakraborty,6.02,Anupam Kher,4.827,Darshan Kumaar,0.694,Pallavi Joshi,0.6,Chinmay Mandlekar,3.238
Radhe Shyam,673392,tt8960382,Prabhas,4.547,Pooja Hegde,8.05,Bhagyashree,0.84,Sathyaraj,1.854,Krishnam Raju,1.252
Bheemla Nayak,811942,tt14209560,Pawan Kalyan,4.263,Rana Daggubati,6.772,Samuthirakani,2.122,Nithya Menen,2.418,Samyuktha Menon,1.918
Super-héros malgré lui,746333,tt13774454,Philippe Lacheau,5.783,Élodie Fontan,6.244,Julien Arruti,4.179,Tarek Boudali,5.79,Saverio Maligno,0.6
Blacklight,823625,tt14060094,Liam Neeson,33.989,Emmy Raver-Lampman,4.646,Taylor John Smith,9.867,Aidan Quinn,17.361,Tim Draxl,1.932
Maison de retraite,736500,tt12847680,Kev Adams,7.184,Gérard Depardieu,11.863,Antoine Duléry,2.636,Mylène Demongeot,10.34,Marthe Villalonga,5.506
Valimai,640484,tt10806040,Ajith Kumar,4.41,Huma Qureshi,4.004,Kartikeya Gummakonda,1.188,Gurbani Judge,3.423,Sumithra,1.4
Wunderschön,750466,tt12194006,Karoline Herfurth,12.648,Nora Tschirner,7.918,Martina Gedeck,4.439,Emilia Schüle,5.4,Dilara Aylin Ziem,0.6
The Pirates: The Last Royal Treasure,591120,tt17491040,Kang Ha-neul,12.181,Han Hyo-joo,24.008,Lee Kwang-soo,11.993,Kwon Sang-woo,7.678,Chae Soo-bin,12.846
Vaillante,926007,,,,,,,,,,,
Redeeming Love,698508,tt11365186,Logan Marshall-Green,14.649,Abigail Cowen,26.574,Nina Dobrev,20.789,Famke Janssen,25.542,Tom Lewis,2.077
Turning Red,508947,tt8097030,Rosalie Chiang,9.263,Sandra Oh,16.974,Ava Morse,10.545,Hyein Park,2.092,Maitreyi Ramakrishnan,3.069
The Bad Guys,629542,tt8115900,Sam Rockwell,13.281,Marc Maron,6.935,Craig Robinson,13.723,Anthony Ramos,13.432,Awkwafina,44.339
The Last 10 Years,848743,tt13455224,Adam Berardi,0.6,Clay Moffatt,1.103,Ashley Moffatt,0.6,,,,
Doraemon the Movie: Nobita's Little Star Wars 2021,,,,,,,,,,,,
Cyrano,730047,tt12889404,Peter Dinklage,14.994,Haley Bennett,25.423,Kelvin Harrison Jr.,12.327,Ben Mendelsohn,17.814,Bashir Salahuddin,5.693
Kingmaker,618265,tt5105734,Imelda Marcos,2.171,Leni Robredo,0.6,,,,,,
The Policeman's Lineage,610321,tt16676718,Cho Jin-woong,9.375,Choi Woo-shik,10.445,Park Hee-soon,11.492,Kwon Yul,9.755,Park Myung-hoon,3.196
Adieu Monsieur Haffmann,670243,tt10545704,Daniel Auteuil,6.132,Gilles Lellouche,5.064,Sara Giraudeau,3.588,Mathilde Bisson,1.333,Anne Coesens,2.297
The Duke,645689,tt11204094,Jim Broadbent,13.829,Helen Mirren,17.793,Matthew Goode,18.407,Aimee Kelly,4.925,Fionn Whitehead,6.961
The Cherry Bushido,947307,tt18363692,Fumika Shimizu,3.359,Hiroaki Tanaka,0.6,Rin Kijima,0.6,Rina Narita,0.6,RYOMA ICHIHARA,0.6
Chickenhare and the Hamster of Darkness,778855,tt12532368,Danny Fehsenfeld,0.84,Donte Paris,0.6,Joe Ochman,2.246,,,,
The Cursed,630392,tt9907782,Kelly Reilly,34.967,Boyd Holbrook,15.462,Alistair Petrie,9.209,Amelia Crouch,13.401,Roxane Duran,6.437
Waiting for Bojangles,851303,tt11310608,Virginie Efira,18.655,Romain Duris,13.919,Juliette Blanche,0.6,Mira Rogliano,1.618,Marie Fontannaz,0.6
X,760104,tt13560574,Mia Goth,35.412,Jenna Ortega,88.674,Brittany Snow,19.663,Martin Henderson,25.154,Kid Cudi,16.023
Ambulance,763285,tt4998632,Yahya Abdul-Mateen II,11.716,Jake Gyllenhaal,21.848,Eiza González,26.314,Garret Dillahunt,11.648,Keir O'Donnell,6.106
Pawankhind,939411,tt14448632,Chinmay Mandlekar,3.238,Mrinal Kulkarni,1.553,Ajay Purkar,0.6,Ruchi Savarn Mohan,0.6,Prajakta Mali,1.568
The Godfather 2022 Re-release,,,,,,,,,,,,
Bheeshma Parvam,804309,tt14002046,Mammootty,4.409,Soubin Shahir,2.691,Sreenath Bhasi,2.637,Shine Tom Chacko,2.1,Nadhiya,5.632
Maigret,752564,tt10545696,Gérard Depardieu,11.863,Anne Loiret,3.482,Aurore Clément,3.189,Mélanie Bernier,4.305,Jade Labeste,0.6
Koniec swiata czyli Kogel Mogel 4,921987,tt15939446,Nikodem Rozbicki,3.377,Aleksandra Hamkało,4.649,Grażyna Błęcka-Kolska,1.96,Ewa Kasprzyk,1.4,Zdzisław Wardejn,1.687
Beautiful Minds,264491,tt1135004,,,,,,,,,,
Un Autre Monde,664506,tt15115102,Vincent Lindon,4.627,Sandrine Kiberlain,7.336,Anthony Bajon,3.749,Marie Drucker,0.655,Olivier Lemaire,0.6
Special Delivery,204584,tt1175735,Lisa Edelstein,17.199,Brenda Song,13.874,Robert Gant,4.596,Michael Cowell,0.6,Stan Egi,4.184
King,614917,tt9620288,Will Smith,33.966,Aunjanue Ellis,13.528,Saniyya Sidney,8.719,Demi Singleton,1.938,Tony Goldwyn,8.646
Belli ciao,773820,,Pio D'Antini,1.96,Amedeo Grieco,0.6,Lorena Cacciatore,5.82,Rosa Diletta Rossi,10.633,Gegia,3.571
Between Two Worlds,26600,tt0036641,John Garfield,6.684,Paul Henreid,3.203,Sydney Greenstreet,3.917,Eleanor Parker,5.246,Edmund Gwenn,6.816
Goliath,328739,tt3962210,Miles Sloman,0.6,Jerry Sokolosky,0.6,Makenna Guyler,1.166,Paul Hughes,0.6,Joseph Emms,0.6
Etharkkum Thunindhavan,855397,tt10340562,Suriya,2.183,Priyanka Arul Mohan,7.412,Vinay Rai,6.693,Sathyaraj,1.854,Rajkiran,1.105
Gangubai Kathiawadi,664332,tt10083340,Alia Bhatt,6.766,Ajay Devgn,3.191,Shantanu Maheshwari,1.048,Indira Tiwari,0.6,Seema Pahwa,1.753
Studio 666,895744,tt15374070,Dave Grohl,3.359,Taylor Hawkins,3.609,Nate Mendel,1.05,Pat Smear,1.849,Chris Shiflett,1.4
The Young Lovers,110338,tt0046846,David Knight,0.6,Odile Versois,1.133,Theodore Bikel,5.2,David Kossoff,2.685,Joseph Tomelty,0.732
Chia Khoa Tram Ty,928214,,Kiều Minh Tuấn,0.862,Thu Trang,0.6,Anh Tú,1.018,Jun Vũ,3.867,,
