movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
The Avengers,24428,tt0848228,Robert Downey Jr.,38.361,Chris Evans,15.319,Mark Ruffalo,9.185,Chris Hemsworth,36.221,Scarlett Johansson,38.188
Skyfall,37724,tt1074638,Daniel Craig,18.56,Judi Dench,8.949,Javier Bardem,24.038,Ralph Fiennes,32.618,Naomie Harris,15.392
The Dark Knight Rises,49026,tt1345836,Christian Bale,26.638,Michael Caine,14.985,Gary Oldman,27.283,Anne Hathaway,36.931,Tom Hardy,59.898
The Hobbit: An Unexpected Journey,49051,tt0903624,Ian McKellen,15.137,Martin Freeman,18.272,Richard Armitage,16.794,James Nesbitt,6.15,Ken Stott,6.503
Ice Age 4: Continental Drift,57800,tt1667889,Ray Romano,9.767,John Leguizamo,11.213,Denis Leary,16.184,Seann William Scott,13.293,Josh Peck,15.704
The Twilight Saga: Breaking Dawn - Part 2,50620,tt1673434,Kristen Stewart,28.953,Robert Pattinson,26.955,Taylor Lautner,22.521,Peter Facinelli,17.93,Elizabeth Reaser,16.164
The Amazing Spider-Man,1930,tt0948470,Andrew Garfield,34.741,Emma Stone,40.711,Rhys Ifans,55.189,Denis Leary,16.184,Martin Sheen,6.304
Madagascar 3: Europe's Most Wanted,80321,tt1277953,Ben Stiller,11.792,Chris Rock,20.036,David Schwimmer,8.695,Jada Pinkett Smith,33.927,Frances McDormand,16.265
The Hunger Games,70160,tt1392170,Jennifer Lawrence,26.491,Josh Hutcherson,9.872,Liam Hemsworth,10.599,Woody Harrelson,19.341,Elizabeth Banks,14.855
Men in Black 3,41154,tt1409024,Will Smith,33.966,Tommy Lee Jones,27.694,Josh Brolin,39.186,Jemaine Clement,11.301,Emma Thompson,24.804
Life of Pi,87827,tt0454876,Suraj Sharma,3.276,Irrfan Khan,6.885,Ayush Tandon,1.184,Gautam Belur,1.726,Adil Hussain,2.132
Ted,72105,tt1637725,Mark Wahlberg,49.465,Mila Kunis,20.107,Seth MacFarlane,9.493,Joel McHale,9.666,Giovanni Ribisi,16.93
Brave,62177,tt1217209,Kelly Macdonald,14.977,Billy Connolly,10.2,Emma Thompson,24.804,Julie Walters,11.734,Robbie Coltrane,11.869
Wreck-It Ralph,82690,tt1772341,John C. Reilly,9.918,Sarah Silverman,9.285,Jack McBrayer,11.884,Jane Lynch,15.419,Ed O'Neill,12.43
Les Misérables,82695,tt1707386,Hugh Jackman,23.696,Russell Crowe,20.111,Anne Hathaway,36.931,Amanda Seyfried,37.184,Sacha Baron Cohen,12.13
Django Unchained,68718,tt1853728,Jamie Foxx,20.417,Christoph Waltz,18.156,Leonardo DiCaprio,24.953,Kerry Washington,9.409,Samuel L. Jackson,56.705
Prometheus,70981,tt1446714,Noomi Rapace,29.74,Michael Fassbender,14.93,Charlize Theron,40.523,Logan Marshall-Green,14.649,Guy Pearce,19.454
