movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Journey to the West: The Demons Strike Back,435800,tt5273624,Kris Wu,11.815,Lin Gengxin,5.6,Yao Chen,4.785,Lin Yun,5.535,Yang Yiwei,4.197
Alien: Covenant,126889,tt2316204,Michael Fassbender,14.93,Katherine Waterston,17.555,Billy Crudup,19.433,Danny McBride,26.166,Demián Bichir,6.129
Paddington 2,346648,tt4468740,Ben Whishaw,16.436,Hugh Bonneville,11.481,Sally Hawkins,19.115,Samuel Joslin,4.253,Madeleine Harris,1.525
Youth,310593,tt3312830,Michael Caine,14.985,Harvey Keitel,11.123,Rachel Weisz,14.704,Paul Dano,51.328,Jane Fonda,10.216
Baby Driver,339403,tt3890160,Ansel Elgort,20.545,Kevin Spacey,16.608,Lily James,24.325,Jon Hamm,16.214,Jamie Foxx,20.417
Valerian and the City of a Thousand Planets,339964,tt2239822,Dane DeHaan,12.855,Cara Delevingne,21.982,Clive Owen,11.284,Rihanna,14.62,Ethan Hawke,21.79
Geostorm,274855,tt1981128,Gerard Butler,18.085,Alexandra Maria Lara,17.235,Jim Sturgess,7.639,Abbie Cornish,11.683,Ed Harris,14.475
The Emoji Movie,378236,tt4877122,T. J. Miller,14.522,James Corden,9.839,Anna Faris,17.473,Maya Rudolph,11.778,Steven Wright,3.098
A Dog's Purpose,381289,tt1753383,Josh Gad,11.913,K.J. Apa,14.291,Britt Robertson,23.536,Dennis Quaid,13.1,Peggy Lipton,6.67
Smurfs: The Lost Village,137116,tt2398241,Demi Lovato,8.642,Rainn Wilson,23.401,Joe Manganiello,12.123,Jack McBrayer,11.884,Danny Pudi,10.575
The Shape of Water,399055,tt5580390,Sally Hawkins,19.115,Doug Jones,7.845,Michael Shannon,24.951,Richard Jenkins,11.093,Octavia Spencer,10.21
Pitch Perfect 3,353616,tt4765284,Anna Kendrick,18.19,Rebel Wilson,10.1,Brittany Snow,19.663,Hailee Steinfeld,55.775,Elizabeth Banks,14.855
Daddy's Home 2,419680,tt5657846,Will Ferrell,13.839,Mark Wahlberg,49.465,John Lithgow,17.218,Mel Gibson,25.645,Linda Cardellini,17.794
The Post,446354,tt6294822,Meryl Streep,13.52,Tom Hanks,27.299,Sarah Paulson,16.392,Bob Odenkirk,17.442,Tracy Letts,9.917
Baywatch,339846,tt1469304,Dwayne Johnson,29.99,Zac Efron,27.031,Priyanka Chopra Jonas,22.394,Alexandra Daddario,42.013,Jon Bass,8.46
The Hitman's Bodyguard,390043,tt1959563,Ryan Reynolds,40.796,Samuel L. Jackson,56.705,Gary Oldman,27.283,Salma Hayek,22.609,Élodie Yung,20.156
John Wick: Chapter 2,324552,tt4425200,Keanu Reeves,59.33,Common,10.41,Laurence Fishburne,30.531,Ian McShane,20.779,Riccardo Scamarcio,8.264
Ghost in the Shell,9323,tt0113568,Atsuko Tanaka,6.847,Akio Otsuka,8.77,Iemasa Kayumi,3.905,Koichi Yamadera,9.389,Yutaka Nakano,1.514
"Three Billboards Outside Ebbing, Missouri",359940,tt5027774,Frances McDormand,16.265,Sam Rockwell,13.281,Lucas Hedges,8.476,Woody Harrelson,19.341,Abbie Cornish,11.683
Duckweed,438081,tt6461514,Eddie Peng,11.8,Deng Chao,6.787,Zhao Liying,12.27,Dong Zijian,6.783,Chin Shih-Chieh,5.285
Darkest Hour,399404,tt4555426,Gary Oldman,27.283,Kristin Scott Thomas,14.917,Lily James,24.325,Stephen Dillane,7.673,Ronald Pickup,2.618
King Arthur: Legend of the Sword,274857,tt1972591,Charlie Hunnam,18.698,Astrid Bergès-Frisbey,11.169,Jude Law,21.474,Djimon Hounsou,35.554,Eric Bana,15.937
The Foreigner,379149,tt1615160,Pierce Brosnan,42.595,Jackie Chan,26.273,Rory Fleck-Byrne,8.42,Ray Fearon,5.652,Charlie Murphy,20.773
Power Rangers,305470,tt3717490,Dacre Montgomery,14.4,Naomi Scott,24.598,RJ Cyler,5.258,Becky G,9.523,Ludi Lin,5.491
Girls Trip,417870,tt3564472,Regina Hall,12.088,Queen Latifah,12.416,Jada Pinkett Smith,33.927,Tiffany Haddish,8.655,Larenz Tate,7.279
American Made,337170,tt3532216,Tom Cruise,34.075,Sarah Wright,10.374,Domhnall Gleeson,17.251,Alejandro Edda,4.58,Jesse Plemons,32.283
A Bad Moms Christmas,431530,tt6359956,Mila Kunis,20.107,Kristen Bell,15.307,Kathryn Hahn,18.867,Susan Sarandon,22.136,Christine Baranski,20.923
Happy Death Day,440021,tt5308322,Jessica Rothe,14.017,Israel Broussard,8.913,Ruby Modine,8.175,Rachel Matthews,7.904,Billy Slaughter,2.795
Captain Underpants: The First Epic Movie,268531,tt2091256,Kevin Hart,14.271,Ed Helms,15.096,Nick Kroll,14.161,Thomas Middleditch,10.004,Jordan Peele,10.215
The Lego Ninjago Movie,274862,tt3014284,Dave Franco,20.44,Justin Theroux,17.672,Fred Armisen,15.974,Abbi Jacobson,8.534,Olivia Munn,10.575
Secret Superstar,441889,tt6108090,Zaira Wasim,0.7,Aamir Khan,6.119,Meher Vij,5.704,Raj Arjun,2.113,Tirth Sharma,0.6
The Commuter,399035,tt1590193,Liam Neeson,33.989,Vera Farmiga,28.396,Patrick Wilson,31.977,Sam Neill,27.877,Florence Pugh,21.962
Forever Young,10326,tt0104291,Mel Gibson,25.645,Jamie Lee Curtis,15.757,Elijah Wood,14.181,Isabel Glasser,6.725,George Wendt,6.593
The Dark Tower,353491,tt1648190,Idris Elba,26.498,Matthew McConaughey,20.491,Tom Taylor,2.934,Claudia Kim,7.504,Fran Kranz,5.97
Buddies in India,435863,tt6152908,Baoqiang Wang,6.389,Liu Yan,10.959,Bai Ke,1.946,Yue Yunpeng,6.323,Vikramjeet Virk,0.6
Along With the Gods: The Two Worlds,397567,tt7160070,Ha Jung-woo,9.169,Cha Tae-hyun,7.693,Ju Ji-hoon,9.937,Kim Hyang-gi,7.891,Lee Jung-jae,21.603
Immortal Demon Slayer,452910,tt6513406,Eddie Peng,11.8,Shawn Yue,6.16,Ni Ni,8.183,Oho Ou,10.438,Zheng Shuang,6.786
