movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Kaptan Pengu ve Arkadaslari 2,963610,False,0,0.0,0,0
Benden Ne Olur,870239,False,0,2.628,0,0
Zaï Zaï Zaï Zaï,774600,False,0,2.802,0,83
Ik wist het,934297,False,0,1.526,0,95
Serve the People,743814,False,0,4.525,0,146
Full Time,220807,False,0,0.6,0,18
Bangarraju,77799,False,0,1.376,0,143
The Book Of Dust - La Belle Sauvage - Nt Live 2022 (Theatre),,,,,,
Hey Sinamika,803736,False,0,2.916,0,149
Milosc jest blisko,931245,False,0,0.932,0,0
Ek Love Ya,680484,False,0,1.856,0,0
How I Learned to Fly,932083,False,0,2.916,0,87
Murder Party,13561,False,190000,7.931,0,79
The Chef,574324,False,0,0.874,0,13
"Romeo & Juliet - Roh, London 2022 (Ballet)",,,,,,
Reunion 2,947483,False,0,0.954,24000,0
Petya na moyata Petya,,,,,,
Den slepogo valentina,920696,False,0,1.496,0,0
Betlémské svetlo,816186,False,0,13.522,0,0
Softie,947723,False,600,22.835,0,9
The Path,732279,False,0,10.111,0,90
Tyson's Run,860852,False,0,5.07,0,0
The Best Weekend,916378,False,0,0.889,0,95
Book of Love,892835,False,0,113.162,0,106
Ali & Ava,661365,False,0,4.189,0,95
Nitram,797457,False,0,11.034,0,112
The Contractor,628900,False,0,100.979,0,103
Thunderbirds Go Go,,,,,,
C'era una volta il crimine,790529,False,0,2.072,0,0
Un Rabón con Corazón,943158,False,0,608.172,0,0
Paw Patrol: Mission Xmas,921042,False,0,1.775,316420,0
Clean,689700,False,0,25.396,0,93
L'ombra del giorno,834141,False,0,1.76,0,125
Candlelight Revolution,674845,False,0,1.227,0,87
Nobody's Hero,660709,False,0,3.032,0,100
Ex,264660,False,15000000,31.842,36869414,108
Kung Fu Zohra,885266,False,0,2.597,0,100
Palmyra,546481,False,0,0.6,0,0
Afacanlar: Is Basa Düstü,,,,,,
Three Times Nothing,783573,False,0,3.611,0,94
Papy,48769,False,3000000,6.139,0,102
Beyond Live Nct: Resonance,779931,False,0,0.957,0,135
The Sadness,498475,False,0,4.781,0,112
Secret Name,820712,False,0,1.908,0,112
I Want to Talk About Duras,803701,False,0,1.887,0,95
A Change of Heart,511624,False,0,1.775,0,0
