movie,startdate,releasedate,Text,mean_google_trend_popularity
The Avengers,2012-04-27,2012-05-04,,66.5
Skyfall,2012-11-02,2012-11-09,,75.375
The Dark Knight Rises,2012-07-13,2012-07-20,,31.0
The Hobbit: An Unexpected Journey,2012-12-07,2012-12-14,,41.125
Ice Age 4: Continental Drift,2012-07-06,2012-07-13,,67.375
The Twilight Saga: Breaking Dawn - Part 2,2012-11-09,2012-11-16,,33.25
The Amazing Spider-Man,2012-06-26,2012-07-03,,74.125
Madagascar 3: Europe's Most Wanted,2012-06-01,2012-06-08,,45.0
The Hunger Games,2012-03-16,2012-03-23,,43.5
Men in Black 3,2012-05-18,2012-05-25,,45.625
Life of Pi,2012-11-14,2012-11-21,,46.375
Ted,2012-06-22,2012-06-29,,55.5
Brave,2012-06-15,2012-06-22,,48.625
Wreck-It Ralph,2012-10-26,2012-11-02,,36.875
Les Misérables,2012-12-18,2012-12-25,,54.625
Django Unchained,2012-12-18,2012-12-25,,34.875
Prometheus,2012-06-01,2012-06-08,,54.75
Snow White and the Huntsman,2012-05-25,2012-06-01,,43.5
Taken 2,2012-09-28,2012-10-05,,52.25
Hotel Transylvania,2012-09-21,2012-09-28,,48.625
The Lorax,2012-02-24,2012-03-02,,41.125
Journey 2: The Mysterious Island,2012-02-03,2012-02-10,,72.0
The Expendables 2,2012-08-10,2012-08-17,,52.625
Rise of the Guardians,2012-11-14,2012-11-21,,48.5
Battleship,2012-05-11,2012-05-18,,76.5
Wrath of the Titans,2012-03-23,2012-03-30,,41.75
John Carter,2012-03-02,2012-03-09,,49.625
The Bourne Legacy,2012-08-03,2012-08-10,,49.75
Lincoln,2012-11-02,2012-11-09,,74.625
We're the Millers,2013-07-31,2013-08-07,,33.0
Dark Shadows,2012-05-04,2012-05-11,,50.0
Resident Evil: Retribution,2012-09-07,2012-09-14,,45.875
Silver Linings Playbook,2012-11-14,2012-11-21,,65.125
American Reunion,2012-03-30,2012-04-06,,38.0
Argo,2012-10-05,2012-10-12,,43.875
Jack Reacher,2012-12-14,2012-12-21,,54.25
Safe House,2012-02-03,2012-02-10,,36.625
21 Jump Street,2012-03-09,2012-03-16,,41.5
Total Recall,2012-07-27,2012-08-03,,41.25
The Impossible,2012-12-14,2012-12-21,,68.125
The Vow,2012-02-03,2012-02-10,,46.125
Mirror Mirror,2012-03-23,2012-03-30,,90.0
The Dictator,2012-05-09,2012-05-16,,50.5
Looper,2012-09-21,2012-09-28,,38.0
Magic Mike,2012-06-22,2012-06-29,,35.0
Flight,2012-10-26,2012-11-02,,87.875
Underworld: Awakening,2012-01-13,2012-01-20,,39.0
This Means War,2012-02-10,2012-02-17,,58.625
Paranormal Activity 4,2012-10-11,2012-10-18,,54.125
Step Up Revolution,2012-07-20,2012-07-27,,54.125
The Best Exotic Marigold Hotel,2012-05-11,2012-05-18,,72.5
The Wind Rises,2014-02-21,2014-02-28,,63.0
Last Vegas,2013-10-25,2013-11-01,,46.125
Zero Dark Thirty,2013-01-04,2013-01-11,,65.0
Ghost Rider: Spirit of Vengeance,2012-02-10,2012-02-17,,39.375
Cloud Atlas,2012-10-19,2012-10-26,,39.75
The Woman in Black,2012-01-27,2012-02-03,,48.125
Chronicle,2012-01-27,2012-02-03,,62.5
Walking with Dinosaurs 3D,2013-12-13,2013-12-20,,74.625
Parental Guidance,2012-12-18,2012-12-25,,31.25
Abraham Lincoln: Vampire Hunter,2012-06-15,2012-06-22,,48.0
Pitch Perfect,2012-09-28,2012-10-05,,73.375
Hope Springs,2012-08-01,2012-08-08,,42.25
ParaNorman,2012-08-10,2012-08-17,,43.5
The Campaign,2012-08-03,2012-08-10,,41.625
Project X,2012-02-24,2012-03-02,,35.25
