Movie Title,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,Score_Rotten,Score_Rotten_Audience,Rating,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,TwitterScore,Budget,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Release-Date,Release-Year,Release-Month,Release-DOM,Revenue-Worldwide,Profit,Label
Sole a catinelle,7.362,6.3,6208,87,,,2,,36,,,2.2304,59.09090909,8000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-10-31,2013,10,31,69903094,7.73788675,0
Cold Eyes,35.777,7.1,7554,119,,,2,,70.5,,,12.5704,79.2971246,4500000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013-07-03,2013,7,3,37795598,7.399021778,0
Look Who's Back,24.052,7,44786,116,,80,2,,28.5,1.991,0.824,6.7962,58.75118259,3196621,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-08,2015,10,8,25513752,6.981475439,0
The Left Ear,3.975,5.5,449,120,,50,2,,54,9.943,,8.4754,40.73071719,10000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-04-24,2015,4,24,78015473,6.8015473,0
The Invisible Guest,59.794,8.1,169189,106,70,86,2,,31,7.593,2.129833333,6.7664,100,4000000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017-01-06,2017,1,6,31191910,6.7979775,0
Doraemon: Great Adventure in the Antarctic Kachi Kochi,50.175,6.8,842,101,,,2,,20.5,,,8.4048,100,8000000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-03-04,2017,3,4,61153455,6.644181875,0
The White Storm 2: Drug Lords,6.944,6,1234,99,57,61,2,,44.75,7.177,26.841,10.2102,43.75,25000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-07-16,2019,7,16,189396380,6.5758552,0
Quo vado?,8.662,6.6,11074,86,60,62,2,,16.5,2.143,1.708,2.3282,25.71428571,11089000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-01,2016,1,1,75878701,5.842700063,0
Wolf Warrior,25.646,5.3,5137,90,,22,2,,67.625,35.249,,10.3184,43.85964912,12000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017-07-27,2017,7,27,81411331,5.784277583,0
How Not to Rescue a Princess,5.036,6.4,1579,75,,,2,,,,,2.3454,,3000000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,20157447,5.719149,0
The Bélier Family,16.43,7.3,27137,106,83,75,2,,,2.841,1.902,5.271,,11000000,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,72751538,5.613776182,0
Hanson and the Beast,5.597,5.2,527,110,,,2,,69,0.6,,9.43,96.42857143,7000000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-12-29,2017,12,29,46154323,5.593474714,0
"Love, Sex & Pandemic",1.243,2.5,79,114,,,2,,,,,3.0008,,260000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2010-03-19,2010,3,19,1712634,5.587053846,0
Gongjo,14.268,6.6,3199,124,,,2,,12.5,,,10.948,100,8520000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-01-18,2017,1,18,56100000,5.584507042,0
Vakeel Saab,3.447,8,11572,153,,83,2,,19.5,0.6,1.16,4.5752,29.0617849,2000000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-09,2021,4,9,13056490,5.528245,0
L Storm,5.119,5.7,536,97,,14,2,,39,8.529,,5.9744,70,10000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-08-23,2018,8,23,64517456,5.4517456,0
Gooische vrouwen,3.015,6.2,2852,105,,,2,,75.125,,,2.7574,30.76923077,3500000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-06-25,2011,6,25,22194574,5.341306857,0
War of the Arrows,57.216,7.2,11910,122,,,2,,,,,6.8584,-100,8000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-08-11,2011,8,11,50587661,5.323457625,0
Detective Chinatown 3,5.864,5.6,1762,136,,,2,,25.25,,,10.313,41.37931034,117000000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-02-12,2021,2,12,686257563,4.865449256,0
Welcome to the North,7.761,5.3,3877,110,,,2,,,,,2.8078,,6000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,35000000,4.833333333,0
Midnight Runners,11.378,7.3,6971,109,,,2,,57.375,0.664,,8.4994,80.02628121,7000000,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-08-09,2017,8,9,39730433,4.675776143,0
Mrs. Brown's Boys D'Movie,6.178,4.2,5286,94,6,43,2,,,1.38,0.6,2.7792,40.625,5900000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-27,2014,6,27,31116264,4.273943051,0
Stand by Me Doraemon,106.922,7.4,7700,95,,100,2,,48.375,,,8.4048,15.38461538,35000000,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-08-08,2014,8,8,183442714,4.2412204,0
Shin Godzilla,23.369,6.8,27031,120,,,2,,34.625,,,7.3246,28.79256966,15000000,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016-07-29,2016,7,29,77947607,4.196507133,0
Kundo: Age of the Rampant,9.697,6.8,3414,137,82,68,2,,38.75,2.587,0.6,11.1444,99.0881459,7000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-07-23,2014,7,23,35941291,4.134470143,0
Project Gutenberg,10.559,6.8,4394,130,83,76,2,,62.5,,,10.0858,70.77363897,38272500,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018-10-04,2018,10,4,188116796,3.915194879,0
"I, Tonya",25.403,7.5,207503,119,,,2,,41.25,,,22.2464,39.15243517,11000000,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-08,2017,12,8,53939297,3.903572455,0
Serial (Bad) Weddings 2,17.851,6.1,7484,99,,67,2,,,3.379,1.327,4.917,,18500000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,87761857,3.743884162,0
P Storm,20.102,5.9,688,96,,,2,,23.625,8.529,,9.6328,12.94117647,25000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-04-04,2019,4,4,117991727,3.71966908,0
Tad: The Lost Explorer,52.658,5.9,8052,92,,40,2,,,2.563,1.86725,2.977,-44.68085106,10500000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-08-31,2012,8,31,49490859,3.713415143,0
From Vegas to Macau III,9.561,2.3,3214,113,20,12,2,,42,,4.352333333,15.1612,35.06493506,40000000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-08,2016,2,8,181732879,3.543321975,0
T-34,20.027,6.8,12021,139,,82,2,,,0.6,,7.4194,,8000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,36220872,3.527609,0
The Witch: Part 1 - The Subversion,19.148,7.2,9724,125,,,2,,,,,12.3168,-61.9047619,5500000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018-06-27,2018,6,27,24340302,3.425509455,0
1987: When the Day Comes,24.757,7.8,4846,129,82,95,2,,25.625,3.758,,15.965,71.42857143,12308000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-27,2017,12,27,53834292,3.373926877,0
Dark Figure of Crime,10.9,6.7,2034,110,80,67,2,,35.5,3.842,1.148,5.8196,-68.57142857,7120949,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-10-03,2018,10,3,29433930,3.133428002,0
Housefull 2,8.848,5.4,14415,145,,,2,,62.625,,,3.741,61.57894737,6071922,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-04-05,2012,4,5,25097277,3.133333235,0
Heidi,16.444,7.4,5834,111,100,81,2,,91.75,1.949,1.476,3.31,53.52286774,8800000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-12-10,2015,12,10,35755670,3.063144318,0
The Women on the 6th Floor,7.874,7.1,10215,102,67,67,2,,,2.115,0.6,5.329,,7000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-02-16,2011,2,16,27533970,2.933424286,0
The White Haired Witch of Lunar Kingdom,9.172,5.3,1697,104,13,22,2,,30.875,,4.649,10.08,-81.81818182,16000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-07-31,2014,7,31,62515046,2.907190375,0
Alibi.com,11.355,6.5,8147,90,67,47,2,,41.25,10.695,1.6765,6.2362,51.55279503,7546570,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-02-15,2017,2,15,29370592,2.89191275,0
Padre no hay más que uno 2: La llegada de la suegra,14.045,5.6,1239,96,,,2,,,5.217,,3.6352,,4000000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,15373181,2.84329525,0
Legend of the Demon Cat,9.062,6.2,2637,129,91,43,2,,21.125,6.497,0.6,9.7784,46.66666667,26147360,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-22,2017,12,22,97051623,2.711717856,0
Chinese Zodiac,52.582,6,22761,122,25,45,2,,,39.287,,10.8516,,48000000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,171339013,2.569562771,0
Agneepath,7.668,7.6,8887,174,92,62,2,,28.875,1.052,2.353,3.2892,48.25,7600000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-01-26,2012,1,26,26001696,2.421275789,0
The Last Warrior: Root of Evil,552.573,6,926,121,,,2,,12.5,,,5.9458,-100,8400000,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-01,2021,1,1,28357398,2.375880714,0
Rien à déclarer,8.036,6.4,14209,108,,,2,,,,,3.4218,,28000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,93811164,2.350398714,0
"Tad, the Lost Explorer, and the Secret of King Midas",39.983,6.2,3304,85,29,45,1,,,,1.49475,4.3482,,10778400,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-08-31,2012,8,31,35704046,2.312555296,0
Start-Up,8.593,6.4,797,102,,,2,,69.25,,,9.1406,70.77997672,7300000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-18,2019,12,18,24106579,2.302271096,0
Flight Crew,26.752,6.6,5389,138,,58,2,,44,1.153,4.260666667,10.5828,33.83113153,9000000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-04-21,2016,4,21,29171110,2.241234444,0
Blind Detective,6.645,6.4,3243,130,55,48,2,,40.75,7.825,4.2125,7.4554,-37.93103448,11000000,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-07-04,2013,7,4,34958596,2.178054182,0
The Fatal Encounter,4.683,6.8,1109,135,60,78,2,,38,0.6,1.4,6.8436,-98.96,9600000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-30,2014,4,30,29060186,2.027102708,0
The Suspect,4.964,7.4,2260,85,,63,2,,72.375,0.6,0.6,4.6218,-47.35112936,9500000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013-12-24,2013,12,24,28674130,2.018329474,0
Firestorm,8.653,4.7,3976,89,,47,2,,75.875,1.646,,7.2702,5.277401894,19000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013-12-19,2013,12,19,55754766,1.934461368,1
Two Is a Family,27.473,7.3,26104,118,,,2,,62,,,8.0244,-50,17500000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-12-07,2016,12,7,49619118,1.835378171,1
The White Storm,8.652,6.6,2541,140,,60,3,,67.25,1.543,,7.0308,63.30935252,16000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013-12-05,2013,12,5,44670277,1.791892313,1
A Chinese Odyssey: Part Three,7.286,3.6,449,93,,87,2,,23.5,7.899,,9.337,100,20000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-14,2016,9,14,53306108,1.6653054,1
Tolo Tolo,7.967,5.8,3492,90,,,2,,22,,,1.3212,24.44444444,20000000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-01,2020,1,1,52186426,1.6093213,1
Shubh Mangal Zyada Saavdhan,5.708,5.9,9341,117,93,72,2,,18.875,0.98,,2.0324,64.18338109,2600000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020-02-21,2020,2,21,6574905,1.528809615,1
Hitman: Agent Jun,8.59,6.3,1626,110,,,2,,18.75,,,7.0552,75,7300000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-22,2020,1,22,17601351,1.411143973,1
Murder Party,7.931,5.8,11463,79,100,57,2,,,2.647,0.994,1.836,,190000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,453590,1.387315789,1
Da Xiao Jiang Hu,2.147,4,324,119,,,2,,,,,4.2894,,10000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,23705022,1.3705022,1
"Me, Myself and Mum",7.873,6.6,7647,85,83,67,2,,,2.72,1.25525,7.4532,80,10735974,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-11-20,2013,11,20,24991467,1.327824844,1
Stalingrad,20.022,7.5,34522,134,50,41,3,,85.125,5.593,2.765,7.0358,11.75115207,30000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014-02-28,2014,2,28,68316452,1.277215067,1
The New Adventures of Aladdin,11.42,4.7,2291,107,,21,2,,12.5,1.646,,6.5306,100,16000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-14,2015,10,14,35771820,1.23573875,1
The End of Endless Love,0.6,6.6,44,102,,,2,,30.875,,,3.3644,87.09677419,20000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2014-02-14,2014,2,14,43950000,1.1975,1
The Lady Shogun and Her Men,2.012,6.3,379,116,,45,2,,,1.364,,6.5346,,12800000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,27769952,1.1695275,1
Love Off the Cuff,4.39,6.5,1005,121,100,69,2,,24.375,0.6,0.6,4.8446,96.73913043,12000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-04-28,2017,4,28,25959989,1.163332417,1
Boonie Bears: The Wild Life,7.1,5.4,115,99,,,2,,,,,1.0276,,37500000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,77961427,1.078971387,1
Ala Vaikunthapurramuloo,7.522,7.5,15183,163,100,79,2,,,1.176,,4.4696,,14000000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,28859072,1.061362286,1
Tanhaji: The Unsung Warrior,6.181,7.9,28236,135,73,88,2,,19.125,1.094,1.1075,3.2002,67.94972506,22360000,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-10,2020,1,10,45221814,1.022442487,2
71: Into the Fire,10.882,7.3,5444,120,,90,2,,40.75,1.96,,6.5996,-30.71895425,10400000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2010-06-16,2010,6,16,20967660,1.016121154,2
Zhongkui: Snow Girl and the Dark Crystal,10.186,5.3,1331,118,,,2,,23.125,,,10.1026,100,32000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015-03-12,2015,3,12,64325947,1.010185844,2
Upon the Magic Roads,23.372,5.8,807,111,,,2,,24,,,4.5842,100,8020000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-02-18,2021,2,18,15990882,0.9938755611,2
"Crouching Tiger, Hidden Dragon: Sword of Destiny",21.745,6.1,19315,96,20,39,2,,23.875,5.058,7.2665,23.6442,61.8226601,20000000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-26,2016,2,26,38659039,0.93295195,2
The New King of Comedy,16.489,6.2,1631,90,,60,2,,20.875,24.163,,2.777,92.06349206,50000000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-02-05,2019,2,5,95618308,0.91236616,2
Vicky and the Treasure of the Gods,5.77,5.5,1325,96,,19,2,,12.5,1.482,,3.843,,11000000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-09-29,2011,9,29,20796153,0.8905593636,2
¡A todo tren! Destino Asturias,73.669,5.2,601,90,,,2,,,,,2.5832,,5308245,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,9544171,0.7979899195,2
Sink or Swim,0.992,7.2,403,48,,40,3,,52.25,2.265,0.8125,,30.14184397,21800000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-10-24,2018,10,24,39193850,0.7978830275,2
Nothing to Lose,15.862,6.7,46155,98,,60,3,,,1.176,,14.672,,25000000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,44480039,0.77920156,2
